Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
1,2,Sumatera,Bangka Belitung,Kabupaten,Bangka,Kabupaten Bangka,-2.741174,106.440587,33214,3510076,334344,1174430966144,0.00384
2,2,Sumatera,Bangka Belitung,Kabupaten,Bangka Barat,Kabupaten Bangka Barat,-1.997875,105.222326,33312,3510076,209413,734976957188,0.00240
3,2,Sumatera,Bangka Belitung,Kabupaten,Bangka Selatan,Kabupaten Bangka Selatan,-3.084776,106.109833,33783,3510076,202263,709913050188,0.00232
4,2,Sumatera,Bangka Belitung,Kabupaten,Bangka Tengah,Kabupaten Bangka Tengah,-2.741973,106.440579,33684,3510076,205510,721104246560,0.00236
5,2,Sumatera,Bangka Belitung,Kabupaten,Belitung,Kabupaten Belitung,-2.741736,107.625053,33411,3510076,186331,654094699156,0.00214
6,2,Sumatera,Bangka Belitung,Kabupaten,Belitung Timur,Kabupaten Belitung Timur,-2.909958,108.160792,33511,3510076,130463,457329000088,0.00150
7,2,Sumatera,Bangka Belitung,Kota,Pangkal Pinang,Kota Pangkal Pinang,-2.129178,106.109733,33123,3510076,226297,793000537372,0.00259
8,4,Sumatera,Bengkulu,Kota,Bengkulu,Kota Bengkulu,-3.800649,102.256173,38118,2601802,373591,971574842582,0.00318
9,4,Sumatera,Bengkulu,Kabupaten,Bengkulu Selatan,Kabupaten Bengkulu Selatan,-4.222318,103.012315,38571,2418280,166249,401506661720,0.00131
10,4,Sumatera,Bengkulu,Kabupaten,Bengkulu Tengah,Kabupaten Bengkulu Tengah,-3.792366,102.277413,38375,2494915,116706,291033631590,0.00095
11,4,Sumatera,Bengkulu,Kabupaten,Bengkulu Utara,Kabupaten Bengkulu Utara,-3.142545,101.173582,38612,2418280,296523,716640719240,0.00234
12,4,Sumatera,Bengkulu,Kabupaten,Kaur,Kabupaten Kaur,-4.280434,103.446144,38956,2418280,126551,306512409280,0.00100
13,4,Sumatera,Bengkulu,Kabupaten,Kepahiang,Kabupaten Kepahiang,-3.662338,102.524653,39112,2418280,149737,362390004960,0.00118
14,4,Sumatera,Bengkulu,Kabupaten,Lebong,Kabupaten Lebong,-3.053336,102.489627,39265,2418280,106293,257249482040,0.00084
15,4,Sumatera,Bengkulu,Kabupaten,Muko Muko,Kabupaten Muko Muko,-2.574339,101.161049,38711,2418280,190498,460744232240,0.00151
16,4,Sumatera,Bengkulu,Kabupaten,Rejang Lebong,Kabupaten Rejang Lebong,-3.385216,102.759482,39115,2418280,276645,669546782600,0.00219
17,4,Sumatera,Bengkulu,Kabupaten,Seluma,Kabupaten Seluma,-4.078363,103.738369,38878,2418280,207877,503342184560,0.00165
18,7,Sulawesi,Gorontalo,Kabupaten,Boalemo,Kabupaten Boalemo,0.648322,122.494283,96362,2989350,148526,444031064100,0.00145
19,7,Sulawesi,Gorontalo,Kabupaten,Bone Bolango,Kabupaten Bone Bolango,0.686869,123.028466,96582,2989350,166200,496876470000,0.00162
20,7,Sulawesi,Gorontalo,Kabupaten,Gorontalo,Kabupaten Gorontalo,0.550606,123.056555,96211,2989350,398801,1191951899350,0.00390
21,7,Sulawesi,Gorontalo,Kota,Gorontalo,Kota Gorontalo,0.54854,123.070209,96112,2989350,398801,1191951899350,0.00390
22,7,Sulawesi,Gorontalo,Kabupaten,Gorontalo Utara,Kabupaten Gorontalo Utara,0.890577,122.831301,96254,2989350,128563,384155309550,0.00126
23,7,Sulawesi,Gorontalo,Kabupaten,Pohuwato,Kabupaten Pohuwato,0.739309,121.991675,96266,2989350,149297,446226911650,0.00146
24,8,Sumatera,Jambi,Kabupaten,Batang Hari,Kabupaten Batang Hari,-1.338478,103.649899,36611,2943033,275504,809392316512,0.00265
25,8,Sumatera,Jambi,Kabupaten,Bungo,Kabupaten Bungo,-1.346301,101.842768,37211,2943033,382311,1124689710863,0.00368
26,8,Sumatera,Jambi,Kota,Jambi,Kota Jambi,-1.610122,103.613122,36128,3230207,611353,1974424496721,0.00645
27,8,Sumatera,Jambi,Kabupaten,Kerinci,Kabupaten Kerinci,-2.04188,101.986481,37162,2943033,239606,705756085798,0.00231
28,8,Sumatera,Jambi,Kabupaten,Merangin,Kabupaten Merangin,-2.34895,102.126105,37311,2943033,394174,1158980288042,0.00379
29,8,Sumatera,Jambi,Kabupaten,Muaro Jambi,Kabupaten Muaro Jambi,-1.602238,103.610513,36364,2999695,454524,1364405617880,0.00446
30,8,Sumatera,Jambi,Kabupaten,Sarolangun,Kabupaten Sarolangun,-2.329868,102.485574,37481,2969069,307585,912187442165,0.00298
31,8,Sumatera,Jambi,Kota,Sungaipenuh,Kota Sungaipenuh,-2.062179,101.387452,37111,2943033,91739,270046605787,0.00088
32,8,Sumatera,Jambi,Kabupaten,Tanjung Jabung Barat,Kabupaten Tanjung Jabung Barat,-1.25072,103.38945,36514,3002284,333932,1002633790088,0.00328
33,8,Sumatera,Jambi,Kabupaten,Tanjung Jabung Timur,Kabupaten Tanjung Jabung Timur,-1.292884,103.879452,36514,2943033,231772,681139857636,0.00223
34,8,Sumatera,Jambi,Kabupaten,Tebo,Kabupaten Tebo,-1.578579,102.349139,37571,2943033,360193,1059994770969,0.00347
35,12,Kalimantan,Kalimantan Barat,Kabupaten,Bengkayang,Kabupaten Bengkayang,1.013747,109.618018,79211,2767564,296855,820557168520,0.00268
36,12,Kalimantan,Kalimantan Barat,Kabupaten,Kapuas Hulu,Kabupaten Kapuas Hulu,0.918956,112.926506,78716,2661842,254995,678420061790,0.00222
37,12,Kalimantan,Kalimantan Barat,Kabupaten,Kayong Utara,Kabupaten Kayong Utara,-1.350377,110.436354,78852,2930678,131104,384124229712,0.00126
38,12,Kalimantan,Kalimantan Barat,Kabupaten,Ketapang,Kabupaten Ketapang,-1.88691,109.967179,78873,3085615,591917,1824140089855,0.00596
39,12,Kalimantan,Kalimantan Barat,Kabupaten,Kubu Raya,Kabupaten Kubu Raya,0.122803,109.609764,78384,2646878,622217,1647717376726,0.00539
40,12,Kalimantan,Kalimantan Barat,Kabupaten,Landak,Kabupaten Landak,0.319192,110.04717,79365,2767310,405396,1122615501860,0.00367
41,12,Kalimantan,Kalimantan Barat,Kabupaten,Melawi,Kabupaten Melawi,0.59733,111.58168,78619,2682398,235025,630620768950,0.00206
42,12,Kalimantan,Kalimantan Barat,Kabupaten,Pontianak,Kabupaten Pontianak,-0.099983,109.330533,78243,2750644,264225,726049609900,0.00237
43,12,Kalimantan,Kalimantan Barat,Kota,Pontianak,Kota Pontianak,-0.036714,109.338004,78113,2750644,669795,1842717893180,0.00602
44,12,Kalimantan,Kalimantan Barat,Kabupaten,Sambas,Kabupaten Sambas,1.403274,109.325107,79465,2792599,647844,1805334198056,0.00590
45,12,Kalimantan,Kalimantan Barat,Kabupaten,Sanggau,Kabupaten Sanggau,0.13477,110.592349,78557,2703536,492989,1332458051504,0.00436
46,12,Kalimantan,Kalimantan Barat,Kabupaten,Sekadau,Kabupaten Sekadau,0.004029,110.939268,79513,2654770,214429,569533572430,0.00186
47,12,Kalimantan,Kalimantan Barat,Kota,Singkawang,Kota Singkawang,0.90931,108.984931,79111,2781898,241467,670805924566,0.00219
48,12,Kalimantan,Kalimantan Barat,Kabupaten,Sintang,Kabupaten Sintang,0.06395,111.492913,78611,2771035,426416,1178572736840,0.00385
49,12,Kalimantan,Kalimantan Barat,Kota,Mempawah,Kota Mempawah,0.906239,109.188004,78391,2608601,310927,810118411927,0.00265
50,13,Kalimantan,Kalimantan Selatan,Kabupaten,Balangan,Kabupaten Balangan,-2.330097,115.275682,71665,3149977,132213,416425759301,0.00136
