No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022071803061,Kelapa Dua,15810,Cipete,15142,1,2,CTC23
2,TRD2022071802909,Kelapa Dua,15810,Curug Kulon,15810,1,2,CTC23
3,TRD2022071803205,Kelapa Dua,15810,Dukuh,15710,1,2,CTC23
4,TRD2022071803145,Kelapa Dua,15810,Gembong,15610,1,2,CTC23
5,TRD2022071802914,Kelapa Dua,15810,Gembong,15610,1,2,CTC23
6,TRD2022071803219,Kelapa Dua,15810,Gembong,15610,1,2,CTC23
7,TRD2022071803114,Kelapa Dua,15810,Karawaci,15115,1,2,CTC23
8,TRD2022071802887,Kelapa Dua,15810,Kayu Agung,15520,1,2,CTC23
9,TRD2022071803185,Kelapa Dua,15810,Medang,15334,1,2,CTC23
10,TRD2022071802991,Kelapa Dua,15810,Parung Serab,15153,1,2,CTC23
11,TRD2022071803148,Kelapa Dua,15810,Poris Gaga,15122,1,2,CTC23
12,TRD2022071802960,Kelapa Dua,15810,Sukasari,15118,1,2,CTC23
13,TRD2022071905766,Kelapa Dua,15810,Jurang Mangu Barat,15223,1,2,CTC23
14,TRD2022071905713,Kelapa Dua,15810,Kuta Baru,15560,1,2,CTC23
15,TRD2022071905920,Kali Rungkut,60119,Bulak,60124,2,3,CTC23
16,TRD2022071905937,Kali Rungkut,60119,Rungkut Tengah,60293,2,3,CTC23
17,TRD2022072001634,Kelapa Dua,15810,Cibogo,15344,1,2,CTC23
18,TRD2022072001712,Kelapa Dua,15810,Cipadu,15155,1,2,CTC23
19,TRD2022072001649,Kelapa Dua,15810,Kayu Agung,15520,1,2,CTC23
20,TRD2022072001645,Kelapa Dua,15810,Ketapang,15147,1,2,CTC23
21,TRD2022072001591,Kelapa Dua,15810,Kuta Baru,15560,1,2,CTC23
22,TRD2022072001731,Kelapa Dua,15810,Lengkong Karya,15310,1,2,CTC23
23,TRD2022072001734,Kelapa Dua,15810,Medang,15334,1,2,CTC23
24,TRD2022072001553,Kelapa Dua,15810,Sukasari,15118,1,2,CTC23
25,TRD2022072001825,Kali Rungkut,60119,Dukuh Setro,60138,2,3,CTC23
26,TRD2022072001750,Kali Rungkut,60119,Pulungan,61253,2,3,CTC23
27,TRD2022072001779,Kali Rungkut,60119,Rungkut Tengah,60239,2,3,CTC23
28,TRD2022072001822,Kali Rungkut,60119,Rungkut Tengah,60293,2,3,CTC23
29,TRD2022072101302,Kelapa Dua,15810,Batu Jaya,15121,1,2,CTC23
30,TRD2022072101338,Kelapa Dua,15810,Cempaka Putih,15411,1,2,CTC23
31,TRD2022072101325,Kelapa Dua,15810,Dukuh,15710,1,2,CTC23
32,TRD2022072101494,Kali Rungkut,60119,Asem Rowo,60182,2,3,CTC23
33,TRD2022072200422,Kali Rungkut,60119,Gebang Putih,60117,2,3,CTC23
34,TRD2022072200630,Kelapa Dua,15810,Belendung,15123,1,2,CTC23
35,TRD2022072200650,Kelapa Dua,15810,Cipete,15142,1,2,CTC23
36,TRD2022072200639,Kelapa Dua,15810,Jurang Mangu Barat,15223,1,2,CTC23
37,TRD2022072200590,Kelapa Dua,15810,Jurang Mangu Barat,15223,1,2,CTC23
38,TRD2022072200658,Kelapa Dua,15810,Jurang Mangu Barat,15223,1,2,CTC23
39,TRD2022072200503,Kelapa Dua,15810,Jurang Mangu Barat,15223,1,2,CTC23
40,TRD2022072200633,Kelapa Dua,15810,Lengkong Karya,15310,1,2,CTC23
41,TRD2022072200664,Kelapa Dua,15810,Lengkong Karya,15310,1,2,CTC23
42,TRD2022072200586,Kelapa Dua,15810,Medang,15334,1,2,CTC23
43,TRD2022072300508,Jelambar Baru,11460,Bale Kambang,13530,1,2,CTC23
44,TRD2022072300534,Jelambar Baru,11460,Bangka,12730,1,2,CTC23
45,TRD2022072300541,Jelambar Baru,11460,Bungur,10460,1,2,CTC23
46,TRD2022072300488,Jelambar Baru,11460,Cakung Barat,13910,1,2,CTC23
47,TRD2022072300509,Jelambar Baru,11460,Cipete Utara,12150,1,2,CTC23
48,TRD2022072300548,Jelambar Baru,11460,Glodok,11120,1,2,CTC23
49,TRD2022072300491,Jelambar Baru,11460,Pondok Kelapa,13450,1,2,CTC23
50,TRD2022072300477,Jelambar Baru,11460,Pulau Tidung,14520,1,2,CTC23
51,TRD2022072300698,Kelapa Dua,15810,Cibodas Baru,15138,1,2,CTC23
52,TRD2022072300619,Kelapa Dua,15810,Cibogo,15344,1,2,CTC23
53,TRD2022072300635,Kelapa Dua,15810,Cipadu,15155,1,2,CTC23
54,TRD2022072300704,Kelapa Dua,15810,Curug Kulon,15810,1,2,CTC23
55,TRD2022072300690,Kelapa Dua,15810,Dukuh,15710,1,2,CTC23
56,TRD2022072300691,Kelapa Dua,15810,Ketapang,15147,1,2,CTC23
57,TRD2022072300594,Kelapa Dua,15810,Ketapang,15147,1,2,CTC23
58,TRD2022072300686,Kelapa Dua,15810,Lembangsari,15540,1,2,CTC23
59,TRD2022072300666,Kelapa Dua,15810,Lengkong Karya,15310,1,2,CTC23
60,TRD2022072300633,Kelapa Dua,15810,Mekarsari,15720,1,2,CTC23
61,TRD2022072300762,Kelapa Dua,15810,Parung Serab,15153,1,2,CTC23
62,TRD2022072300695,Kelapa Dua,15810,Parung Serab,15153,1,2,CTC23
63,TRD2022072510049,Kelapa Dua,15810,Bambu Apus,15415,1,2,CTC23
