No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,,,
1,TRD2022082206206,BlokQ2 Timur,14450,Angkasapura,99113,4,6,SIUNT,,,
2,TRD2022082206211,BlokQ2 Timur,14450,Bagendung,42419,1,2,SIUNT,,,
3,TRD2022082206201,BlokQ2 Timur,14450,Balandete,93517,9,11,SIUNT,,,
4,TRD2022082206216,BlokQ2 Timur,14450,Bale Kambang,13530,1,2,SIUNT,,,
5,TRD2022082206200,BlokQ2 Timur,14450,Baloi Permai,29431,1,2,SIUNT,,,
6,TRD2022082206187,BlokQ2 Timur,14450,Bantuas,75253,2,4,SIUNT,,,
7,TRD2022082206220,BlokQ2 Timur,14450,Baraya,92351,5,7,SIUNT,,,
8,TRD2022082206188,BlokQ2 Timur,14450,Baru,13780,1,2,SIUNT,,,
9,TRD2022082206185,BlokQ2 Timur,14450,Bataraguru,93714,9,11,SIUNT,,,
10,TRD2022082206177,BlokQ2 Timur,14450,Benoa,80361,4,7,SIUNT,,,
11,TRD2022082206180,BlokQ2 Timur,14450,Bintara,17134,1,2,SIUNT,,,
12,TRD2022082206204,BlokQ2 Timur,14450,Birobuli Utara,94231,2,4,SIUNT,,,
13,TRD2022082206210,BlokQ2 Timur,14450,Bonder (Bondir),83572,7,10,SIUNT,,,
14,TRD2022082206202,BlokQ2 Timur,14450,Bua Kana,90222,2,3,SIUNT,,,
15,TRD2022082206205,BlokQ2 Timur,14450,Bukit Duri,12840,1,2,SIUNT,,,
16,TRD2022082206192,BlokQ2 Timur,14450,Bulo-Bulo,74152,9,11,SIUNT,,,
17,TRD2022082206208,BlokQ2 Timur,14450,Bulukerto,65334,2,3,SIUNT,,,
18,TRD2022082206175,BlokQ2 Timur,14450,Bumi Amas,79211,7,10,SIUNT,,,
19,TRD2022082206184,BlokQ2 Timur,14450,Cempi Jaya,84271,14,16,SIUNT,,,
20,TRD2022082206199,BlokQ2 Timur,14450,Cibabat,40513,1,2,SIUNT,,,
21,TRD2022082206217,BlokQ2 Timur,14450,Cibubur,13720,1,2,SIUNT,,,
22,TRD2022082206224,BlokQ2 Timur,14450,Cikini,10330,1,2,SIUNT,,,
23,TRD2022082206178,BlokQ2 Timur,14450,Cipinang,13240,1,2,SIUNT,,,
24,TRD2022082206227,BlokQ2 Timur,14450,Dwi Marga Utama,72274,7,10,SIUNT,,,
25,TRD2022082206225,BlokQ2 Timur,14450,Getas Blawong,51361,3,6,SIUNT,,,
26,TRD2022082206219,BlokQ2 Timur,14450,Gunung Elai,75311,5,7,SIUNT,,,
27,TRD2022082206174,BlokQ2 Timur,14450,Gunung Guruh,43156,2,3,SIUNT,,,
28,TRD2022082206218,BlokQ2 Timur,14450,Gunung Panjang,75131,2,4,SIUNT,,,
29,TRD2022082206230,BlokQ2 Timur,14450,Harapan Jaya,20773,5,9,SIUNT,,,
30,TRD2022082206186,BlokQ2 Timur,14450,Jatikarya,17435,1,2,SIUNT,,,
31,TRD2022082206222,BlokQ2 Timur,14450,Jelapat,73713,7,10,SIUNT,,,
32,TRD2022082206198,BlokQ2 Timur,14450,Jenetallasa,92161,4,6,SIUNT,,,
33,TRD2022082206212,BlokQ2 Timur,14450,Kaobula,93721,9,11,SIUNT,,,
34,TRD2022082206189,BlokQ2 Timur,14450,Kapuk,14470,1,2,SIUNT,,,
35,TRD2022082206196,BlokQ2 Timur,14450,Kartasana,42265,3,6,SIUNT,,,
36,TRD2022082206223,BlokQ2 Timur,14450,Kedamin Hilir,78714,9,12,SIUNT,,,
37,TRD2022082206221,BlokQ2 Timur,14450,Kemuningllor,68191,3,6,SIUNT,,,
38,TRD2022082206207,BlokQ2 Timur,14450,Koja (Utara-Selatan),14210,1,2,SIUNT,,,
39,TRD2022082206179,BlokQ2 Timur,14450,Korowelang Anyar,51352,3,6,SIUNT,,,
40,TRD2022082206226,BlokQ2 Timur,14450,Kota Tanjung Pandan,33411,6,7,SIUNT,,,
41,TRD2022082206191,BlokQ2 Timur,14450,Krobokan,50141,1,2,SIUNT,,,
42,TRD2022082206176,BlokQ2 Timur,14450,Lateri,97231,2,3,SIUNT,,,
43,TRD2022082206173,BlokQ2 Timur,14450,Lubuk Saung/Sawung,31591,3,6,SIUNT,,,
44,TRD2022082206193,BlokQ2 Timur,14450,Mangkio Baru,94711,7,9,SIUNT,,,
45,TRD2022082206203,BlokQ2 Timur,14450,Mekar Bhuwana,80352,5,9,SIUNT,,,
46,TRD2022082206213,BlokQ2 Timur,14450,Panca Tunggal Jaya,34595,3,6,SIUNT,,,
47,TRD2022082206190,BlokQ2 Timur,14450,Pangkalan Petal,29432,1,2,SIUNT,,,
48,TRD2022082206215,BlokQ2 Timur,14450,Pematang Pauh,36552,5,9,SIUNT,,,
49,TRD2022082206182,BlokQ2 Timur,14450,Pepas/Pepes Asa,75776,7,10,SIUNT,,,
50,TRD2022082206229,BlokQ2 Timur,14450,Perhentianmarpoyan,28125,1,3,SIUNT,,,
51,TRD2022082206183,BlokQ2 Timur,14450,Permis,33777,3,6,SIUNT,,,
52,TRD2022082206194,BlokQ2 Timur,14450,Randuagung,65153,3,6,SIUNT,,,
53,TRD2022082206209,BlokQ2 Timur,14450,Sangaji Utara,97751,2,4,SIUNT,,,
54,TRD2022082206172,BlokQ2 Timur,14450,Skow Mabo (Skouw Mabo ),99351,4,6,SIUNT,,,
55,TRD2022082206228,BlokQ2 Timur,14450,So E (Soe),85519,5,8,SIUNT,,,
56,TRD2022082206214,BlokQ2 Timur,14450,Sokkolia,92171,7,9,SIUNT,,,
57,TRD2022082206195,BlokQ2 Timur,14450,Tanjung Ayun Sakti,29124,1,3,SIUNT,,,
58,TRD2022082206181,BlokQ2 Timur,14450,Teraju (Teraju Barat),78572,9,12,SIUNT,,,
59,TRD2022082206197,BlokQ2 Timur,14450,Wanajaya,17520,1,2,SIUNT,,,
60,TRD2022082300210,Jelambar Baru,11460,Abian Tubuh Baru,83237,4,5,SIUNT,,,
61,TRD2022082300271,Jelambar Baru,11460,Air Lintang,31311,2,4,SIUNT,,,
62,TRD2022082300072,Jelambar Baru,11460,Air Tawar Barat,25132,1,3,SIUNT,,,
63,TRD2022082300110,Jelambar Baru,11460,Alam Jaya,15133,1,2,SIUNT,,,
64,TRD2022082300049,Jelambar Baru,11460,Alue Kuyun,23662,7,10,SIUNT,,,
65,TRD2022082300139,Jelambar Baru,11460,Ampenan Selatan,83114,4,5,SIUNT,,,
66,TRD2022082300245,Jelambar Baru,11460,Anaiwoi,93118,2,4,SIUNT,,,
67,TRD2022082300068,Jelambar Baru,11460,Angkasapura,99113,4,6,SIUNT,,,
68,TRD2022082300174,Jelambar Baru,11460,Angkasapura,99113,4,6,SIUNT,,,
69,TRD2022082300143,Jelambar Baru,11460,Angkasapura,99113,4,6,SIUNT,,,
70,TRD2022082300120,Jelambar Baru,11460,Angkasapura,99113,4,6,SIUNT,,,
71,TRD2022082300156,Jelambar Baru,11460,Angke,11330,1,2,SIUNT,,,
72,TRD2022082300062,Jelambar Baru,11460,Antang,90234,2,3,SIUNT,,,
73,TRD2022082300059,Jelambar Baru,11460,Antang,90234,2,3,SIUNT,,,
74,TRD2022082300258,Jelambar Baru,11460,Aplasi,85614,5,8,SIUNT,,,
75,TRD2022082300291,Jelambar Baru,11460,Aplasi,85614,5,8,SIUNT,,,
76,TRD2022082300275,Jelambar Baru,11460,Aur Gading,37481,5,9,SIUNT,,,
77,TRD2022082300113,Jelambar Baru,11460,Baadale,85912,12,15,SIUNT,,,
78,TRD2022082300108,Jelambar Baru,11460,Baamang Barat,74312,9,11,SIUNT,,,
79,TRD2022082300102,Jelambar Baru,11460,Babakan Kalanganyar,42219,2,3,SIUNT,,,
80,TRD2022082300212,Jelambar Baru,11460,Baharu Selatan,72115,7,10,SIUNT,,,
81,TRD2022082300169,Jelambar Baru,11460,Bahomakmur,94974,9,11,SIUNT,,,
82,TRD2022082300164,Jelambar Baru,11460,Bakaran Batu,21421,5,9,SIUNT,,,
83,TRD2022082300238,Jelambar Baru,11460,Bakulan,57362,3,6,SIUNT,,,
84,TRD2022082300301,Jelambar Baru,11460,Bakunase Dua,85116,3,5,SIUNT,,,
85,TRD2022082300067,Jelambar Baru,11460,Balam Sempurna Kota,28992,5,9,SIUNT,,,
86,TRD2022082300101,Jelambar Baru,11460,Balam Sempurna Kota,28992,5,9,SIUNT,,,
87,TRD2022082300073,Jelambar Baru,11460,Balam Sempurna Kota,28992,5,9,SIUNT,,,
88,TRD2022082300244,Jelambar Baru,11460,Balandete,93517,9,11,SIUNT,,,
89,TRD2022082300204,Jelambar Baru,11460,Balane,94362,9,11,SIUNT,,,
90,TRD2022082300168,Jelambar Baru,11460,Bale Kambang,13530,1,2,SIUNT,,,
91,TRD2022082300300,Jelambar Baru,11460,Baler Bale Agung,82212,4,7,SIUNT,,,
92,TRD2022082300119,Jelambar Baru,11460,Baloi Permai,29431,1,2,SIUNT,,,
93,TRD2022082300217,Jelambar Baru,11460,Bambalemo Ranomaisi,94471,7,9,SIUNT,,,
94,TRD2022082300142,Jelambar Baru,11460,Bambu Apus,15415,1,2,SIUNT,,,
95,TRD2022082300247,Jelambar Baru,11460,Bandar Agung,34167,4,7,SIUNT,,,
96,TRD2022082300282,Jelambar Baru,11460,Bandarjo,50517,1,2,SIUNT,,,
97,TRD2022082300188,Jelambar Baru,11460,Bandar Selamat,20223,1,3,SIUNT,,,
98,TRD2022082300153,Jelambar Baru,11460,Bangka,12730,1,2,SIUNT,,,
99,TRD2022082300182,Jelambar Baru,11460,Banjar Balam,29353,5,9,SIUNT,,,
100,TRD2022082300076,Jelambar Baru,11460,Banjarbendo,61225,1,2,SIUNT,,,
101,TRD2022082300208,Jelambar Baru,11460,Bantarjati,16153,1,2,SIUNT,,,
102,TRD2022082300248,Jelambar Baru,11460,Bantarsoka,53133,2,3,SIUNT,,,
103,TRD2022082300155,Jelambar Baru,11460,Bantarsoka,53133,2,3,SIUNT,,,
104,TRD2022082300043,Jelambar Baru,11460,Bara-Baraya Timur,90143,2,3,SIUNT,,,
105,TRD2022082300079,Jelambar Baru,11460,Bara-Baraya Timur,90143,2,3,SIUNT,,,
106,TRD2022082300294,Jelambar Baru,11460,Bareng,65116,1,2,SIUNT,,,
107,TRD2022082300046,Jelambar Baru,11460,Baru Ilir,76131,1,4,SIUNT,,,
108,TRD2022082300175,Jelambar Baru,11460,Baru Ilir,76131,1,4,SIUNT,,,
109,TRD2022082300190,Jelambar Baru,11460,Baru Ilir,76131,1,4,SIUNT,,,
110,TRD2022082300181,Jelambar Baru,11460,Batu Lokong,20585,5,9,SIUNT,,,
111,TRD2022082300058,Jelambar Baru,11460,Batu Lotong,73681,9,12,SIUNT,,,
112,TRD2022082300166,Jelambar Baru,11460,Bausasran,55211,1,2,SIUNT,,,
113,TRD2022082300268,Jelambar Baru,11460,Bedahan,16519,1,2,SIUNT,,,
114,TRD2022082300261,Jelambar Baru,11460,Bendungan Hilir,10210,1,2,SIUNT,,,
115,TRD2022082300149,Jelambar Baru,11460,Bengkaung,83355,7,10,SIUNT,,,
116,TRD2022082300136,Jelambar Baru,11460,Bentengnge,91221,5,7,SIUNT,,,
117,TRD2022082300211,Jelambar Baru,11460,Benua Anyar,70239,3,4,SIUNT,,,
118,TRD2022082300246,Jelambar Baru,11460,Benua Anyar,70239,3,4,SIUNT,,,
119,TRD2022082300180,Jelambar Baru,11460,Benu-Benua,93123,2,4,SIUNT,,,
120,TRD2022082300097,Jelambar Baru,11460,Beo Sepang,86754,7,12,SIUNT,,,
121,TRD2022082300231,Jelambar Baru,11460,Beranun Teleden,24582,7,10,SIUNT,,,
122,TRD2022082300128,Jelambar Baru,11460,Binong,15811,1,2,SIUNT,,,
123,TRD2022082300223,Jelambar Baru,11460,Bira,90243,2,3,SIUNT,,,
124,TRD2022082300179,Jelambar Baru,11460,Blaran,63395,3,6,SIUNT,,,
125,TRD2022082300150,Jelambar Baru,11460,Bojong Kulur,16969,1,2,SIUNT,,,
126,TRD2022082300227,Jelambar Baru,11460,Bojong Menteng,17117,1,2,SIUNT,,,
127,TRD2022082300170,Jelambar Baru,11460,Bonto Marannu,92254,7,9,SIUNT,,,
128,TRD2022082300283,Jelambar Baru,11460,Bontorannu,90126,2,3,SIUNT,,,
129,TRD2022082300033,Jelambar Baru,11460,Bukir,67138,2,3,SIUNT,,,
130,TRD2022082300222,Jelambar Baru,11460,Buliang,29438,1,2,SIUNT,,,
131,TRD2022082300285,Jelambar Baru,11460,Buluh Kuning,72167,9,12,SIUNT,,,
132,TRD2022082300260,Jelambar Baru,11460,Buluh Manis,28785,5,9,SIUNT,,,
133,TRD2022082300215,Jelambar Baru,11460,Bumisari,53362,3,6,SIUNT,,,
134,TRD2022082300075,Jelambar Baru,11460,Bungur,10460,1,2,SIUNT,,,
135,TRD2022082300129,Jelambar Baru,11460,Burangkeng,17155,1,2,SIUNT,,,
136,TRD2022082300080,Jelambar Baru,11460,Cakung Barat,13910,1,2,SIUNT,,,
137,TRD2022082300098,Jelambar Baru,11460,Candisari,56195,1,2,SIUNT,,,
138,TRD2022082300274,Jelambar Baru,11460,Cempaka Putih Barat,10520,1,2,SIUNT,,,
139,TRD2022082300096,Jelambar Baru,11460,Cengklong,15212,1,2,SIUNT,,,
140,TRD2022082300160,Jelambar Baru,11460,Cengkong,41373,1,2,SIUNT,,,
141,TRD2022082300189,Jelambar Baru,11460,Cengkong,41373,1,2,SIUNT,,,
142,TRD2022082300053,Jelambar Baru,11460,Cerme,62273,3,6,SIUNT,,,
143,TRD2022082300047,Jelambar Baru,11460,Cibabat,40513,1,2,SIUNT,,,
144,TRD2022082300095,Jelambar Baru,11460,Cicadas,40121,1,2,SIUNT,,,
145,TRD2022082300199,Jelambar Baru,11460,Cideng,10150,1,2,SIUNT,,,
146,TRD2022082300085,Jelambar Baru,11460,Cihanjuang,40559,2,3,SIUNT,,,
147,TRD2022082300158,Jelambar Baru,11460,Cilandak Barat,12430,1,2,SIUNT,,,
148,TRD2022082300257,Jelambar Baru,11460,Cilandak Barat,12430,1,2,SIUNT,,,
149,TRD2022082300203,Jelambar Baru,11460,Cilandak Timur,12560,1,2,SIUNT,,,
150,TRD2022082300235,Jelambar Baru,11460,Cilandak Timur,12560,1,2,SIUNT,,,
151,TRD2022082300045,Jelambar Baru,11460,Cilincing,14120,1,2,SIUNT,,,
152,TRD2022082300162,Jelambar Baru,11460,Cilincing,14120,1,2,SIUNT,,,
