No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022121400282,Pagedangan,15339,Abean,97615,3,11,UDRREG
2,TRD2022121400281,Pagedangan,15339,Ahusen,97127,3,5,UDRREG
3,TRD2022121400278,Pagedangan,15339,Ahusen,97127,3,5,UDRREG
4,TRD2022121400269,Pagedangan,15339,Ahusen,97127,3,5,UDRREG
5,TRD2022121400271,Pagedangan,15339,Ardipura,99223,3,6,UDRREG
6,TRD2022121400267,Pagedangan,15339,Bumi Wonorejo,98813,3,11,UDRREG
7,TRD2022121400270,Pagedangan,15339,Bumi Wonorejo,98813,3,11,UDRREG
8,TRD2022121400275,Pagedangan,15339,Bumi Wonorejo,98813,3,11,UDRREG
9,TRD2022121400288,Pagedangan,15339,Bumi Wonorejo,98813,3,11,UDRREG
10,TRD2022121400263,Pagedangan,15339,Bumi Wonorejo,98813,3,11,UDRREG
11,TRD2022121400262,Pagedangan,15339,Gamsungi,97762,3,10,UDRREG
12,TRD2022121400276,Pagedangan,15339,Honelama,99511,3,11,UDRREG
13,TRD2022121400274,Pagedangan,15339,Kadam (Ayim/Oyim),99871,3,11,UDRREG
14,TRD2022121400284,Pagedangan,15339,Ketsoblak,97611,3,11,UDRREG
15,TRD2022121400265,Pagedangan,15339,Lateri,97231,3,5,UDRREG
16,TRD2022121400264,Pagedangan,15339,Lateri,97231,3,5,UDRREG
17,TRD2022121400266,Pagedangan,15339,Nusaniwe I,97117,3,5,UDRREG
18,TRD2022121400283,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
19,TRD2022121400272,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
20,TRD2022121400285,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
21,TRD2022121400268,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
22,TRD2022121400279,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
23,TRD2022121400280,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
24,TRD2022121400287,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
25,TRD2022121400286,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
26,TRD2022121400273,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
27,TRD2022121400277,Pagedangan,15339,Skow Mabo (Skouw Mabo ),99351,3,6,UDRREG
