No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api,requestPayload,responsePayload
1,TRD2022081801993,SiCepat,61153,33351,,4,6,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""33351"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":9,""minDuration"":5,""price"":570000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""b40afa66c43ce6d4d9f947311d780825"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":6,""minDuration"":4,""price"":58000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""7a23a4220b49eafc8c84d5d679dda632"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
2,TRD2022081801988,SiCepat,61153,20148,,4,6,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""20148"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":9,""minDuration"":6,""price"":180000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""3b0aecbdbfd8f4a9dad33feef79f2877"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":6,""minDuration"":4,""price"":57500,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""ac7f6bd27eb6053f7cb2b9fbc6013da9"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
3,TRD2022081801996,SiCepat,61153,28992,,7,10,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""28992"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":10,""minDuration"":7,""price"":585000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""f1c1fd2e17787f8f5d9969cd02cae6c7"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":10,""minDuration"":7,""price"":66000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""8e0290da09225c174a520c62beb8edd7"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
4,TRD2022081801992,SiCepat,61153,55198,,3,6,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""55198"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":7,""minDuration"":4,""price"":50000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""353094e5f302cd80c177549b424e4c22"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":6,""minDuration"":3,""price"":21000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""a4e10e89c4ffd227767215f816801bf8"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
5,TRD2022081801997,SiCepat,61153,95251,,4,6,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""95251"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":18,""minDuration"":14,""price"":210000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""0a87eca2b9dc4d6559fa601333ce2887"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":6,""minDuration"":4,""price"":92000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""ed9a656e79cdd4f3c6b0639095141911"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
6,TRD2022081801985,SiCepat,61153,86754,,12,23,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""86754"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":31,""minDuration"":25,""price"":310000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""75e66bcf874ba7f55bc175b1a0c14afe"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":23,""minDuration"":12,""price"":118500,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""09ab3721b9929e0158a83bdc80ed51a7"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
7,TRD2022081801989,SiCepat,61153,73112,,6,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""73112"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":18,""minDuration"":14,""price"":230000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""5f9e7f76b025792a35b21e78e6e0b17c"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":7,""minDuration"":6,""price"":44000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""b95cfa04656ee0e6793048a60a289ef6"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
8,TRD2022081801991,SiCepat,61153,80234,,4,6,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""80234"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":6,""minDuration"":4,""price"":65000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""00a1804e50e8262a347de1ed5953e403"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":6,""minDuration"":4,""price"":26000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""16f24ce16bfb124e37ff5d19fa39c2ab"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
9,TRD2022081802000,SiCepat,61153,84173,,7,10,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""84173"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":12,""minDuration"":10,""price"":270000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""1d29907ee9f323f02760d54a9ab42d20"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":10,""minDuration"":7,""price"":40000,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""6ba0c3658c82995a649155ba642a8ec3"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
10,TRD2022081801995,SiCepat,61153,87114,,12,23,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SCP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""61153"",""destinationPostalCode"":""87114"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":31,""minDuration"":28,""price"":260000,""rateCode"":""GOKIL"",""rateName"":""Kargo"",""signedKey"":""b785600ac3b7426dfb54f9268d87e3a2"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sicepat.png"",""logisticName"":""SiCepat"",""maxDuration"":23,""minDuration"":12,""price"":118500,""rateCode"":""SIUNT"",""rateName"":""Regular"",""signedKey"":""f65896a023d862c0bd139e0ccc7b9ed0"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
