No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code
1,TRD2022072000951,2534902200094355,1,Bunigeulis,45556,Karangtengah,45575,CTC23
2,TRD2022081201060,0136932200061274,1,Grogol,11450,Bambu Apus,13890,CTC23
3,TRD2022081201157,0136932200063510,1,Grogol,11450,Cideng,10150,CTC23
4,TRD2022081301103,0136932200069459,1,Grogol,11450,Cilandak Barat,12430,CTC23
5,TRD2022081501363,0136932200074111,1,Grogol,11450,Kelapa Gading Barat,14240,CTC23
6,TRD2022081501540,0136932200074848,1,Grogol,11450,Cilincing,14120,CTC23
7,TRD2022081700954,0136932200079987,1,Grogol,11450,Pengadegan,12770,CTC23
8,TRD2022081701249,0136932200082825,1,Grogol,11450,Bukit Duri,12840,CTC23
9,TRD2022081701289,0136932200084375,1,Grogol,11450,Angke,11330,CTC23
10,TRD2022081701327,0136932200083666,1,Grogol,11450,Koja (Utara-Selatan),14210,CTC23
11,TRD2022081801346,0136932200086701,1,Grogol,11450,Duren Sawit,13440,CTC23
12,TRD2022081801644,2534902200324653,1,Bunigeulis,45556,Ciporang,45514,CTC23
13,TRD2022081900695,0136932200090927,1,Grogol,11450,West Cengkareng,11730,CTC23
14,TRD2022081900904,0136932200092840,1,Grogol,11450,Duren Sawit,13440,CTC23
15,TRD2022081901195,0136932200095512,1,Grogol,11450,Bendungan Hilir,10210,CTC23
16,TRD2022081901208,0136932200095165,1,Grogol,11450,Bambu Apus,13890,CTC23
17,TRD2022082001452,0136932200103902,1,Grogol,11450,West Cengkareng,11730,CTC23
18,TRD2022082202419,0136932200109511,1,Grogol,11450,Duri Kepa,11510,CTC23
19,TRD2022082202670,0136932200111962,1,Grogol,11450,Srengseng Sawah,12640,CTC23
20,TRD2022082202826,0136932200113737,1,Grogol,11450,Pengadegan,12770,CTC23
21,TRD2022082203206,0136932200118918,1,Grogol,11450,Pengadegan,12770,CTC23
22,TRD2022082203218,0136932200119395,1,Grogol,11450,Cilandak Timur,12560,CTC23
23,TRD2022082402089,0136932200133529,1,Grogol,11450,West Cengkareng,11730,CTC23
24,TRD2022082402547,0136932200137876,1,Grogol,11450,Bali Mester,13310,CTC23
25,TRD2022082501333,0136932200144344,1,Grogol,11450,Kebon Bawang,14320,CTC23
26,TRD2022082501467,0136932200145762,1,Grogol,11450,Angke,11330,CTC23
27,TRD2022082501502,0136932200146059,1,Grogol,11450,Sumur Batu,10640,CTC23
28,TRD2022082501727,0136932200147511,1,Grogol,11450,Bendungan Hilir,10210,CTC23
29,TRD2022082501875,0136932200150358,1,Grogol,11450,Bukit Duri,12840,CTC23
30,TRD2022082502440,0136932200152016,1,Grogol,11450,Cipete Utara,12150,CTC23
31,TRD2022082602208,0136932200155936,1,Grogol,11450,Kalideres,11840,CTC23
32,TRD2022082602234,0136932200156181,1,Grogol,11450,Koja (Utara-Selatan),14210,CTC23
33,TRD2022082602404,0136932200157858,1,Grogol,11450,Cilandak Barat,12430,CTC23
34,TRD2022082602826,0136932200161595,1,Grogol,11450,Bambu Apus,13890,CTC23
35,TRD2022082602919,0136932200161843,1,Grogol,11450,Jaticempaka,13620,CTC23
36,TRD2022082603129,0136932200162965,1,Grogol,11450,Cipete Utara,12150,CTC23
37,TRD2022082700963,0136932200172170,1,Grogol,11450,Cipete Utara,12150,CTC23
38,TRD2022082701488,0136932200176676,1,Grogol,11450,Jatipulo,11430,CTC23
39,TRD2022082701589,0136932200177070,1,Grogol,11450,Duri Kepa,11510,CTC23
40,TRD2022082902371,0136932200188242,1,Grogol,11450,Kalideres,11840,CTC23
41,TRD2022082902415,0136932200188697,1,Grogol,11450,Duren Sawit,13440,CTC23
42,TRD2022082902942,0136932200194810,1,Grogol,11450,West Cengkareng,11730,CTC23
43,TRD2022082903990,0136932200197995,1,Grogol,11450,Bendungan Hilir,10210,CTC23
44,TRD2022082904179,0136932200201557,1,Grogol,11450,Kelapa Gading Barat,14240,CTC23
45,TRD2022082904402,0136932200201516,1,Grogol,11450,Bali Mester,13310,CTC23
46,TRD2022083001758,0136932200211184,1,Grogol,11450,West Cengkareng,11730,CTC23
47,TRD2022083001805,0136932200211572,1,Grogol,11450,Baru,13780,CTC23
48,TRD2022083002171,0136932200215201,1,Grogol,11450,Lenteng Agung,12630,CTC23
49,TRD2022090201980,0733272200080413,1,Pekayon Jaya,17148,Burangkeng,17155,CTC23
50,TRD2022090300919,0136932200228840,1,Grogol,11450,Jaticempaka,13620,CTC23
51,TRD2022090500998,0733272200100229,1,Pekayon Jaya,17148,Jatimekar,17422,CTC23
