No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code,min_sla,max_sla,min_sla_api,max_sla_api
40001,TRD2023010604420,0930842300007598,1,Sukodadi,30154,Sangkaran Bakti,34764,REG23,2,,,
40002,TRD2023010604426,0930842300007572,1,Sukodadi,30154,Talang Banjar,36123,REG23,1,,,
40003,TRD2023010604437,0532932300007649,1,Kerobokan Kelod,80117,Jantuk,83652,REG23,2,,,
40004,TRD2023010604438,0532932300007672,1,Kerobokan Kelod,80117,Kayu Putih,85228,REG23,1,,,
40005,TRD2023010604443,0532932300007805,1,Kerobokan Kelod,80117,Dete,84382,REG23,5,,,
40006,TRD2023010604452,0532932300007714,1,Kerobokan Kelod,80117,Wolowea Timur,86462,REG23,5,,,
40007,TRD2023010604454,0532932300007862,1,Kerobokan Kelod,80117,Masebewa,86153,REG23,5,,,
40008,TRD2023010604480,2534902300009758,1,Bunigeulis,45556,Birak,99777,REG23,1,10,,
40009,TRD2023010604489,2534902300009790,1,Bunigeulis,45556,Bumi Wonorejo,98813,REG23,6,,,
40010,TRD2023010604490,2534902300009816,1,Bunigeulis,45556,Bumi Wonorejo,98813,REG23,6,,,
40011,TRD2023010604499,2534902300010012,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40012,TRD2023010604500,2534902300009956,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40013,TRD2023010604502,2534902300009808,1,Bunigeulis,45556,Bumi Wonorejo,98813,REG23,6,,,
40014,TRD2023010604505,2534902300010061,1,Bunigeulis,45556,Angkasapura,99113,REG23,2,,,
40015,TRD2023010604507,2534902300010293,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40016,TRD2023010604512,2534902300009972,1,Bunigeulis,45556,Mbuwa,99910,REG23,6,,,
40017,TRD2023010604516,2534902300009907,1,Bunigeulis,45556,Bumi Wonorejo,98813,REG23,6,,,
40018,TRD2023010604520,2534902300010160,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40019,TRD2023010604524,2534902300010194,1,Bunigeulis,45556,Kuler (Tunas Baru),99616,REG23,6,,,
40020,TRD2023010604536,2534902300010251,1,Bunigeulis,45556,Klasbon,98362,REG23,6,,,
40021,TRD2023010604547,2534902300010426,1,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,REG23,2,,,
40022,TRD2023010604548,2534902300010244,1,Bunigeulis,45556,Kuler (Tunas Baru),99616,REG23,6,,,
40023,TRD2023010604551,0733272300031753,1,Pekayon Jaya,17148,Gamalama,97721,REG23,2,,,
40024,TRD2023010604552,0733272300031829,1,Pekayon Jaya,17148,Liang,97582,REG23,5,,,
40025,TRD2023010604556,0733272300031803,1,Pekayon Jaya,17148,Ketsoblak,97611,REG23,1,10,,
40026,TRD2023010604557,0733272300031779,1,Pekayon Jaya,17148,Kello (Kelo),97792,REG23,5,,,
40027,TRD2023010604562,0733272300031845,1,Pekayon Jaya,17148,Imhasuma,98315,REG23,6,,,
40028,TRD2023010604565,0733272300031837,1,Pekayon Jaya,17148,Sawai Itepo,97853,REG23,5,,,
40029,TRD2023010604574,0136932300010411,1,Grogol,11450,Panjer,80113,REG23,1,,,
40030,TRD2023010604579,0136932300010361,1,Grogol,11450,Tatelu Satu,95373,REG23,5,,,
