No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,rate_code,min_sla_api,max_sla_api
730,TRD2023030305849,JNE,61253,61225,6833602300003418,CTC23,,
748,TRD2023030609618,JNE,61253,61262,6833602300004960,CTC23,,
752,TRD2023030706106,JNE,61253,61258,6833602300005876,CTC23,,
783,TRD2023031310173,JNE,61253,61225,6833602300009498,CTC23,,
404,TRD2022071300593,JNE,45556,98315,2534902200038816,REG23,,
681,TRD2022071500786,JNE,45556,98315,2534902200050928,REG23,,
930,TRD2022071601374,JNE,45556,98357,2534902200063285,REG23,,
988,TRD2022071800690,JNE,45556,98315,2534902200066098,REG23,,
1536,TRD2022072001464,JNE,45556,98315,2534902200099347,REG23,,
1628,TRD2022072100892,JNE,45556,24386,2534902200103958,REG23,,
2011,TRD2022072508378,JNE,45556,98315,2534902200123618,REG23,,
2278,TRD2022072600850,JNE,45556,98354,2534902200137220,REG23,,
2315,TRD2022072600965,JNE,45556,98315,2534902200138137,REG23,,
2349,TRD2022072601341,JNE,45556,98315,2534902200139630,REG23,,
2375,TRD2022072601634,JNE,45556,98315,2534902200141123,REG23,,
2724,TRD2022072901423,JNE,45556,98314,2534902200159323,REG23,,
3125,TRD2022080102062,JNE,45556,98314,2534902200176491,REG23,,
3167,TRD2022080102188,JNE,45556,98354,2534902200177515,REG23,,
3290,TRD2022080200792,JNE,45556,98314,2534902200185260,REG23,,
3304,TRD2022080200849,JNE,45556,98315,2534902200185815,REG23,,
3364,TRD2022080201084,JNE,45556,98359,2534902200188074,REG23,,
3436,TRD2022080202116,JNE,45556,98362,2534902200190336,REG23,,
3971,TRD2022080501203,JNE,45556,98362,2534902200214953,REG23,,
4082,TRD2022080502569,JNE,45556,98314,2534902200219945,REG23,,
4104,TRD2022080502707,JNE,45556,98354,2534902200220620,REG23,,
4163,TRD2022080502926,JNE,45556,98314,2534902200223228,REG23,,
5025,TRD2022080901446,JNE,45556,98354,2534902200258612,REG23,,
5043,TRD2022080902783,JNE,45556,98352,2534902200259586,REG23,,
5053,TRD2022080902814,JNE,45556,98314,2534902200259842,REG23,,
5312,TRD2022081002127,JNE,45556,98314,2534902200273892,REG23,,
5342,TRD2022081002399,JNE,45556,98314,2534902200274841,REG23,,
5400,TRD2022081100706,JNE,45556,98314,2534902200277067,REG23,,
5623,TRD2022081201415,JNE,45556,98314,2534902200285938,REG23,,
5833,TRD2022081301035,JNE,11450,98363,0136932200068618,REG23,,
5862,TRD2022081301375,JNE,45556,98314,2534902200296984,REG23,,
6180,TRD2022081503060,JNE,45556,38372,2534902200307948,REG23,,
6242,TRD2022081700358,JNE,45556,98315,2534902200312898,REG23,,
6306,TRD2022081700675,JNE,45556,98359,2534902200316105,REG23,,
6515,TRD2022081701841,JNE,45556,98314,2534902200321998,REG23,,
6791,TRD2022081901587,JNE,45556,98362,2534902200331328,REG23,,
6987,TRD2022082000496,JNE,45556,98314,2534902200340980,REG23,,
7053,TRD2022082001404,JNE,11450,98314,0136932200103019,REG23,,
7338,TRD2022082202555,JNE,11450,98355,0136932200110881,REG23,,
7610,TRD2022082206110,JNE,45556,98314,2534902200363495,REG23,,
8035,TRD2022082401190,JNE,45556,98362,2534902200380796,REG23,,
8109,TRD2022082401599,JNE,45556,98362,2534902200384681,REG23,,
8161,TRD2022082401979,JNE,11450,98314,0136932200132570,REG23,,
8490,TRD2022082502181,JNE,45556,98314,2534902200392023,REG23,,
8791,TRD2022082504311,JNE,45556,98353,2534902200411088,REG23,,
8909,TRD2022082601186,JNE,45556,98362,2534902200418596,REG23,,
8982,TRD2022082601538,JNE,45556,98314,2534902200421020,REG23,,
9130,TRD2022082602680,JNE,11450,98314,0136932200163518,REG23,,
9239,TRD2022082603441,JNE,11450,13720,0136932200165398,REG23,,
9283,TRD2022082700926,JNE,11450,66229,0136932200171701,REG23,,
9396,TRD2022082701740,JNE,45556,98314,2534902200432050,REG23,,
9514,TRD2022082702311,JNE,45556,98314,2534902200437166,REG23,,
9663,TRD2022082902512,JNE,11450,66261,0136932200189752,REG23,,
10330,TRD2022082907197,JNE,45556,98355,2534902200467841,REG23,,
