shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2022070900360,2046,76309,Bunigeulis,45556,Tumbang Rungan,73111,2,3,REG23,,
TRD2022070900505,2046,47729,Bunigeulis,45556,Penkase Oeleta,85231,2,3,REG23,,
TRD2022070900636,2046,73900,Bunigeulis,45556,Simorangkir Julu,22417,5,7,REG23,,
TRD2022070900767,2046,78216,Bunigeulis,45556,Pitulua,93915,3,5,REG23,,
TRD2022071300414,2046,8741,Bunigeulis,45556,Bugis,77312,3,5,REG23,,
TRD2022071400548,2046,60888,Bunigeulis,45556,Neusu Aceh,23244,2,3,REG23,,
TRD2022071400561,2046,54044,Bunigeulis,45556,Kuala Secapah,78914,3,5,REG23,,
TRD2022071400564,2046,1071,Bunigeulis,45556,Nunukan Utara,77482,3,5,REG23,,
TRD2022071500764,2046,38641,Bunigeulis,45556,Melak Ulu,75765,3,5,REG23,,
TRD2022071600272,2046,67067,Bunigeulis,45556,Lunyuk Rea,84373,10,1,REG23,,
TRD2022071800662,2046,1071,Bunigeulis,45556,Nunukan Utara,77482,3,5,REG23,,
TRD2022071801072,2046,36519,Bunigeulis,45556,Carebbu,92776,5,7,REG23,,
TRD2022071801194,2046,37120,Bunigeulis,45556,Hamdan,20151,2,3,REG23,,
TRD2022071801833,2046,27327,Bunigeulis,45556,Balebandung Jaya,41262,4,5,REG23,,
TRD2022071905553,2046,74400,Bunigeulis,45556,Babakan,41174,3,4,REG23,,
TRD2022072000722,2046,36813,Bunigeulis,45556,Baraya,90153,1,2,REG23,,
TRD2022072000788,2046,8741,Bunigeulis,45556,Bugis,77312,3,5,REG23,,
TRD2022072001049,2046,37458,Bunigeulis,45556,Mbongawani,86313,3,5,REG23,,
TRD2022072001088,2046,72959,Bunigeulis,45556,Kusambi,72214,3,5,REG23,,
TRD2022072001473,2046,60888,Bunigeulis,45556,Neusu Aceh,23244,2,3,REG23,,
TRD2022072100720,2046,61837,Bunigeulis,45556,Barurambat Kota (Barkot),69317,2,3,REG23,,
TRD2022072100924,2046,24552,Bunigeulis,45556,Karangsari,41253,4,5,REG23,,
TRD2022072100979,2046,54453,Bunigeulis,45556,Topang,28755,10,1,REG23,,
TRD2022072101813,2046,34035,Bunigeulis,45556,Purwosari,63319,2,3,REG23,,
