No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api
1,TRD2022092701844,JNE,45556,83582,2534902200697124,2,3
2,TRD2022092701865,JNE,45556,91571,2534902200697801,5,7
3,TRD2022092701876,JNE,45556,23615,2534902200697025,5,7
4,TRD2022092701910,,45556,90234,2534902200697082,,
5,TRD2022092701951,JNE,45556,30114,2534902200698122,2,3
6,TRD2022092702285,JNE,17148,97231,0733272200473725,5,7
7,TRD2022092702290,JNE,17148,31611,0733272200473741,2,3
8,TRD2022092702293,JNE,17148,94364,0733272200473824,5,7
9,TRD2022092702303,JNE,17148,75683,0733272200473873,3,5
10,TRD2022092702322,JNE,17148,76261,0733272200474087,1,10
11,TRD2022092702335,JNE,17148,29458,0733272200474194,1,2
12,TRD2022092702362,JNE,17148,21465,0733272200474442,3,6
13,TRD2022092702413,JNE,17148,25126,0733272200474962,1,2
14,TRD2022092702415,JNE,17148,92117,0733272200475050,2,3
15,TRD2022092702440,JNE,17148,93563,0733272200475357,5,7
16,TRD2022092702467,JNE,17148,21219,0733272200476413,2,3
17,TRD2022092702553,JNE,17148,97516,0733272200476454,1,10
18,TRD2022092702606,JNE,17148,91512,0733272200476793,5,7
19,TRD2022092702642,JNE,17148,91411,0733272200477239,5,7
20,TRD2022092702654,JNE,17148,92117,0733272200477437,2,3
21,TRD2022092702740,JNE,17148,29212,0733272200478534,2,3
22,TRD2022092702752,JNE,17148,16414,0733272200478179,1,2
23,TRD2022092702755,JNE,17148,26573,0733272200478187,3,6
24,TRD2022092702757,JNE,17148,21219,0733272200478203,2,3
25,TRD2022092702765,JNE,17148,72275,0733272200478377,5,7
26,TRD2022092702797,JNE,17148,86754,0733272200478583,5,9
27,TRD2022092702806,JNE,17148,10530,0733272200479102,1,2
28,TRD2022092702850,JNE,17148,84314,0733272200479664,2,3
29,TRD2022092702885,JNE,17148,78768,0733272200479144,5,7
30,TRD2022092702889,JNE,17148,41373,0733272200480480,1,2
31,TRD2022092702898,JNE,17148,90224,0733272200481363,2,3
32,TRD2022092702910,JNE,17148,91922,0733272200479805,3,5
33,TRD2022092702935,JNE,17148,55651,0733272200481611,2,3
