No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api,requestPayload,responsePayload
1,TRD2022070900360,JNE,45556,73111,,2,3,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""73111"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":21,""minDuration"":15,""price"":185000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""377906bc304281b6f42678f73bf4edb7"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":5,""minDuration"":3,""price"":53000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""3371e1993aa76d15ef4ca711bce5cf96"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":3,""minDuration"":2,""price"":61000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""83e8d5103d37fcced9f7ec888c9073c0"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
2,TRD2022070900505,JNE,45556,85231,,2,3,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""85231"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":21,""minDuration"":15,""price"":165000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""58f13204d4747bc38d01589b5059a392"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":5,""minDuration"":3,""price"":82000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""be28c0cd4268654f0ab99ea8938252b5"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":3,""minDuration"":2,""price"":96000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""9efd3e0127b15abce0804c4c74c45f76"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
3,TRD2022070900636,JNE,45556,22417,,3,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""22417"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":10,""minDuration"":9,""price"":145000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""a877c9d142e8a665f5b92d772eda3129"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":6,""minDuration"":3,""price"":59000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""c208000343fec7cb779d04c1b085a6e8"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":5,""minDuration"":3,""price"":69000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""d7c1cf3a72275c6b2ce4c2ee1090c1d3"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
4,TRD2022070900767,JNE,45556,93915,,5,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""93915"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":8,""minDuration"":6,""price"":105000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""61a38f915d540ea463c0f8e43494cf38"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":7,""minDuration"":5,""price"":124000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""85de04b032c5f8b66ef5db85a932f2b8"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
5,TRD2022071300414,JNE,45556,77312,,3,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""77312"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":22,""minDuration"":16,""price"":200000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""bcd8ff53420fad3d679a8bae2a9e0775"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":7,""minDuration"":5,""price"":68000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""c8757162ff6823257ab233e0889f0e06"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":5,""minDuration"":3,""price"":80000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""a31bacbda6caf453dd011b35d586a9df"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
6,TRD2022071400548,JNE,45556,23244,,2,3,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""23244"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":10,""minDuration"":9,""price"":110000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""339d9eb30edc02cfafc6a9bba790f547"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":3,""minDuration"":2,""price"":58000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""07f5cac8f34f2daa72face5803ffe9ca"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":3,""minDuration"":2,""price"":67000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""cae7e7de29b525501784e9449bde1fe6"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
7,TRD2022071400561,JNE,45556,78914,,3,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""78914"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":22,""minDuration"":16,""price"":170000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""381bc5e627650698954f3b0b2058afe4"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":7,""minDuration"":5,""price"":65000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""c0ffb433bee79be4bbbffbf877297e5c"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":5,""minDuration"":3,""price"":75000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""fd22893ae41efc6a63a27376b34de20d"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
8,TRD2022071400564,JNE,45556,77482,,5,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""77482"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":8,""minDuration"":6,""price"":94000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""4cca0990685c00ec854934a5152729fb"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":7,""minDuration"":5,""price"":110000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""1be4c7bfe62773878455e638cd0a5dc5"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
9,TRD2022071500764,JNE,45556,75765,,3,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""75765"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":22,""minDuration"":16,""price"":245000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""e656cdd09dd7d4e4f19c6bd083de6a70"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":7,""minDuration"":5,""price"":81000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""9259436f13aad723d18d3355820ce674"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":5,""minDuration"":3,""price"":95000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""9bd87b19b226f9814d0970ac564fd010"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
10,TRD2022071600272,JNE,45556,84373,,3,6,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""JNE""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""45556"",""destinationPostalCode"":""84373"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":1,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":12,""minDuration"":10,""price"":210000,""rateCode"":""JTR23"",""rateName"":""Trucking"",""signedKey"":""59c8b79f56398d1d05e043325ef1e5ef"",""volumeWeight"":4,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":7,""minDuration"":4,""price"":65000,""rateCode"":""OKE23"",""rateName"":""Ongkos Kirim Ekonomis"",""signedKey"":""b485c7352a66659f1ae32c03542f6990"",""volumeWeight"":1000,""weight"":1000},{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/jne.png"",""logisticName"":""JNE"",""maxDuration"":6,""minDuration"":3,""price"":75000,""rateCode"":""REG23"",""rateName"":""Regular"",""signedKey"":""b23a64ad759a8845fcbc8eac2b98f44a"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
