No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022072700294,Jelambar Baru,11460,Bangka,12730,1,2,CTC23
2,TRD2022072700361,Jelambar Baru,11460,Baru,13780,1,2,CTC23
3,TRD2022072700313,Jelambar Baru,11460,Bendungan Hilir,10210,1,2,CTC23
4,TRD2022072700295,Jelambar Baru,11460,Bintaro,12330,1,2,CTC23
5,TRD2022072700306,Jelambar Baru,11460,Bukit Duri,12840,1,2,CTC23
6,TRD2022072700305,Jelambar Baru,11460,Cikini,10330,1,2,CTC23
7,TRD2022072700331,Jelambar Baru,11460,Duri Kepa,11510,1,2,CTC23
8,TRD2022072700274,Jelambar Baru,11460,Grogol,11450,1,2,CTC23
9,TRD2022072700373,Jelambar Baru,11460,Gunung Sahari Utara,10720,1,2,CTC23
10,TRD2022072700312,Jelambar Baru,11460,Kelapa Gading Barat,14240,1,2,CTC23
11,TRD2022072700339,Jelambar Baru,11460,West Cengkareng,11730,1,2,CTC23
12,TRD2022072700309,Jelambar Baru,11460,West Cengkareng,11730,1,2,CTC23
13,TRD2022072900814,Kali Rungkut,60119,Dukuh Setro,60138,2,3,CTC23
14,TRD2022072900791,Kali Rungkut,60119,Dupak,60179,2,3,CTC23
15,TRD2022072900793,Kali Rungkut,60119,Karangbong,61254,2,3,CTC23
16,TRD2022072900817,Kali Rungkut,60119,Tenggilis Mejoyo,60292,2,3,CTC23
17,TRD2022072900808,Kali Rungkut,60119,Wedoro,61256,2,3,CTC23
18,TRD2022072900844,Jelambar Baru,11460,Bambu Apus,13890,1,2,CTC23
19,TRD2022072900845,Jelambar Baru,11460,West Cengkareng,11730,1,2,CTC23
20,TRD2022080102271,Kali Rungkut,60119,Darmo,60241,2,3,CTC23
21,TRD2022080102263,Kali Rungkut,60119,Komplek Kenjeran,60123,2,3,CTC23
22,TRD2022080102241,Kali Rungkut,60119,Putat Jaya,60225,2,3,CTC23
23,TRD2022080200152,Bunderan,61153,Sidorukun,61124,3,4,CTC23
24,TRD2022080300763,Jelambar Baru,11460,Kapuk,14470,1,2,CTC23
25,TRD2022080400865,BlokQ2 Timur,14450,Cilandak Timur,12560,1,2,CTC23
26,TRD2022080401231,Bunderan,61153,Trate,61114,2,3,CTC23
27,TRD2022080401278,Kali Rungkut,60119,Rungkut Tengah,60239,2,3,CTC23
28,TRD2022080500868,Jelambar Baru,11460,West Cengkareng,11730,1,2,CTC23
29,TRD2022080500876,BlokQ2 Timur,14450,Cilandak Timur,12560,1,2,CTC23
30,TRD2022080801963,Kali Rungkut,60119,Embong Kaliasin,60271,2,3,CTC23
31,TRD2022080801995,Tenggilis Mejoyo,60292,Tambak Wedi,60126,2,3,CTC23
32,TRD2022080801997,BlokQ2 Timur,14450,Sumur Batu,10640,1,2,CTC23
33,TRD2022080803075,Bunderan,61153,Betoyokauman,61151,3,4,CTC23
