No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code,min_sla,max_sla,min_sla_api,max_sla_api
20001,TRD2022100101596,0733272200551272,1,Pekayon Jaya,17148,Margahayu Selatan,40226,REG23,1,,,
20002,TRD2022100101612,0733272200551611,1,Pekayon Jaya,17148,Plumbungan,52181,REG23,3,,,
20003,TRD2022100101628,0733272200551967,1,Pekayon Jaya,17148,Sei/Sungai Rahayu I,73814,REG23,5,,,
20004,TRD2022100101630,0733272200551017,1,Pekayon Jaya,17148,Kebon Bawang,14320,REG23,1,,,
20005,TRD2022100101632,0733272200551132,1,Pekayon Jaya,17148,Malinau Hulu,77554,REG23,3,,,
20006,TRD2022100101633,0733272200552288,1,Pekayon Jaya,17148,Paubokol (Paobokol),86682,REG23,1,10,,
20007,TRD2022100101635,0733272200551173,1,Pekayon Jaya,17148,Bandar Kidul,64118,REG23,1,,,
20008,TRD2022100101641,0733272200551439,1,Pekayon Jaya,17148,Kibin,42185,REG23,3,,,
20009,TRD2022100101659,0733272200551413,1,Pekayon Jaya,17148,Padang Tangah,26224,REG23,3,,,
20010,TRD2022100101660,0733272200552254,1,Pekayon Jaya,17148,Kapuwila,93885,REG23,5,,,
20011,TRD2022100101667,0733272200552155,1,Pekayon Jaya,17148,Ela-Ela,92511,REG23,5,,,
20012,TRD2022100101678,0733272200551330,1,Pekayon Jaya,17148,Aeramo,86472,REG23,1,10,,
20013,TRD2022100101687,0733272200552007,1,Pekayon Jaya,17148,Gebang Rejo,94619,REG23,3,,,
20014,TRD2022100101695,0733272200552353,1,Pekayon Jaya,17148,Loktabat Utara,70714,REG23,3,,,
20015,TRD2022100101700,0733272200551462,1,Pekayon Jaya,17148,Tanru Tedong,91681,REG23,5,,,
20016,TRD2022100101707,0733272200552650,1,Pekayon Jaya,17148,Igmbai (Igembai/Imbeisba),98355,REG23,6,,,
20017,TRD2022100101714,0733272200551835,1,Pekayon Jaya,17148,Cinta Damai (Dame),20371,REG23,3,,,
20018,TRD2022100101717,0733272200551280,1,Pekayon Jaya,17148,Kalipucang Wetan,51216,REG23,3,,,
20019,TRD2022100101718,0733272200551744,1,Pekayon Jaya,17148,Malinau Hulu,77554,REG23,3,,,
20020,TRD2022100101724,0733272200551900,1,Pekayon Jaya,17148,Holmafen (Holmafem),99373,REG23,6,,,
20021,TRD2022100101726,0733272200551983,1,Pekayon Jaya,17148,Bah Lias,21184,REG23,3,,,
20022,TRD2022100101739,0733272200552403,1,Pekayon Jaya,17148,Sri Tanjung,28781,REG23,1,10,,
20023,TRD2022100101743,0733272200552296,1,Pekayon Jaya,17148,Sangaji Utara,97751,REG23,2,,,
20024,TRD2022100101746,0733272200551561,1,Pekayon Jaya,17148,Cakung Barat,13910,REG23,1,,,
20025,TRD2022100101748,0733272200552122,1,Pekayon Jaya,17148,Argasari,46122,REG23,2,,,
20026,TRD2022100101760,0733272200552221,1,Pekayon Jaya,17148,Mataiyang,84455,REG23,3,,,
20027,TRD2022100101767,0733272200551652,1,Pekayon Jaya,17148,Cilandak Barat,12430,REG23,1,,,
20028,TRD2022100101768,0733272200552692,1,Pekayon Jaya,17148,Lunuk Bagantung,74356,REG23,5,,,
20029,TRD2022100101852,2534902200731246,1,Bunigeulis,45556,Bengkol,95251,REG23,2,,,
20030,TRD2022100101861,2534902200731337,1,Bunigeulis,45556,Lodtunduh,80582,REG23,3,,,
20031,TRD2022100101862,2534902200731535,1,Bunigeulis,45556,Sukorejo,51162,REG23,3,,,
20032,TRD2022100101865,2534902200731642,1,Bunigeulis,45556,Tembudan,77372,REG23,5,,,
20033,TRD2022100101872,2534902200731444,1,Bunigeulis,45556,Kalirejo,35365,REG23,5,,,
20034,TRD2022100101879,2534902200731386,1,Bunigeulis,45556,Pematang Pudu,28784,REG23,5,,,
20035,TRD2022100101890,2534902200731550,1,Bunigeulis,45556,Banyu Irang,70852,REG23,5,,,
20036,TRD2022100101891,2534902200731600,1,Bunigeulis,45556,Nijang,84316,REG23,3,,,
20037,TRD2022100101893,2534902200731683,1,Bunigeulis,45556,Pesaren,51252,REG23,3,,,
20038,TRD2022100101896,2534902200731592,1,Bunigeulis,45556,Pante Breuh,24357,REG23,5,,,
20039,TRD2022100101900,2534902200731717,1,Bunigeulis,45556,Teluk Dawan,36761,REG23,5,,,
20040,TRD2022100102074,0733272200552965,1,Pekayon Jaya,17148,Labuhan Ratu Satu (I),34396,REG23,2,,,
20041,TRD2022100102187,2534902200732012,1,Bunigeulis,45556,Suka Mulya,30962,REG23,4,,,
20042,TRD2022100102189,2534902200732145,1,Bunigeulis,45556,Amawang/Amawaking,78361,REG23,5,,,
20043,TRD2022100102191,2534902200732020,1,Bunigeulis,45556,Babura,20112,REG23,2,,,
20044,TRD2022100102203,2534902200732236,1,Bunigeulis,45556,Bawolowalani,22865,REG23,1,10,,
