No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022121205427,Pagedangan,15339,Benua Puhun,75553,5,7,REG23
2,TRD2022121205446,Pagedangan,15339,Gunung Panjang,75131,2,3,REG23
3,TRD2022121205582,Pagedangan,15339,Koya,95618,5,7,REG23
4,TRD2022121205566,Pagedangan,15339,Koya,95618,5,7,REG23
5,TRD2022121205633,Pagedangan,15339,Lunang Utara,25674,3,6,REG23
6,TRD2022121205445,Pagedangan,15339,Sungai Rasau,78353,5,7,REG23
7,TRD2022121205208,Pagedangan,15339,Ulujami,12230,1,2,REG23
8,TRD2022121500235,Pagedangan,15339,Curahtemu,67293,3,6,REG23
9,TRD2022121500553,Pagedangan,15339,Antang,90234,2,3,REG23
10,TRD2022121500530,Pagedangan,15339,Antang,90234,2,3,REG23
11,TRD2022121500572,Pagedangan,15339,Antang,90234,2,3,REG23
12,TRD2022121500697,Pagedangan,15339,Roko Roko,93572,5,7,REG23
13,TRD2022121900545,Pagedangan,15339,Sungai Rasau,78353,5,7,REG23
14,TRD2022121900503,Pagedangan,15339,Sungai Rasau,78353,5,7,REG23
15,TRD2022122000351,Pagedangan,15339,Sungai Rasau,78353,5,7,REG23
16,TRD2022122300419,Pagedangan,15339,Cempa,29873,10,1,REG23
17,TRD2022122400448,Pagedangan,15339,Sungai Rasau,78353,5,7,REG23
18,TRD2022122700409,Pagedangan,15339,Baloi Permai,29431,1,2,REG23
19,TRD2022122700518,Pagedangan,15339,Baloi Permai,29431,1,2,REG23
20,TRD2022122700430,Pagedangan,15339,Baloi Permai,29431,1,2,REG23
21,TRD2022122700484,Pagedangan,15339,Bara-Baraya Timur,90143,2,3,REG23
22,TRD2022122700451,Pagedangan,15339,Bara-Baraya Timur,90143,2,3,REG23
23,TRD2022122700525,Pagedangan,15339,Bila,90814,5,7,REG23
24,TRD2022122700459,Pagedangan,15339,Bila,90814,5,7,REG23
25,TRD2022122700560,Pagedangan,15339,Blang Berandang,23618,3,6,REG23
26,TRD2022122700551,Pagedangan,15339,Bua Kana,90222,2,3,REG23
27,TRD2022122700571,Pagedangan,15339,Bua Kana,90222,2,3,REG23
28,TRD2022122700524,Pagedangan,15339,Bua Kana,90222,2,3,REG23
29,TRD2022122700535,Pagedangan,15339,Donggala Kodi,94226,2,3,REG23
30,TRD2022122700557,Pagedangan,15339,Duo Koto,26471,3,6,REG23
31,TRD2022122700428,Pagedangan,15339,Lamaru,76117,1,2,REG23
