No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022081801993,Bunderan,61153,Air Belo,33351,5,7,SIUNT
2,TRD2022081801988,Bunderan,61153,A M P L A S,20148,2,4,SIUNT
3,TRD2022081801996,Bunderan,61153,Balam Sempurna Kota,28992,7,10,SIUNT
4,TRD2022081801992,Bunderan,61153,Banguntapan,55198,4,6,SIUNT
5,TRD2022081801997,Bunderan,61153,Bengkol,95251,2,4,SIUNT
6,TRD2022081801985,Bunderan,61153,Beo Sepang,86754,12,23,SIUNT
7,TRD2022081801989,Bunderan,61153,Bukit Tunggal,73112,2,3,SIUNT
8,TRD2022081801991,Bunderan,61153,Dangin Puri Kaja,80234,2,3,SIUNT
9,TRD2022081802000,Bunderan,61153,Diha,84173,9,11,SIUNT
10,TRD2022081801995,Bunderan,61153,Kiri Tana (Kiritana),87114,12,23,SIUNT
11,TRD2022081801987,Bunderan,61153,Lancang Garam,24351,9,10,SIUNT
12,TRD2022081801984,Bunderan,61153,Lengkong,40287,2,3,SIUNT
13,TRD2022081801998,Bunderan,61153,Meunasah Blang /Blt,24352,9,10,SIUNT
14,TRD2022081802003,Bunderan,61153,Ngaglik,65311,2,3,SIUNT
15,TRD2022081801986,Bunderan,61153,Pal Lima,78114,4,6,SIUNT
16,TRD2022081801994,Bunderan,61153,Pemecutan,80231,2,3,SIUNT
17,TRD2022081801990,Bunderan,61153,Sei/Sungai Jawi,78822,7,10,SIUNT
18,TRD2022081801999,Bunderan,61153,Selalong,79582,5,8,SIUNT
19,TRD2022081802002,Bunderan,61153,Sokkolia,92171,7,9,SIUNT
20,TRD2022081802001,Bunderan,61153,Tanjung Leidong,21475,7,10,SIUNT
21,TRD2022081802007,Bunderan,61153,Baya,94723,11,13,SIUNT
22,TRD2022081802006,Bunderan,61153,Kota Tanjung Pandan,33411,7,8,SIUNT
23,TRD2022081802081,Bunderan,61153,Afulu,22857,13,16,SIUNT
24,TRD2022081802101,Bunderan,61153,Anduonohu,93231,3,4,SIUNT
25,TRD2022081802121,Bunderan,61153,Antang,90234,2,3,SIUNT
26,TRD2022081802053,Bunderan,61153,Aren Jaya,17112,1,2,SIUNT
27,TRD2022081802072,Bunderan,61153,Balai Batu Sandaran,27422,6,8,SIUNT
28,TRD2022081802097,Bunderan,61153,Bale Kambang,13530,1,2,SIUNT
29,TRD2022081802088,Bunderan,61153,Baloi Permai,29431,3,4,SIUNT
30,TRD2022081802089,Bunderan,61153,Bangunharjo,50138,2,3,SIUNT
31,TRD2022081802073,Bunderan,61153,Bangun Jaya,92972,7,9,SIUNT
32,TRD2022081802122,Bunderan,61153,Banjar Tengah,82218,6,9,SIUNT
33,TRD2022081802075,Bunderan,61153,Barumbung,91352,5,7,SIUNT
34,TRD2022081802051,Bunderan,61153,Batangkaluku,92117,5,7,SIUNT
35,TRD2022081802125,Bunderan,61153,Batu Nindan,73564,9,11,SIUNT
36,TRD2022081802069,Bunderan,61153,Bentenan Satu,95997,9,12,SIUNT
37,TRD2022081802132,Bunderan,61153,Bonder (Bondir),83572,7,9,SIUNT
38,TRD2022081802093,Bunderan,61153,Bugis,75121,3,5,SIUNT
39,TRD2022081802060,Bunderan,61153,Bukit Duri,12840,1,2,SIUNT
40,TRD2022081802054,Bunderan,61153,Bukit Sari,33123,3,4,SIUNT
41,TRD2022081802083,Bunderan,61153,Cibodas Baru,15138,1,2,SIUNT
42,TRD2022081802063,Bunderan,61153,Cibubur,13720,1,2,SIUNT
43,TRD2022081802047,Bunderan,61153,Cigadung,41213,3,5,SIUNT
44,TRD2022081802118,Bunderan,61153,Cikalang,46114,4,5,SIUNT
45,TRD2022081802133,Bunderan,61153,Cipete Utara,12150,1,2,SIUNT
46,TRD2022081802070,Bunderan,61153,Dasan Agung Baru,83125,3,5,SIUNT
47,TRD2022081802052,Bunderan,61153,Debong Lor,52115,3,4,SIUNT
48,TRD2022081802074,Bunderan,61153,Gaharu,20235,2,4,SIUNT
49,TRD2022081802049,Bunderan,61153,Galur,10530,1,2,SIUNT
50,TRD2022081802134,Bunderan,61153,Gedong Pakuan/Pakuon,35222,2,3,SIUNT
51,TRD2022081802078,Bunderan,61153,Genting Tanah,75557,12,23,SIUNT
52,TRD2022081802082,Bunderan,61153,Glagah Harjo,55583,1,2,SIUNT
53,TRD2022081802091,Bunderan,61153,Grogol,11450,1,2,SIUNT
54,TRD2022081802056,Bunderan,61153,Hargobinangun,55582,1,2,SIUNT
55,TRD2022081802131,Bunderan,61153,Jantuk,83652,9,11,SIUNT
56,TRD2022081802124,Bunderan,61153,Jatibening Baru,17412,1,2,SIUNT
