No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2023010600171,Pagedangan,15339,Abadijaya,16417,1,2,iDLite
2,TRD2023010600076,Pagedangan,15339,Airlangga,60286,2,9,iDLite
3,TRD2023010600146,Pagedangan,15339,Airlangga,60286,1,3,iDLite
4,TRD2023010600218,Pagedangan,15339,Alolama,93112,3,4,iDLite
5,TRD2023010600231,Pagedangan,15339,Alun Dua,31513,2,9,iDLite
6,TRD2023010600240,Pagedangan,15339,Amplas,20229,2,3,iDLite
7,TRD2023010600215,Pagedangan,15339,Anaiwoi,93118,3,4,iDLite
8,TRD2023010600083,Pagedangan,15339,Arjowinangun,65132,2,4,iDLite
9,TRD2023010600245,Pagedangan,15339,Asam Kumbang,20133,2,3,iDLite
10,TRD2023010600243,Pagedangan,15339,Babura,20112,2,9,iDLite
11,TRD2023010600244,Pagedangan,15339,Babura Sunggal,20121,2,3,iDLite
12,TRD2023010600193,Pagedangan,15339,Bagan Hulu,28912,4,6,iDLite
13,TRD2023010600235,Pagedangan,15339,Bailangu Timur,30711,3,5,iDLite
14,TRD2023010600176,Pagedangan,15339,Baloi Permai,29431,2,4,iDLite
15,TRD2023010600091,Pagedangan,15339,Balongsari,60186,2,9,iDLite
16,TRD2023010600087,Pagedangan,15339,Bambu Apus,13890,1,2,iDLite
17,TRD2023010600238,Pagedangan,15339,Bandar Agung,31414,3,5,iDLite
18,TRD2023010600189,Pagedangan,15339,Bandar Baru,23126,2,4,iDLite
19,TRD2023010600078,Pagedangan,15339,Bandarharjo,50175,1,3,iDLite
20,TRD2023010600134,Pagedangan,15339,Bangkal,70732,2,4,iDLite
21,TRD2023010600151,Pagedangan,15339,Banjarmangu,53452,3,5,iDLite
22,TRD2023010600116,Pagedangan,15339,Barusari,50245,1,3,iDLite
23,TRD2023010600149,Pagedangan,15339,Basirih Selatan,70245,2,3,iDLite
24,TRD2023010600136,Pagedangan,15339,Basirih Selatan,70245,2,3,iDLite
25,TRD2023010600150,Pagedangan,15339,Basirih Selatan,70245,2,9,iDLite
26,TRD2023010600167,Pagedangan,15339,Bedadung,68181,3,5,iDLite
