No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022121000093,Pagedangan,15339,Gaya Baru Lima,34159,2,9,iDSTD
2,TRD2022121000094,Pagedangan,15339,Gaya Baru Lima,34159,2,9,iDSTD
3,TRD2022121004282,Pagedangan,15339,19 Ilir,30132,2,3,iDSTD
4,TRD2022121004155,Pagedangan,15339,Aertembaga Dua (II),95526,2,9,iDSTD
5,TRD2022121004275,Pagedangan,15339,Anaiwoi,93118,2,9,iDSTD
6,TRD2022121004253,Pagedangan,15339,Angke,11330,1,2,iDSTD
7,TRD2022121004145,Pagedangan,15339,Antapani Tengah,40291,1,3,iDSTD
8,TRD2022121004199,Pagedangan,15339,Argomulyo,55752,1,3,iDSTD
9,TRD2022121004173,Pagedangan,15339,Atep,95694,5,7,iDSTD
10,TRD2022121004202,Pagedangan,15339,Babakan Penghulu,40294,1,3,iDSTD
11,TRD2022121004222,Pagedangan,15339,Baciro,55225,1,3,iDSTD
12,TRD2022121004326,Pagedangan,15339,Bagelen,20634,3,5,iDSTD
13,TRD2022121004244,Pagedangan,15339,Bahomakmur,94974,5,7,iDSTD
14,TRD2022121004299,Pagedangan,15339,Bahomakmur,94974,5,7,iDSTD
15,TRD2022121004200,Pagedangan,15339,Bahomakmur,94974,5,7,iDSTD
16,TRD2022121004283,Pagedangan,15339,Balai-Balai,27114,4,6,iDSTD
17,TRD2022121004238,Pagedangan,15339,Balai Kurai Taji,25531,2,4,iDSTD
18,TRD2022121004156,Pagedangan,15339,Bale Kambang,13530,2,9,iDSTD
19,TRD2022121004252,Pagedangan,15339,Bale Kambang,13530,1,2,iDSTD
20,TRD2022121004214,Pagedangan,15339,Bale Kambang,13530,1,2,iDSTD
21,TRD2022121004147,Pagedangan,15339,Bali Mester,13310,1,2,iDSTD
22,TRD2022121004193,Pagedangan,15339,Bambu,91514,2,9,iDSTD
23,TRD2022121004323,Pagedangan,15339,Bambu Apus,15415,1,2,iDSTD
24,TRD2022121004194,Pagedangan,15339,Bandar Agung,34167,4,6,iDSTD
25,TRD2022121004178,Pagedangan,15339,Bandar Baru,23126,2,4,iDSTD
26,TRD2022121004262,Pagedangan,15339,Bandar Baru,23126,2,9,iDSTD
27,TRD2022121004245,Pagedangan,15339,Bangunjiwo,55184,2,9,iDSTD
28,TRD2022121004227,Pagedangan,15339,Bangun Purba,28557,5,7,iDSTD
29,TRD2022121004170,Pagedangan,15339,Bantargebang,17151,1,2,iDSTD
30,TRD2022121004273,Pagedangan,15339,Baru,13780,1,2,iDSTD
31,TRD2022121004241,Pagedangan,15339,Barumbung,91352,3,5,iDSTD
32,TRD2022121004300,Pagedangan,15339,Batang Ayumi Jae,22716,2,9,iDSTD
33,TRD2022121004320,Pagedangan,15339,Bategencu,94661,5,7,iDSTD
34,TRD2022121004195,Pagedangan,15339,Batulawang,43271,3,5,iDSTD
35,TRD2022121004329,Pagedangan,15339,Batu Lokong,20585,3,5,iDSTD
36,TRD2022121004310,Pagedangan,15339,Batu Rejo,20356,3,5,iDSTD
37,TRD2022121004263,Pagedangan,15339,Belendung,15123,1,2,iDSTD
38,TRD2022121004288,Pagedangan,15339,Belutu,28686,3,5,iDSTD
39,TRD2022121004215,Pagedangan,15339,Belutu,28686,3,5,iDSTD
40,TRD2022121004246,Pagedangan,15339,Bengkol,95251,2,4,iDSTD
41,TRD2022121004260,Pagedangan,15339,Benu-Benua,93123,3,4,iDSTD
42,TRD2022121004185,Pagedangan,15339,Berumbung Baru (Tilan),28671,3,5,iDSTD
43,TRD2022121004154,Pagedangan,15339,Besar,20251,2,3,iDSTD
44,TRD2022121004216,Pagedangan,15339,Bintara,17134,1,2,iDSTD
45,TRD2022121004267,Pagedangan,15339,Bintaro,12330,1,2,iDSTD
46,TRD2022121004230,Pagedangan,15339,Bintaro,12330,2,9,iDSTD
47,TRD2022121004250,Pagedangan,15339,Bira,90243,2,9,iDSTD
48,TRD2022121004183,Pagedangan,15339,Bojonghaleuang,40561,2,9,iDSTD
49,TRD2022121004163,Pagedangan,15339,Bojong Menteng,17117,1,2,iDSTD
50,TRD2022121004226,Pagedangan,15339,Budiman,36145,2,4,iDSTD
51,TRD2022121004213,Pagedangan,15339,Bulogading,90111,2,4,iDSTD
52,TRD2022121004184,Pagedangan,15339,Buntongi,94683,5,7,iDSTD
53,TRD2022121004303,Pagedangan,15339,Bunut Seberang,35451,3,5,iDSTD
54,TRD2022121004133,Pagedangan,15339,Burangkeng,17155,1,2,iDSTD
55,TRD2022121004289,Pagedangan,15339,Cemagi,80351,2,4,iDSTD
56,TRD2022121004284,Pagedangan,15339,Cempaka Putih,15411,1,2,iDSTD
57,TRD2022121004269,Pagedangan,15339,Cempaka Putih,15411,1,2,iDSTD
58,TRD2022121004279,Pagedangan,15339,Cempaka Putih,15411,1,2,iDSTD
59,TRD2022121004304,Pagedangan,15339,Cibadak,40241,1,3,iDSTD
60,TRD2022121004210,Pagedangan,15339,Cibeber,40531,2,9,iDSTD
61,TRD2022121004259,Pagedangan,15339,Cibogo,15344,1,2,iDSTD
62,TRD2022121004221,Pagedangan,15339,Cibubur,13720,2,9,iDSTD
63,TRD2022121004266,Pagedangan,15339,Cideng,10150,1,2,iDSTD
64,TRD2022121004224,Pagedangan,15339,Cikini,10330,1,2,iDSTD
65,TRD2022121004287,Pagedangan,15339,Cilandak Barat,12430,1,2,iDSTD
66,TRD2022121004130,Pagedangan,15339,Cilandak Barat,12430,1,2,iDSTD
67,TRD2022121004140,Pagedangan,15339,Cilandak Barat,12430,1,2,iDSTD
68,TRD2022121004161,Pagedangan,15339,Cilandak Barat,12430,1,2,iDSTD
69,TRD2022121004196,Pagedangan,15339,Cilandak Timur,12560,1,2,iDSTD
70,TRD2022121004211,Pagedangan,15339,Cilandak Timur,12560,1,2,iDSTD
71,TRD2022121004189,Pagedangan,15339,Cimerang,40553,1,3,iDSTD
72,TRD2022121004301,Pagedangan,15339,Cinta Damai (Dame),20371,3,5,iDSTD
73,TRD2022121004270,Pagedangan,15339,Cinta Damai (Dame),20371,3,5,iDSTD
74,TRD2022121004309,Pagedangan,15339,Cipadung,40614,1,3,iDSTD
75,TRD2022121004251,Pagedangan,15339,Cipaisan,41113,2,4,iDSTD
76,TRD2022121004188,Pagedangan,15339,Cipaku,16133,1,2,iDSTD
77,TRD2022121004129,Pagedangan,15339,Cipete Utara,12150,1,2,iDSTD
78,TRD2022121004146,Pagedangan,15339,Cipinang,13240,1,2,iDSTD
79,TRD2022121004136,Pagedangan,15339,Cisarua,43351,2,9,iDSTD
80,TRD2022121004218,Pagedangan,15339,Cot Lampoh Soh,23362,4,6,iDSTD
