No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api
1,TRD2022072000951,JNE,45556,45575,2534902200094355,2,3
2,TRD2022081201060,JNE,11450,13890,0136932200061274,1,2
3,TRD2022081201157,JNE,11450,10150,0136932200063510,1,2
4,TRD2022081301103,JNE,11450,12430,0136932200069459,1,2
5,TRD2022081501363,JNE,11450,14240,0136932200074111,1,2
6,TRD2022081501540,JNE,11450,14120,0136932200074848,1,2
7,TRD2022081700954,JNE,11450,12770,0136932200079987,1,2
8,TRD2022081701249,JNE,11450,12840,0136932200082825,1,2
9,TRD2022081701289,JNE,11450,11330,0136932200084375,1,2
10,TRD2022081701327,JNE,11450,14210,0136932200083666,1,2
11,TRD2022081801346,JNE,11450,13440,0136932200086701,1,2
12,TRD2022081801644,JNE,45556,45514,2534902200324653,1,2
13,TRD2022081900695,JNE,11450,11730,0136932200090927,1,2
14,TRD2022081900904,JNE,11450,13440,0136932200092840,1,2
15,TRD2022081901195,JNE,11450,10210,0136932200095512,1,2
16,TRD2022081901208,JNE,11450,13890,0136932200095165,1,2
17,TRD2022082001452,JNE,11450,11730,0136932200103902,1,2
18,TRD2022082202419,JNE,11450,11510,0136932200109511,1,2
19,TRD2022082202670,JNE,11450,12640,0136932200111962,1,2
20,TRD2022082202826,JNE,11450,12770,0136932200113737,1,2
21,TRD2022082203206,JNE,11450,12770,0136932200118918,1,2
22,TRD2022082203218,JNE,11450,12560,0136932200119395,1,2
23,TRD2022082402089,JNE,11450,11730,0136932200133529,1,2
24,TRD2022082402547,JNE,11450,13310,0136932200137876,1,2
25,TRD2022082501333,JNE,11450,14320,0136932200144344,1,2
26,TRD2022082501467,JNE,11450,11330,0136932200145762,1,2
27,TRD2022082501502,JNE,11450,10640,0136932200146059,1,2
28,TRD2022082501727,JNE,11450,10210,0136932200147511,1,2
29,TRD2022082501875,JNE,11450,12840,0136932200150358,1,2
30,TRD2022082502440,JNE,11450,12150,0136932200152016,1,2
31,TRD2022082602208,JNE,11450,11840,0136932200155936,1,2
32,TRD2022082602234,JNE,11450,14210,0136932200156181,1,2
33,TRD2022082602404,JNE,11450,12430,0136932200157858,1,2
34,TRD2022082602826,JNE,11450,13890,0136932200161595,1,2
35,TRD2022082602919,JNE,11450,13620,0136932200161843,1,2
36,TRD2022082603129,JNE,11450,12150,0136932200162965,1,2
37,TRD2022082700963,JNE,11450,12150,0136932200172170,1,2
38,TRD2022082701488,JNE,11450,11430,0136932200176676,1,2
39,TRD2022082701589,JNE,11450,11510,0136932200177070,1,2
40,TRD2022082902371,JNE,11450,11840,0136932200188242,1,2
41,TRD2022082902415,JNE,11450,13440,0136932200188697,1,2
42,TRD2022082902942,JNE,11450,11730,0136932200194810,1,2
43,TRD2022082903990,JNE,11450,10210,0136932200197995,1,2
44,TRD2022082904179,JNE,11450,14240,0136932200201557,1,2
45,TRD2022082904402,JNE,11450,13310,0136932200201516,1,2
46,TRD2022083001758,JNE,11450,11730,0136932200211184,1,2
47,TRD2022083001805,JNE,11450,13780,0136932200211572,1,2
48,TRD2022083002171,JNE,11450,12630,0136932200215201,1,2
49,TRD2022090201980,JNE,17148,17155,0733272200080413,1,2
50,TRD2022090300919,JNE,11450,13620,0136932200228840,1,2
51,TRD2022090500998,JNE,17148,17422,0733272200100229,1,2
52,TRD2022090701040,JNE,17148,17146,0733272200148285,1,2
53,TRD2022090901451,JNE,17148,17146,0733272200173895,1,2
54,TRD2022090901478,JNE,17148,17510,0733272200173911,1,2
55,TRD2022090902647,JNE,17148,17155,0733272200181534,1,2
56,TRD2022090902889,JNE,17148,17155,0733272200182250,1,2
57,TRD2022091001105,JNE,17148,17155,0733272200187770,1,2
58,TRD2022091001614,JNE,17148,17412,0733272200192853,1,2
59,TRD2022091202781,JNE,17148,17414,0733272200211059,1,2
60,TRD2022091203756,JNE,17148,17134,0733272200220381,1,2
61,TRD2022091203781,JNE,17148,17412,0733272200220639,1,2
62,TRD2022091204050,JNE,17148,17146,0733272200223013,1,2
63,TRD2022091204100,JNE,17148,17134,0733272200223906,1,2
64,TRD2022091402757,JNE,17148,17146,0733272200267861,1,2
65,TRD2022091402890,JNE,17148,17610,0733272200269214,1,2
66,TRD2022091403034,JNE,17148,17155,0733272200271285,1,2
67,TRD2022091502529,JNE,17148,17422,0733272200285525,1,2
68,TRD2022091603273,JNE,17148,17510,0733272200306065,1,2
69,TRD2022091700598,JNE,17148,17111,0733272200309531,1,2
70,TRD2022091902292,JNE,17148,17424,0733272200326345,1,2
71,TRD2022092202892,JNE,17148,17123,0733272200388071,1,2
72,TRD2022092403141,JNE,17148,17422,0733272200418670,1,2
73,TRD2022092600558,JNE,17148,17610,0733272200423647,1,2
74,TRD2022092601974,JNE,17148,17134,0733272200427689,1,2
75,TRD2022092602249,JNE,17148,17146,0733272200430055,1,2
76,TRD2022092603058,JNE,17148,17111,0733272200434990,1,2
77,TRD2022092605025,JNE,17148,17134,0733272200447489,1,2
78,TRD2022092605386,JNE,17148,17111,0733272200450962,1,2
79,TRD2022092701701,JNE,17148,17146,0733272200473063,1,2
80,TRD2022092801361,JNE,17148,17123,0733272200486875,1,2
81,TRD2022092804505,JNE,17148,17151,0733272200505617,1,2
82,TRD2022092902061,JNE,17148,17123,0733272200511656,1,2
83,TRD2022092904149,JNE,17148,17411,0733342200051530,1,2
84,TRD2022093000385,JNE,17148,17123,0733272200529245,1,2
85,TRD2022093001095,JNE,17148,17123,0733272200530367,1,2
86,TRD2022093002429,JNE,17148,17510,0733272200538824,1,2
87,TRD2022093002864,JNE,17148,17422,0733272200542719,1,2
88,TRD2022100101697,JNE,17148,17412,0733272200551538,1,2
89,TRD2022100301378,JNE,17148,17155,0733272200560091,1,2
90,TRD2022100302781,JNE,17148,17510,0733272200568805,1,2
91,TRD2022100302789,JNE,17148,17146,0733272200568367,1,2
92,TRD2022100500542,JNE,17148,17111,0733272200591344,1,2
93,TRD2022100501615,JNE,17148,17134,0733272200594447,1,2
94,TRD2022100502202,JNE,17148,17412,0733272200599909,1,2
95,TRD2022100602191,JNE,17148,17146,0733272200617503,1,2
96,TRD2022100602622,JNE,17148,17155,0733272200619848,1,2
97,TRD2022100700355,JNE,17148,17123,0733272200623725,1,2
98,TRD2022100701484,JNE,17148,17610,0733272200625753,1,2
99,TRD2022100701959,JNE,17148,17216,0733272200630266,1,2
100,TRD2022100702429,JNE,17148,17510,0733272200635026,1,2
101,TRD2022100702505,JNE,17148,17412,0733272200636917,1,2
102,TRD2022100702686,JNE,17148,17146,0733272200635133,1,2
103,TRD2022100800176,JNE,17148,17134,0733272200638392,1,2
104,TRD2022100801659,JNE,17148,17422,0733272200647294,1,2
105,TRD2022101000894,JNE,17148,17510,0733272200650975,1,2
106,TRD2022101301361,JNE,17148,17422,0733272200699915,1,2
107,TRD2022101401290,JNE,17148,17134,0733272200711421,1,2
108,TRD2022101500290,JNE,17148,17422,0733272200712213,1,2
109,TRD2022101704105,JNE,17148,17146,0733272200728706,1,2
110,TRD2022101704245,JNE,17148,17412,0733272200731403,1,2
111,TRD2022101704288,JNE,17148,17134,0733272200734373,1,2
112,TRD2022101900492,JNE,17148,17412,0733272200759826,1,2
113,TRD2022101901989,JNE,17148,17134,0733272200765757,1,2
114,TRD2022102001327,JNE,17148,17610,0733272200775384,1,2
115,TRD2022102102480,JNE,17148,17510,0733272200787165,1,2
116,TRD2022102601539,JNE,17148,17146,0733272200832300,1,2
117,TRD2022102601722,JNE,17148,17134,0733272200834397,1,2
118,TRD2022102803139,JNE,17148,17422,0733272200856002,1,2
119,TRD2022102803378,JNE,17148,17510,0733272200858065,1,2
120,TRD2022102900201,JNE,17148,17111,0733272200863677,1,2
121,TRD2022103102489,JNE,17148,17510,0733272200871936,1,2
122,TRD2022103103020,JNE,17148,17146,0733272200874484,1,2
123,TRD2022103103525,JNE,17148,17510,0733272200877362,1,2
124,TRD2022103103607,JNE,17148,17111,0733272200878014,1,2
125,TRD2022110102596,JNE,17148,17510,0733272200894219,1,2
126,TRD2022110304033,JNE,17148,17111,0733272200915386,1,2
127,TRD2022110503575,JNE,17148,17146,0733272200930138,1,2
128,TRD2022111702952,JNE,17148,17422,0733272201025615,1,2
129,TRD2022111903042,JNE,17148,17146,0733272201038402,1,2
130,TRD2022112101526,JNE,20148,20233,0434532200009270,1,2
131,TRD2022112101534,JNE,20148,20126,0434532200009742,1,2
132,TRD2022112101760,JNE,28155,28125,4727892200001612,1,2
133,TRD2022112201066,JNE,20148,20126,0434532200010617,1,2
134,TRD2022112201253,JNE,17148,17510,0733272201052098,1,2
135,TRD2022112201802,JNE,20148,20361,0434532200011235,3,6
136,TRD2022112301009,JNE,30154,30257,0930842200004588,1,2
137,TRD2022112301445,JNE,20148,20361,0434532200011607,3,6
138,TRD2022112301446,JNE,20148,20361,0434532200011979,3,6
139,TRD2022112301479,JNE,20148,20371,0434532200011839,3,6
140,TRD2022112501374,JNE,20148,20121,0434532200012738,1,2
141,TRD2022112501707,JNE,20148,20371,0434532200012969,3,6
142,TRD2022112501726,JNE,20148,20371,0434532200013132,3,6
143,TRD2022112601207,JNE,20148,20126,0434532200013538,1,2
144,TRD2022112601281,JNE,20148,20371,0434532200013785,3,6
145,TRD2022112601285,JNE,20148,20356,0434532200013686,3,6
146,TRD2022112601298,JNE,20148,20361,0434532200013819,3,6
147,TRD2022112601300,JNE,20148,20223,0434532200013850,1,2
148,TRD2022112601319,JNE,20148,20254,0434532200014064,1,2
149,TRD2022112801742,JNE,20148,20215,0434532200014189,1,2
150,TRD2022112801756,JNE,20148,20136,0434532200014338,1,2
151,TRD2022112801768,JNE,20148,20243,0434532200014445,1,2
152,TRD2022112801939,JNE,28155,28291,4727892200006272,1,2
153,TRD2022112803175,JNE,30154,30151,0930842200008191,1,2
154,TRD2022112803182,JNE,30154,30257,0930842200008555,1,2
155,TRD2022112803259,JNE,30154,30257,0930842200008811,1,2
156,TRD2022112803879,JNE,20148,20354,0434532200014528,3,6
157,TRD2022112803891,JNE,20148,20361,0434532200014593,3,6
158,TRD2022112803908,JNE,20148,20355,0434532200014791,1,2
159,TRD2022112803957,JNE,20148,20121,0434532200015285,1,2
160,TRD2022112803963,JNE,20148,20233,0434532200015244,1,2
161,TRD2022112804031,JNE,20148,20250,0434532200015939,1,2
162,TRD2022112901267,JNE,20148,20254,0434532200016085,1,2
163,TRD2022112901293,JNE,30154,30259,0930842200009686,1,2
164,TRD2022112902094,JNE,20148,20354,0434532200016408,3,6
165,TRD2022112902109,JNE,20148,20154,0434532200016838,1,2
166,TRD2022112902110,JNE,20148,20356,0434532200016846,3,6
167,TRD2022112902115,JNE,20148,20121,0434532200016556,1,2
168,TRD2022113001527,JNE,20148,20126,0434532200017000,1,2
169,TRD2022113001825,JNE,20148,20115,0434532200017166,1,2
170,TRD2022113001859,JNE,20148,20136,0434532200017448,1,2
171,TRD2022113001866,JNE,20148,20356,0434532200017513,3,6
172,TRD2022120100893,JNE,20148,20371,0434532200017836,3,6
173,TRD2022120101023,JNE,20148,20353,0434532200018172,3,6
174,TRD2022120101024,JNE,20148,20136,0434532200018255,1,2
175,TRD2022120101025,JNE,20148,20121,0434532200018214,1,2
176,TRD2022120101032,JNE,20148,20353,0434532200018339,3,6
177,TRD2022120101175,JNE,28155,28291,4727892200009938,1,2
178,TRD2022120101178,JNE,28155,28291,4727892200009979,1,2
179,TRD2022120200937,JNE,20148,20152,0434532200018594,1,2
180,TRD2022120200948,JNE,20148,20121,0434532200018719,1,2
181,TRD2022120200954,JNE,20148,20254,0434532200018784,1,2
182,TRD2022120201157,JNE,20148,20371,0434532200019352,3,6
183,TRD2022120201179,JNE,20148,20371,0434532200019196,3,6
184,TRD2022120201188,JNE,20148,20233,0434532200019246,1,2
185,TRD2022120201203,JNE,30154,30141,0930842200011872,1,2
186,TRD2022120201248,JNE,30154,30151,0930842200012532,1,2
187,TRD2022120201273,JNE,28155,28291,4727892200010332,1,2
188,TRD2022120203177,JNE,17148,17146,0733272201130647,1,2
189,TRD2022120301271,JNE,20148,20121,0434532200020186,1,2
190,TRD2022120301470,JNE,20148,20154,0434532200020285,1,2
191,TRD2022120301786,JNE,28155,28291,4727892200011702,1,2
192,TRD2022120501680,JNE,20148,20121,0434532200020772,1,2
193,TRD2022120501684,JNE,20148,20228,0434532200020749,1,2
194,TRD2022120501697,JNE,20148,20233,0434532200020764,1,2
195,TRD2022120501717,JNE,20148,20371,0434532200020954,3,6
196,TRD2022120501859,JNE,20148,20112,0434532200021598,1,2
197,TRD2022120501889,JNE,20148,20121,0434532200021499,1,2
198,TRD2022120501907,JNE,20148,20121,0434532200021804,1,2
199,TRD2022120501931,JNE,20148,20357,0434532200021994,1,2
200,TRD2022120501932,JNE,20148,20354,0434532200022042,3,6
201,TRD2022120501943,JNE,20148,20126,0434532200022117,1,2
202,TRD2022120501950,JNE,20148,20243,0434532200022224,1,2
203,TRD2022120501979,JNE,20148,20254,0434532200022448,1,2
204,TRD2022120501997,JNE,20148,20112,0434532200022554,1,2
205,TRD2022120502011,JNE,30154,30151,0930842200013753,1,2
206,TRD2022120502072,JNE,30154,30141,0930842200014751,1,2
207,TRD2022120601607,JNE,20148,20152,0434532200022794,1,2
208,TRD2022120604337,JNE,17148,17146,0733272201152278,1,2
209,TRD2022120604599,JNE,17148,17510,0733272201154092,1,2
210,TRD2022120701656,JNE,28155,28291,4727892200016396,1,2
