No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api
1,TRD2023010604420,JNE,30154,34764,0930842300007598,2,3
2,TRD2023010604426,JNE,30154,36123,0930842300007572,1,2
3,TRD2023010604437,JNE,80117,83652,0532932300007649,2,3
4,TRD2023010604438,JNE,80117,85228,0532932300007672,1,2
5,TRD2023010604443,JNE,80117,84382,0532932300007805,5,6
6,TRD2023010604452,JNE,80117,86462,0532932300007714,5,6
7,TRD2023010604454,JNE,80117,86153,0532932300007862,5,6
8,TRD2023010604480,JNE,45556,99777,2534902300009758,1,10
9,TRD2023010604489,JNE,45556,98813,2534902300009790,6,9
10,TRD2023010604490,JNE,45556,98813,2534902300009816,6,9
11,TRD2023010604499,JNE,45556,99910,2534902300010012,6,9
12,TRD2023010604500,JNE,45556,99351,2534902300009956,2,4
13,TRD2023010604502,JNE,45556,98813,2534902300009808,6,9
14,TRD2023010604505,JNE,45556,99113,2534902300010061,2,4
15,TRD2023010604507,JNE,45556,99351,2534902300010293,2,4
16,TRD2023010604512,JNE,45556,99910,2534902300009972,6,9
17,TRD2023010604516,JNE,45556,98813,2534902300009907,6,9
18,TRD2023010604520,JNE,45556,99351,2534902300010160,2,4
19,TRD2023010604524,JNE,45556,99616,2534902300010194,6,9
20,TRD2023010604536,,45556,98362,2534902300010251,,
21,TRD2023010604547,JNE,45556,99351,2534902300010426,2,4
22,TRD2023010604548,JNE,45556,99616,2534902300010244,6,9
23,TRD2023010604551,JNE,17148,97721,0733272300031753,2,3
24,TRD2023010604552,JNE,17148,97582,0733272300031829,5,7
25,TRD2023010604556,JNE,17148,97611,0733272300031803,1,10
26,TRD2023010604557,JNE,17148,97792,0733272300031779,5,7
27,TRD2023010604562,,17148,98315,0733272300031845,,
28,TRD2023010604565,JNE,17148,97853,0733272300031837,5,7
29,TRD2023010604574,JNE,11450,80113,0136932300010411,1,2
30,TRD2023010604579,JNE,11450,95373,0136932300010361,5,7
31,TRD2023010604583,JNE,11450,90951,0136932300010312,5,7
32,TRD2023010604584,JNE,11450,94226,0136932300010445,2,3
33,TRD2023010604590,JNE,11450,97127,0136932300010676,2,3
34,TRD2023010604592,JNE,11450,28752,0136932300010544,3,6
35,TRD2023010604593,JNE,11450,33149,0136932300010841,1,2
36,TRD2023010604594,JNE,11450,95231,0136932300010601,2,3
37,TRD2023010604595,JNE,11450,99616,0136932300010734,6,9
38,TRD2023010604598,JNE,11450,92763,0136932300010585,5,7
39,TRD2023010604599,JNE,11450,95513,0136932300010627,5,7
40,TRD2023010604603,JNE,11450,31666,0136932300010478,3,6
41,TRD2023010604606,JNE,11450,75558,0136932300010692,1,10
42,TRD2023010604627,JNE,11450,84371,0136932300010791,3,6
43,TRD2023010604628,JNE,11450,28992,0136932300010726,3,6
44,TRD2023010604642,JNE,11450,95694,0136932300011047,5,7
45,TRD2023010604648,JNE,11450,83121,0136932300010957,1,2
46,TRD2023010605157,JNE,45556,99352,2534902300010459,4,6
47,TRD2023010605160,JNE,45556,99616,2534902300010566,6,9
48,TRD2023010605162,JNE,45556,98118,2534902300010483,4,6
49,TRD2023010605164,JNE,45556,99910,2534902300010673,6,9
50,TRD2023010605165,JNE,45556,99351,2534902300010616,2,4
51,TRD2023010605167,JNE,45556,99910,2534902300010491,6,9
52,TRD2023010605168,JNE,45556,99352,2534902300010517,4,6
53,TRD2023010605170,JNE,45556,99223,2534902300010681,2,4
54,TRD2023010605171,JNE,45556,98813,2534902300010632,6,9
55,TRD2023010605176,JNE,45556,99352,2534902300010525,4,6
56,TRD2023010605177,JNE,45556,99468,2534902300010558,6,9
57,TRD2023010605279,,17148,98314,0733272300031969,,
58,TRD2023010605281,JNE,17148,99910,0733272300031985,6,9
59,TRD2023010605283,JNE,17148,99356,0733272300032009,6,9
60,TRD2023010605284,JNE,17148,99359,0733272300032025,6,9
61,TRD2023010605288,JNE,17148,98813,0733272300032058,6,9
62,TRD2023010605291,JNE,17148,97127,0733272300032074,2,3
63,TRD2023010605295,JNE,17148,97762,0733272300032124,3,5
64,TRD2023010605296,JNE,17148,97464,0733272300032132,1,10
65,TRD2023010605297,JNE,17148,97464,0733272300032140,1,10
66,TRD2023010605298,JNE,17148,97713,0733272300032157,2,3
67,TRD2023010605301,JNE,17148,97593,0733272300032181,1,10
68,TRD2023010605302,JNE,17148,99352,0733272300032199,6,9
69,TRD2023010605303,JNE,17148,97762,0733272300032231,3,5
70,TRD2023010605307,JNE,17148,97751,0733272300032256,2,3
71,TRD2023010605310,,17148,98315,0733272300032264,,
72,TRD2023010605312,JNE,17148,97464,0733272300032298,1,10
