No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api
1,TRD2023030305849,,61253,61225,6833602300003418,,
2,TRD2023030609618,,61253,61262,6833602300004960,,
3,TRD2023030706106,,61253,61258,6833602300005876,,
4,TRD2023031310173,,61253,61225,6833602300009498,,
5,TRD2022071300593,,45556,98315,2534902200038816,,
6,TRD2022071500786,,45556,98315,2534902200050928,,
7,TRD2022071601374,,45556,98357,2534902200063285,,
8,TRD2022071800690,,45556,98315,2534902200066098,,
9,TRD2022072001464,,45556,98315,2534902200099347,,
10,TRD2022072100892,,45556,24386,2534902200103958,,
11,TRD2022072508378,,45556,98315,2534902200123618,,
12,TRD2022072600850,,45556,98354,2534902200137220,,
13,TRD2022072600965,,45556,98315,2534902200138137,,
14,TRD2022072601341,,45556,98315,2534902200139630,,
15,TRD2022072601634,,45556,98315,2534902200141123,,
16,TRD2022072901423,,45556,98314,2534902200159323,,
17,TRD2022080102062,,45556,98314,2534902200176491,,
18,TRD2022080102188,,45556,98354,2534902200177515,,
19,TRD2022080200792,,45556,98314,2534902200185260,,
20,TRD2022080200849,,45556,98315,2534902200185815,,
21,TRD2022080201084,,45556,98359,2534902200188074,,
22,TRD2022080202116,,45556,98362,2534902200190336,,
23,TRD2022080501203,,45556,98362,2534902200214953,,
24,TRD2022080502569,,45556,98314,2534902200219945,,
25,TRD2022080502707,,45556,98354,2534902200220620,,
26,TRD2022080502926,,45556,98314,2534902200223228,,
27,TRD2022080901446,,45556,98354,2534902200258612,,
28,TRD2022080902783,,45556,98352,2534902200259586,,
29,TRD2022080902814,,45556,98314,2534902200259842,,
30,TRD2022081002127,,45556,98314,2534902200273892,,
31,TRD2022081002399,,45556,98314,2534902200274841,,
32,TRD2022081100706,,45556,98314,2534902200277067,,
33,TRD2022081201415,,45556,98314,2534902200285938,,
34,TRD2022081301035,,11450,98363,0136932200068618,,
35,TRD2022081301375,,45556,98314,2534902200296984,,
36,TRD2022081503060,,45556,38372,2534902200307948,,
37,TRD2022081700358,,45556,98315,2534902200312898,,
38,TRD2022081700675,,45556,98359,2534902200316105,,
39,TRD2022081701841,,45556,98314,2534902200321998,,
40,TRD2022081901587,,45556,98362,2534902200331328,,
41,TRD2022082000496,,45556,98314,2534902200340980,,
42,TRD2022082001404,,11450,98314,0136932200103019,,
43,TRD2022082202555,,11450,98355,0136932200110881,,
44,TRD2022082206110,,45556,98314,2534902200363495,,
45,TRD2022082401190,,45556,98362,2534902200380796,,
46,TRD2022082401599,,45556,98362,2534902200384681,,
47,TRD2022082401979,,11450,98314,0136932200132570,,
48,TRD2022082502181,,45556,98314,2534902200392023,,
49,TRD2022082504311,,45556,98353,2534902200411088,,
50,TRD2022082601186,,45556,98362,2534902200418596,,
51,TRD2022082601538,,45556,98314,2534902200421020,,
52,TRD2022082602680,,11450,98314,0136932200163518,,
53,TRD2022082603441,,11450,13720,0136932200165398,,
54,TRD2022082700926,,11450,66229,0136932200171701,,
55,TRD2022082701740,,45556,98314,2534902200432050,,
56,TRD2022082702311,,45556,98314,2534902200437166,,
57,TRD2022082902512,,11450,66261,0136932200189752,,
58,TRD2022082907197,,45556,98355,2534902200467841,,
59,TRD2022082907383,,45556,98314,2534902200470035,,
60,TRD2022083003540,,45556,98314,2534902200480091,,
61,TRD2022083004610,,45556,98314,2534902200484242,,
62,TRD2022083006648,,45556,98362,2534902200488052,,
63,TRD2022083100964,,45556,98314,2534902200491650,,
64,TRD2022090101188,,17147,98314,0733272200059110,,
65,TRD2022090300486,,17148,98314,0733272200085883,,
66,TRD2022090301904,,17148,98314,0733272200094653,,
67,TRD2022090502297,,45556,98314,2534902200518866,,
68,TRD2022090503717,,17148,98314,0733272200114709,,
69,TRD2022090602201,,45556,98314,2534902200528683,,
70,TRD2022090602521,,17148,98314,0733272200137775,,
71,TRD2022090603823,,45556,98314,2534902200533394,,
72,TRD2022090800727,,17148,98352,0733272200160058,,
73,TRD2022090802342,,17148,98354,0733272200165511,,
74,TRD2022090901504,,17148,98352,0733272200174430,,
75,TRD2022091001013,,17148,98356,0733272200186798,,
76,TRD2022091003464,,45556,98314,2534902200554705,,
77,TRD2022091204256,,17148,98314,0733272200224946,,
78,TRD2022091207554,,17148,98356,0733272200238417,,
79,TRD2022091402497,,17148,98314,0733272200265436,,
80,TRD2022091402867,,17148,98314,0733272200269263,,
81,TRD2022091403176,,17148,98314,0733272200271178,,
82,TRD2022091500702,,17148,98315,0733272200276078,,
83,TRD2022091502086,,17148,98314,0733272200278710,,
84,TRD2022091603373,,17148,98356,0733272200307030,,
85,TRD2022091603426,,17148,98314,0733272200307642,,
86,TRD2022091700819,,45556,98314,2534902200618708,,
87,TRD2022091703301,,45556,98356,2534902200622528,,
88,TRD2022091902566,,17148,98314,0733272200328895,,
89,TRD2022092003299,,17148,98314,0733272200360906,,
90,TRD2022092102488,,17148,98314,0733272200373818,,
91,TRD2022092200348,,17148,73111,0733272200376878,,
92,TRD2022092302303,,17148,98315,0733272200400405,,
93,TRD2022092302309,,17148,98314,0733272200400504,,
94,TRD2022092302321,,17148,98314,0733272200400462,,
95,TRD2022092401274,,17148,98314,0733272200407038,,
96,TRD2022092401283,,17148,98315,0733272200409075,,
97,TRD2022092601746,,17148,98315,0733272200425576,,
98,TRD2022092601784,,17148,98314,0733272200425972,,
99,TRD2022092602048,,17148,98314,0733272200429008,,
100,TRD2022092602195,,17148,98314,0733272200429073,,
101,TRD2022092604015,,17148,98314,0733272200439858,,
102,TRD2022092605713,,17148,98314,0733272200453420,,
103,TRD2022092701514,,17148,98314,0733272200471489,,
104,TRD2022092702528,,17148,98314,0733272200476025,,
105,TRD2022092703501,,45556,98315,2534902200700183,,
106,TRD2022092802790,,17148,66229,0733272200497385,,
107,TRD2022092802835,,17148,93885,0733272200497898,,
108,TRD2022092804109,,45556,98355,2534902200709531,,
109,TRD2022092901204,,17148,98315,0733272200508371,,
110,TRD2022092902259,,17148,98355,0733272200513470,,
111,TRD2022093000909,,17148,98314,0733272200531035,,
112,TRD2022100100873,,17148,98314,0733272200545670,,
113,TRD2022100101595,,17148,98315,0733272200551090,,
114,TRD2022100101707,,17148,98355,0733272200552650,,
115,TRD2022100302995,,17148,98314,0733272200571460,,
116,TRD2022100501827,,17148,98315,0733272200596517,,
117,TRD2022100501944,,17148,98355,0733272200597689,,
118,TRD2022100502203,,17148,98314,0733272200600178,,
119,TRD2022100701983,,17148,98314,0733272200630365,,
120,TRD2022100701987,,17148,98315,0733272200630423,,
121,TRD2022100801856,,17148,98355,0733272200649381,,
122,TRD2022101002095,,17148,98314,0733272200657202,,
123,TRD2022101002171,,17148,98356,0733272200657749,,
124,TRD2022101003121,,17148,98315,0733272200664588,,
125,TRD2022101101954,,17148,98315,0733272200681442,,
126,TRD2022101201617,,17148,98362,0733272200690625,,
127,TRD2022101302120,,17148,98314,0733272200704145,,
128,TRD2022101400471,,17148,98314,0733272200706355,,
129,TRD2022101401578,,45556,98355,2534902200813648,,
130,TRD2022101500310,,17148,98315,0733272200712551,,
131,TRD2022101501344,,17148,98314,0733272200716768,,
132,TRD2022101501360,,17148,98314,0733272200716594,,
133,TRD2022101701154,,17148,98314,0733272200723061,,
134,TRD2022101703025,,17148,98355,0733272200725199,,
135,TRD2022101704289,,17148,98314,0733272200734183,,
136,TRD2022101903254,,17148,98356,0733272200768405,,
137,TRD2022101903315,,17148,98314,0733272200769809,,
138,TRD2022102001230,,17148,98315,0733272200775004,,
139,TRD2022102001698,,17148,98314,0733272200778677,,
140,TRD2022102100341,,17148,98315,0733272200781739,,
141,TRD2022102102855,,17148,98314,0733272200788262,,
142,TRD2022102201763,,17148,98362,0733272200791845,,
143,TRD2022102401694,,17148,98314,0733272200803210,,
144,TRD2022102403455,,17148,98315,0733272200808128,,
145,TRD2022102405607,,17148,98356,0733272200816949,,
146,TRD2022102500028,,17148,98362,0733272200818200,,
147,TRD2022102503771,,45556,66291,2534902200860714,,
148,TRD2022102504534,,17148,98314,0733272200829199,,
149,TRD2022102601568,,17148,98314,0733272200832102,,
150,TRD2022102601580,,17148,98314,0733272200832359,,
151,TRD2022102601608,,17148,98356,0733272200832888,,
152,TRD2022102602490,,17148,98314,0733272200836947,,
153,TRD2022102602741,,17148,98314,0733272200840543,,
154,TRD2022102700320,,17148,98314,0733272200842838,,
155,TRD2022102702119,,17148,98314,0733272200849536,,
156,TRD2022102702126,,17148,98314,0733272200849593,,
157,TRD2022102800614,,17148,98315,0733272200853553,,
158,TRD2022103107325,,17148,98356,0733272200887411,,
159,TRD2022103107391,,17148,98314,0733272200888112,,
160,TRD2022103107416,,17148,98315,0733272200888344,,
161,TRD2022103107459,,17148,98314,0733272200888229,,
162,TRD2022103107460,,17148,98315,0733272200888849,,
163,TRD2022110102667,,17148,98314,0733272200895380,,
164,TRD2022110103599,,17148,98356,0733272200896685,,
165,TRD2022110202623,,17148,98314,0733272200905593,,
166,TRD2022110204001,,17148,98314,0733272200910486,,
