No,originPostalCode,originDistrictName,originCityName,originProvince,originLat,originLong,destinationPostalCode,destDistrictName,destinationCityName,destProvince,destinationLat,destinationLong
3171,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,36761,Muara Sabak Timur,Tanjung Jabung Timur,Jambi,0,0
3172,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,36771,Nipah Panjang,Tanjung Jabung Timur,Jambi,0,0
3173,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,36772,Rantau Rasau,Tanjung Jabung Timur,Jambi,0,0
3174,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,36773,Sadu,Tanjung Jabung Timur,Jambi,0,0
3175,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37572,Muara Tabir,Tebo,Jambi,0,0
3176,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37553,Rimbo Bujang,Tebo,Jambi,0,0
3177,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37553,Rimbo Ilir,Tebo,Jambi,0,0
3178,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37553,Rimbo Ulu,Tebo,Jambi,0,0
3179,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37554,Serai Serumpun,Tebo,Jambi,0,0
3180,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37573,Sumay,Tebo,Jambi,0,0
3181,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37572,Tebo Ilir,Tebo,Jambi,0,0
3182,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37571,Tebo Tengah,Tebo,Jambi,0,0
3183,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37554,Tebo Ulu,Tebo,Jambi,0,0
3184,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37574,Tengah Ilir,Tebo,Jambi,0,0
3185,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37259,Vii Koto,Tebo,Jambi,0,0
3186,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,37259,Vii Koto Ilir,Tebo,Jambi,0,0
3187,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38221,Gading Cempaka,Bengkulu,Bengkulu,0,0
3188,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38215,Kampung Melayu,Bengkulu,Bengkulu,0,0
3189,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38121,Muara Bangka Hulu,Bengkulu,Bengkulu,0,0
3190,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38223,Ratu Agung,Bengkulu,Bengkulu,0,0
3191,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38222,Ratu Samban,Bengkulu,Bengkulu,0,0
3192,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38216,Selebar,Bengkulu,Bengkulu,0,0
3193,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38221,Singaran Pati,Bengkulu,Bengkulu,0,0
3194,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38119,Sungai Serut,Bengkulu,Bengkulu,0,0
3195,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38119,Teluk Segara,Bengkulu,Bengkulu,0,0
3196,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38571,Air Nipis,Bengkulu Selatan,Bengkulu,0,0
3197,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38511,Bunga Mas,Bengkulu Selatan,Bengkulu,0,0
3198,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38553,Kedurang,Bengkulu Selatan,Bengkulu,0,0
3199,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38553,Kedurang Ilir,Bengkulu Selatan,Bengkulu,0,0
3200,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38513,Kota Manna,Bengkulu Selatan,Bengkulu,0,0
3201,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38511,Manna,Bengkulu Selatan,Bengkulu,0,0
3202,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38518,Pasar Manna,Bengkulu Selatan,Bengkulu,0,0
3203,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38571,Pino,Bengkulu Selatan,Bengkulu,0,0
3204,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38571,Pinoraya,Bengkulu Selatan,Bengkulu,0,0
3205,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38552,Seginim,Bengkulu Selatan,Bengkulu,0,0
3206,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38571,Ulu Manna,Bengkulu Selatan,Bengkulu,0,0
3207,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38372,Bang Haji,Bengkulu Tengah,Bengkulu,0,0
3208,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38382,Karang Tinggi,Bengkulu Tengah,Bengkulu,0,0
3209,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38386,Merigi Kelindang,Bengkulu Tengah,Bengkulu,0,0
3210,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38383,Merigi Sakti,Bengkulu Tengah,Bengkulu,0,0
3211,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38383,Pagar Jati,Bengkulu Tengah,Bengkulu,0,0
3212,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38372,Pematang Tiga,Bengkulu Tengah,Bengkulu,0,0
3213,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38371,Pondok Kelapa,Bengkulu Tengah,Bengkulu,0,0
3214,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38375,Pondok Kubang,Bengkulu Tengah,Bengkulu,0,0
3215,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38386,Taba Penanjung,Bengkulu Tengah,Bengkulu,0,0
3216,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38385,Talang Empat,Bengkulu Tengah,Bengkulu,0,0
3217,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38575,Air Besi,Bengkulu Utara,Bengkulu,0,0
3218,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38373,Air Napal,Bengkulu Utara,Bengkulu,0,0
3219,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38653,Air Padang,Bengkulu Utara,Bengkulu,0,0
3220,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38619,Arga Makmur,Bengkulu Utara,Bengkulu,0,0
3221,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38611,Arma Jaya,Bengkulu Utara,Bengkulu,0,0
3222,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38656,Batik Nau,Bengkulu Utara,Bengkulu,0,0
3223,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38387,Enggano,Bengkulu Utara,Bengkulu,0,0
3224,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38655,Giri Mulia,Bengkulu Utara,Bengkulu,0,0
3225,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38374,Hulu Palik,Bengkulu Utara,Bengkulu,0,0
3226,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38374,Kerkap,Bengkulu Utara,Bengkulu,0,0
3227,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38361,Ketahun,Bengkulu Utara,Bengkulu,0,0
3228,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,30757,Lais,Musi Banyuasin,Sumatera Selatan,0,0
3229,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38363,Napal Putih,Bengkulu Utara,Bengkulu,0,0
3230,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38657,Padang Jaya,Bengkulu Utara,Bengkulu,0,0
3231,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38326,Putri Hijau,Bengkulu Utara,Bengkulu,0,0
3232,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38575,Tanjung Agung Palik,Bengkulu Utara,Bengkulu,0,0
3233,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38363,Ulok Kupai,Bengkulu Utara,Bengkulu,0,0
3234,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38963,Kaur Selatan,Kaur,Bengkulu,0,0
3235,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38961,Kaur Tengah,Kaur,Bengkulu,0,0
3236,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38956,Kaur Utara,Kaur,Bengkulu,0,0
3237,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38956,Kelam Tengah,Kaur,Bengkulu,0,0
3238,13570,Makasar,Jakarta Timur,DKI Jakarta,0,0,38962,Kinal,Kaur,Bengkulu,0,0
