No,originDistrictName,originCityName,originProvince,originPostalCode,originLat,originLong,destDistrictName,destinationCityName,destProvince,destinationPostalCode,destinationLat,destinationLong
5715,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kelimutu,Ende,Nusa Tenggara Timur,86318,0,0
5716,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kotabaru,Karawang,Jawa Barat,41374,0,0
5717,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Lepembusu Kelisoke,Ende,Nusa Tenggara Timur,86375,0,0
5718,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Lio Timur,Ende,Nusa Tenggara Timur,86361,0,0
5719,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Maukaro,Ende,Nusa Tenggara Timur,86352,0,0
5720,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Maurole,Ende,Nusa Tenggara Timur,86381,0,0
5721,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Nangapanda,Ende,Nusa Tenggara Timur,86352,0,0
5722,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Ndona,Ende,Nusa Tenggara Timur,86361,0,0
5723,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Ndona Timur,Ende,Nusa Tenggara Timur,86361,0,0
5724,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Ndori,Ende,Nusa Tenggara Timur,86372,0,0
5725,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Pulau Ende,Ende,Nusa Tenggara Timur,86362,0,0
5726,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Wewaria,Ende,Nusa Tenggara Timur,86353,0,0
5727,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Wolojita,Ende,Nusa Tenggara Timur,86382,0,0
5728,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Wolowaru,Ende,Nusa Tenggara Timur,86372,0,0
5729,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Adonara,Flores Timur,Nusa Tenggara Timur,86262,0,0
5730,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Adonara Barat,Flores Timur,Nusa Tenggara Timur,86262,0,0
5731,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Adonara Tengah,Flores Timur,Nusa Tenggara Timur,86262,0,0
5732,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Adonara Timur,Flores Timur,Nusa Tenggara Timur,86261,0,0
5733,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Demon Pagong,Flores Timur,Nusa Tenggara Timur,86219,0,0
5734,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Ile Boleng,Flores Timur,Nusa Tenggara Timur,86253,0,0
5735,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Ile Bura,Flores Timur,Nusa Tenggara Timur,86253,0,0
5736,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Ile Mandiri,Flores Timur,Nusa Tenggara Timur,86211,0,0
5737,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kelubagolit (Klubagolit),Flores Timur,Nusa Tenggara Timur,86262,0,0
5738,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Larantuka,Flores Timur,Nusa Tenggara Timur,86219,0,0
5739,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Lewolema,Flores Timur,Nusa Tenggara Timur,86252,0,0
5740,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Solor Barat,Flores Timur,Nusa Tenggara Timur,86272,0,0
5741,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Solor Selatan,Flores Timur,Nusa Tenggara Timur,86272,0,0
5742,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Solor Timur,Flores Timur,Nusa Tenggara Timur,86271,0,0
5743,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Tanjung Bunga,Flores Timur,Nusa Tenggara Timur,86252,0,0
5744,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Titehena,Flores Timur,Nusa Tenggara Timur,86253,0,0
5745,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Witihama (Watihama),Flores Timur,Nusa Tenggara Timur,86262,0,0
5746,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Wotan Ulumado,Flores Timur,Nusa Tenggara Timur,86261,0,0
5747,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Wulanggitang,Flores Timur,Nusa Tenggara Timur,86253,0,0
5748,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Alak,Kupang,Nusa Tenggara Timur,85231,0,0
5749,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amabi Oefeto,"Kupang, Kab.",Nusa Tenggara Timur,85363,0,0
5750,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amabi Oefeto Timur,"Kupang, Kab.",Nusa Tenggara Timur,85363,0,0
5751,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amarasi,"Kupang, Kab.",Nusa Tenggara Timur,85367,0,0
5752,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amarasi Barat,"Kupang, Kab.",Nusa Tenggara Timur,85367,0,0
5753,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amarasi Selatan,"Kupang, Kab.",Nusa Tenggara Timur,85367,0,0
5754,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amarasi Timur,"Kupang, Kab.",Nusa Tenggara Timur,85367,0,0
5755,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amfoang Barat Daya,"Kupang, Kab.",Nusa Tenggara Timur,85364,0,0
5756,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amfoang Barat Laut,"Kupang, Kab.",Nusa Tenggara Timur,85364,0,0
5757,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amfoang Selatan,"Kupang, Kab.",Nusa Tenggara Timur,85364,0,0
5758,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amfoang Tengah,"Kupang, Kab.",Nusa Tenggara Timur,85364,0,0
5759,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amfoang Timur,"Kupang, Kab.",Nusa Tenggara Timur,85364,0,0
5760,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Amfoang Utara,"Kupang, Kab.",Nusa Tenggara Timur,85365,0,0
5761,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Fatuleu,"Kupang, Kab.",Nusa Tenggara Timur,85363,0,0
5762,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Fatuleu Barat,"Kupang, Kab.",Nusa Tenggara Timur,85223,0,0
5763,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Fatuleu Tengah,"Kupang, Kab.",Nusa Tenggara Timur,85223,0,0
5764,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kelapa Lima,Kupang,Nusa Tenggara Timur,85228,0,0
5765,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kota Lama,Kupang,Nusa Tenggara Timur,85225,0,0
5766,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kota Raja,Kupang,Nusa Tenggara Timur,85118,0,0
5767,Medan Amplas,Medan,Sumatera Utara,20217,0,0,Kupang Barat,"Kupang, Kab.",Nusa Tenggara Timur,85351,0,0
