No,originDistrictName,originCityName,originProvince,originPostalCode,originLat,originLong,destDistrictName,destinationCityName,destProvince,destinationPostalCode,destinationLat,destinationLong
3398,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Sungai Lilin,Musi Banyuasin,Sumatera Selatan,30755,0,0
3399,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Tungkal Jaya,Musi Banyuasin,Sumatera Selatan,30756,0,0
3400,Wonocolo,Surabaya,Jawa Timur,60237,0,0,JAYALOKA,Musi Rawas,Sumatera Selatan,31665,0,0
3401,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Karang Dapo,Musi Rawas Utara,Sumatera Selatan,31658,0,0
3402,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Megang Sakti,Musi Rawas,Sumatera Selatan,31657,0,0
3403,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Muara Beliti,Musi Rawas,Sumatera Selatan,31661,0,0
3404,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Muara Kelingi,Musi Rawas,Sumatera Selatan,31663,0,0
3405,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Muara Lakitan,Musi Rawas,Sumatera Selatan,31666,0,0
3406,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Nibung,Musi Rawas Utara,Sumatera Selatan,31667,0,0
3407,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Rawas Ilir,Musi Rawas Utara,Sumatera Selatan,31655,0,0
3408,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Rawas Ulu,Musi Rawas Utara,Sumatera Selatan,31656,0,0
3409,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Rupit,Musi Rawas Utara,Sumatera Selatan,31654,0,0
3410,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Selangit,Musi Rawas,Sumatera Selatan,31625,0,0
3411,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Suku Tengah Lakitan Ulu Terawas,Musi Rawas,Sumatera Selatan,30771,0,0
3412,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Sukakarya,"Bekasi, Kab.",Jawa Barat,17630,0,0
3413,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Sumber Harta,Musi Rawas,Sumatera Selatan,30771,0,0
3414,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Tiang Pumpung Kepungut,Musi Rawas,Sumatera Selatan,31661,0,0
3415,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Tuah Negeri,Musi Rawas,Sumatera Selatan,31663,0,0
3416,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Tugumulyo,Musi Rawas,Sumatera Selatan,31662,0,0
3417,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Ulu Rawas,Musi Rawas Utara,Sumatera Selatan,31669,0,0
3418,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Indralaya Selatan,Ogan Ilir,Sumatera Selatan,30862,0,0
3419,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Indralaya Utara,Ogan Ilir,Sumatera Selatan,30862,0,0
3420,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Kandis,Ogan Ilir,Sumatera Selatan,30867,0,0
3421,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Lubuk Keliat,Ogan Ilir,Sumatera Selatan,30868,0,0
3422,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Muara Kuang,Ogan Ilir,Sumatera Selatan,30865,0,0
3423,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Payaraman,Ogan Ilir,Sumatera Selatan,30664,0,0
3424,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Pemulutan,Ogan Ilir,Sumatera Selatan,30653,0,0
3425,Wonocolo,Surabaya,Jawa Timur,60237,0,0,Pemulutan Barat,Ogan Ilir,Sumatera Selatan,30653,0,0
