Id,provinceName,City Name,Latitude,Longitude,postalCode
273,Sumatera Utara,Mandailing Natal,0.847732,99.250065,22911
23,Gorontalo,Pohuwato,0.739309,121.991675,96266
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
32,Jambi,Tanjung Jabung Barat,-1.25072,103.38945,36514
168,Sulawesi Selatan,Palopo,-2.978439,120.091282,91911
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
21,Gorontalo,Gorontalo,0.54854,123.070209,96112
146,Riau,Rokan Hilir,1.950618,100.825648,28911
76,Kalimantan Tengah,Sukamara,-2.600499,111.220706,74172
106,Lampung,Metro,-5.113594,105.305088,34111
124,Aceh,Aceh Utara,4.981445,97.438202,24311
290,Sumatera Utara,Tapanuli Tengah,1.815388,98.883182,22611
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
44,Kalimantan Barat,Sambas,1.403274,109.325107,79465
156,Sulawesi Selatan,Bantaeng,-5.516169,119.931403,92412
274,Sumatera Utara,Medan,3.595196,98.672222,20111
21,Gorontalo,Gorontalo,0.54854,123.070209,96112
13,Bengkulu,Kepahiang,-3.662338,102.524653,39112
142,Riau,Kepulauan Meranti,0.936412,102.700215,28755
130,Aceh,Lhokseumawe,5.186948,97.133471,24352
138,Riau,Dumai,1.678102,101.449121,28811
261,Sumatera Utara,Asahan,2.766106,99.047137,21211
251,Sumatera Selatan,Ogan Ilir,-3.446469,104.618896,30611
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
77,Kalimantan Timur,Balikpapan,-1.267638,116.827905,76111
186,Sulawesi Tengah,Parigi Moutong,0.53997,119.710356,94561
45,Kalimantan Barat,Sanggau,0.13477,110.592349,78557
252,Sumatera Selatan,Ogan Komering Ilir,-3.446607,104.488097,30655
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
154,Sulawesi Barat,Mamuju Tengah,-2.573133,119.363607,91512
48,Kalimantan Barat,Sintang,0.06395,111.492913,78611
274,Sumatera Utara,Medan,3.595196,98.672222,20111
26,Jambi,Jambi,-1.610122,103.613122,36128
290,Sumatera Utara,Tapanuli Tengah,1.815388,98.883182,22611
75,Kalimantan Tengah,Seruyan,-2.552164,112.581647,74261
193,Sulawesi Tenggara,Bau-Bau,-5.469289,122.604655,93711
150,Sulawesi Barat,Mamasa,-2.989799,119.345682,91371
144,Riau,Pekanbaru,0.534482,101.447679,28111
85,Kalimantan Timur,Samarinda,-0.502106,117.153709,75111
141,Riau,Kampar,0.291466,101.143107,28411
34,Jambi,Tebo,-1.578579,102.349139,37571
28,Jambi,Merangin,-2.34895,102.126105,37311
268,Sumatera Utara,Karo,3.028802,98.277303,22111
120,Aceh,Aceh Tamiang,4.065084,97.967821,24476
230,Sumatera Barat,Padang,-0.939989,100.35412,25111
81,Kalimantan Timur,Kutai Kartanegara,-0.214494,116.959885,75511
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
255,Sumatera Selatan,Ogan Komering Ulu Timur,-3.60614,103.975773,32184
25,Jambi,Bungo,-1.346301,101.842768,37211
279,Sumatera Utara,Padang Lawas,1.454282,99.246087,22711
235,Sumatera Barat,Pasaman Barat,-0.356482,99.872362,26566
105,Lampung,Mesuji,-4.003371,105.39169,34684
245,Sumatera Selatan,Empat Lawang,-3.730898,102.78492,31511
109,Lampung,Pringsewu,-5.364748,104.972015,35376
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
264,Sumatera Utara,Dairi,2.932329,98.132973,22211
21,Gorontalo,Gorontalo,0.54854,123.070209,96112
42,Kalimantan Barat,Pontianak,-0.099983,109.330533,78243
274,Sumatera Utara,Medan,3.595196,98.672222,20111
44,Kalimantan Barat,Sambas,1.403274,109.325107,79465
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
159,Sulawesi Selatan,Bulukumba,-5.425673,120.203804,92511
262,Sumatera Utara,Batu Bara,3.287994,99.507255,21255
235,Sumatera Barat,Pasaman Barat,-0.356482,99.872362,26566
116,Aceh,Aceh Besar,5.506105,95.36854,24382
243,Sumatera Barat,Tanah Datar,-0.453214,100.531948,27211
108,Lampung,Pesisir Barat,-2.651421,101.132202,34877
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
17,Bengkulu,Seluma,-4.078363,103.738369,38878
14,Bengkulu,Lebong,-3.053336,102.489627,39265
272,Sumatera Utara,Langkat,3.792181,98.385996,20811
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
255,Sumatera Selatan,Ogan Komering Ulu Timur,-3.60614,103.975773,32184
285,Sumatera Utara,Serdang Bedagai,3.432974,99.112736,20995
207,Sulawesi Tenggara,Muna Barat,-4.997515,122.60566,93671
65,Kalimantan Tengah,Barito Utara,-0.889685,115.137965,73881
58,Kalimantan Selatan,Kotabaru,-3.267211,116.225153,72163
109,Lampung,Pringsewu,-5.364748,104.972015,35376
144,Riau,Pekanbaru,0.534482,101.447679,28111
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
192,Sulawesi Tengah,Morowali Utara,0.900303,121.677543,94971
116,Aceh,Aceh Besar,5.506105,95.36854,24382
16,Bengkulu,Rejang Lebong,-3.385216,102.759482,39115
160,Sulawesi Selatan,Enrekang,-3.573256,119.752596,91711
165,Sulawesi Selatan,Luwu Utara,-2.382177,119.944564,92917
152,Sulawesi Barat,Mamuju Utara,-1.498526,119.239087,91561
268,Sumatera Utara,Karo,3.028802,98.277303,22111
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
268,Sumatera Utara,Karo,3.028802,98.277303,22111
248,Sumatera Selatan,Muara Enim,-3.549068,103.85882,31311
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
191,Sulawesi Tengah,Banggai Laut,-1.675078,123.044016,94892
44,Kalimantan Barat,Sambas,1.403274,109.325107,79465
105,Lampung,Mesuji,-4.003371,105.39169,34684
66,Kalimantan Tengah,Gunung Mas,-2.464237,112.862867,74511
128,Aceh,Gayo Lues,3.986971,97.317543,24653
289,Sumatera Utara,Tapanuli Selatan,-1.7854,99.100706,22742
239,Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),-0.679012,101.253522,27511
177,Sulawesi Selatan,Tana Toraja,-3.086371,119.904811,91811
266,Sumatera Utara,Gunungsitoli,1.277031,97.635925,22811
137,Riau,Bengkalis,1.488894,102.264307,28711
221,Sulawesi Utara,Minahasa Selatan,1.070894,124.813615,95953
267,Sumatera Utara,Humbang Hasundutan,2.33024,98.663552,22411
103,Lampung,Lampung Timur,-5.118196,105.708374,34194
206,Sulawesi Tenggara,Kolaka Timur,-4.068587,121.826181,93572
248,Sumatera Selatan,Muara Enim,-3.549068,103.85882,31311
6,Bangka Belitung,Belitung Timur,-2.909958,108.160792,33511
45,Kalimantan Barat,Sanggau,0.13477,110.592349,78557
272,Sumatera Utara,Langkat,3.792181,98.385996,20811
159,Sulawesi Selatan,Bulukumba,-5.425673,120.203804,92511
274,Sumatera Utara,Medan,3.595196,98.672222,20111
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
70,Kalimantan Tengah,Kotawaringin Timur,-2.04596,112.297125,74361
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
60,Kalimantan Selatan,Tanah Bumbu,-3.448552,115.61463,72211
127,Aceh,Bireuen,5.16914,96.789803,24261
51,Kalimantan Selatan,Banjar,-3.47219,114.8638,70611
153,Sulawesi Barat,Polewali Mandar,-3.281948,119.336006,91311
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
241,Sumatera Barat,Solok,-0.789275,100.653445,27381
250,Sumatera Selatan,Musi Rawas,-2.77162,103.008349,31661
185,Sulawesi Tengah,Palu,-0.883391,119.481491,94111
115,Aceh,Aceh Barat Daya,3.779372,97.609232,23764
53,Kalimantan Selatan,Banjarmasin,-3.320299,114.591866,70117
249,Sumatera Selatan,Musi Banyuasin,-2.689627,104.380374,30711
87,Kalimantan Utara,Bulungan,2.890445,117.986957,77211
82,Kalimantan Timur,Kutai Timur,-1.81616,117.614852,75683
151,Sulawesi Barat,Mamuju,-2.548926,118.909548,91511
285,Sumatera Utara,Serdang Bedagai,3.432974,99.112736,20995
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
272,Sumatera Utara,Langkat,3.792181,98.385996,20811
110,Lampung,Tanggamus,-5.351673,104.751878,35611
34,Jambi,Tebo,-1.578579,102.349139,37571
281,Sumatera Utara,Padang Sidempuan,1.369063,99.273018,22727
110,Lampung,Tanggamus,-5.351673,104.751878,35611
59,Kalimantan Selatan,Tabalong,-1.747828,115.915417,71513
29,Jambi,Muaro Jambi,-1.602238,103.610513,36364
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
163,Sulawesi Selatan,Luwu,-2.811711,120.124027,91992
140,Riau,Indragiri Hulu,0.862682,102.731788,29319
225,Sumatera Barat,Agam,-0.254882,100.233707,26164
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
127,Aceh,Bireuen,5.16914,96.789803,24261
274,Sumatera Utara,Medan,3.595196,98.672222,20111
146,Riau,Rokan Hilir,1.950618,100.825648,28911
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
50,Kalimantan Selatan,Balangan,-2.330097,115.275682,71665
101,Lampung,Lampung Selatan,-5.51985,104.939981,35592
254,Sumatera Selatan,Ogan Komering Ulu Selatan,-4.235329,103.530487,32274
291,Sumatera Utara,Tapanuli Utara,2.06944,99.858572,22411
230,Sumatera Barat,Padang,-0.939989,100.35412,25111
105,Lampung,Mesuji,-4.003371,105.39169,34684
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
106,Lampung,Metro,-5.113594,105.305088,34111
192,Sulawesi Tengah,Morowali Utara,0.900303,121.677543,94971
110,Lampung,Tanggamus,-5.351673,104.751878,35611
51,Kalimantan Selatan,Banjar,-3.47219,114.8638,70611
16,Bengkulu,Rejang Lebong,-3.385216,102.759482,39115
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
118,Aceh,Aceh Selatan,3.311304,97.222096,23711
143,Riau,Kuantan Singingi,-0.45251,101.45289,29511
36,Kalimantan Barat,Kapuas Hulu,0.918956,112.926506,78716
90,Kalimantan Utara,Tana Tidung,3.459778,117.59843,77152
289,Sumatera Utara,Tapanuli Selatan,-1.7854,99.100706,22742
181,Sulawesi Tengah,Banggai Kepulauan,0.800005,123.080234,94881
26,Jambi,Jambi,-1.610122,103.613122,36128
274,Sumatera Utara,Medan,3.595196,98.672222,20111
269,Sumatera Utara,Labuhan Batu,2.256043,100.043743,21411
141,Riau,Kampar,0.291466,101.143107,28411
35,Kalimantan Barat,Bengkayang,1.013747,109.618018,79211
255,Sumatera Selatan,Ogan Komering Ulu Timur,-3.60614,103.975773,32184
168,Sulawesi Selatan,Palopo,-2.978439,120.091282,91911
274,Sumatera Utara,Medan,3.595196,98.672222,20111
212,Sulawesi Utara,Bolaang Mongondow Selatan,0.601825,124.4335,95751
85,Kalimantan Timur,Samarinda,-0.502106,117.153709,75111
274,Sumatera Utara,Medan,3.595196,98.672222,20111
185,Sulawesi Tengah,Palu,-0.883391,119.481491,94111
185,Sulawesi Tengah,Palu,-0.883391,119.481491,94111
38,Kalimantan Barat,Ketapang,-1.88691,109.967179,78873
272,Sumatera Utara,Langkat,3.792181,98.385996,20811
101,Lampung,Lampung Selatan,-5.51985,104.939981,35592
186,Sulawesi Tengah,Parigi Moutong,0.53997,119.710356,94561
244,Sumatera Selatan,Banyuasin,-2.434015,104.583599,30911
145,Riau,Pelalawan,0.160037,102.258579,28383
210,Sulawesi Utara,Bitung,1.452365,125.184611,95511
235,Sumatera Barat,Pasaman Barat,-0.356482,99.872362,26566
171,Sulawesi Selatan,Pinrang,-3.742875,119.520969,91211
244,Sumatera Selatan,Banyuasin,-2.434015,104.583599,30911
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
27,Jambi,Kerinci,-2.04188,101.986481,37162
148,Riau,Siak,0.759398,101.923919,28763
274,Sumatera Utara,Medan,3.595196,98.672222,20111
193,Sulawesi Tenggara,Bau-Bau,-5.469289,122.604655,93711
81,Kalimantan Timur,Kutai Kartanegara,-0.214494,116.959885,75511
118,Aceh,Aceh Selatan,3.311304,97.222096,23711
261,Sumatera Utara,Asahan,2.766106,99.047137,21211
144,Riau,Pekanbaru,0.534482,101.447679,28111
