Id,provinceName,City Name,Latitude,Longitude,postalCode
116,Aceh,Aceh Besar,5.506105,95.36854,24382
240,Sumatera Barat,Solok,-0.792548,100.652947,27383
139,Riau,Indragiri Hilir,-0.170646,102.530555,29211
165,Sulawesi Selatan,Luwu Utara,-2.382177,119.944564,92917
259,Sumatera Selatan,Penukal Abab Lematang Ilir,-4.031489,103.097979,31214
252,Sumatera Selatan,Ogan Komering Ilir,-3.446607,104.488097,30655
272,Sumatera Utara,Langkat,3.792181,98.385996,20811
104,Lampung,Lampung Utara,-4.975167,105.25509,34511
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
111,Lampung,Tulang Bawang,-4.522042,105.205173,34611
268,Sumatera Utara,Karo,3.028802,98.277303,22111
44,Kalimantan Barat,Sambas,1.403274,109.325107,79465
225,Sumatera Barat,Agam,-0.254882,100.233707,26164
232,Sumatera Barat,Padang Pariaman,-0.57461,100.148899,25511
44,Kalimantan Barat,Sambas,1.403274,109.325107,79465
162,Sulawesi Selatan,Jeneponto,-5.582748,119.641924,92311
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
83,Kalimantan Timur,Paser,-1.701166,116.322919,76271
5,Bangka Belitung,Belitung,-2.741736,107.625053,33411
91,Kalimantan Utara,Tarakan,3.300009,117.61851,77111
48,Kalimantan Barat,Sintang,0.06395,111.492913,78611
116,Aceh,Aceh Besar,5.506105,95.36854,24382
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
156,Sulawesi Selatan,Bantaeng,-5.516169,119.931403,92412
63,Kalimantan Tengah,Barito Selatan,-2.981434,114.570154,73761
53,Kalimantan Selatan,Banjarmasin,-3.320299,114.591866,70117
244,Sumatera Selatan,Banyuasin,-2.434015,104.583599,30911
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
238,Sumatera Barat,Sawah Lunto,-0.687642,100.783294,27411
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
147,Riau,Rokan Hulu,0.881609,100.655658,28557
273,Sumatera Utara,Mandailing Natal,0.847732,99.250065,22911
185,Sulawesi Tengah,Palu,-0.883391,119.481491,94111
244,Sumatera Selatan,Banyuasin,-2.434015,104.583599,30911
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
244,Sumatera Selatan,Banyuasin,-2.434015,104.583599,30911
107,Lampung,Pesawaran,-5.487725,105.119718,35367
125,Aceh,Banda Aceh,5.54829,95.323755,23242
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
223,Sulawesi Utara,Minahasa Utara,1.480495,124.92493,95378
227,Sumatera Barat,Dharmasraya,-1.179729,101.341942,27678
42,Kalimantan Barat,Pontianak,-0.099983,109.330533,78243
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
57,Kalimantan Selatan,Hulu Sungai Utara,-2.286212,115.213917,71419
254,Sumatera Selatan,Ogan Komering Ulu Selatan,-4.235329,103.530487,32274
159,Sulawesi Selatan,Bulukumba,-5.425673,120.203804,92511
50,Kalimantan Selatan,Balangan,-2.330097,115.275682,71665
258,Sumatera Selatan,Prabumulih,-3.43947,104.242479,31111
152,Sulawesi Barat,Mamuju Utara,-1.498526,119.239087,91561
230,Sumatera Barat,Padang,-0.939989,100.35412,25111
32,Jambi,Tanjung Jabung Barat,-1.25072,103.38945,36514
97,Kepulauan Riau,Natuna,4.115287,108.146791,29783
109,Lampung,Pringsewu,-5.364748,104.972015,35376
173,Sulawesi Selatan,Sidenreng Rappang/Rapang,-3.894785,119.926524,91611
291,Sumatera Utara,Tapanuli Utara,2.06944,99.858572,22411
145,Riau,Pelalawan,0.160037,102.258579,28383
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
255,Sumatera Selatan,Ogan Komering Ulu Timur,-3.60614,103.975773,32184
198,Sulawesi Tenggara,Kolaka,-4.079712,121.897202,93511
160,Sulawesi Selatan,Enrekang,-3.573256,119.752596,91711
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
31,Jambi,Sungaipenuh,-2.062179,101.387452,37111
53,Kalimantan Selatan,Banjarmasin,-3.320299,114.591866,70117
187,Sulawesi Tengah,Poso,-1.39572,120.756019,94611
35,Kalimantan Barat,Bengkayang,1.013747,109.618018,79211
54,Kalimantan Selatan,Barito Kuala,-1.967769,114.810215,73712
285,Sumatera Utara,Serdang Bedagai,3.432974,99.112736,20995
73,Kalimantan Tengah,Palangka Raya,-2.204763,113.924411,73112
197,Sulawesi Tenggara,Kendari,-3.995386,122.515081,93111
41,Kalimantan Barat,Melawi,0.59733,111.58168,78619
152,Sulawesi Barat,Mamuju Utara,-1.498526,119.239087,91561
188,Sulawesi Tengah,Sigi,0.325773,119.645813,94362
140,Riau,Indragiri Hulu,0.862682,102.731788,29319
240,Sumatera Barat,Solok,-0.792548,100.652947,27383
267,Sumatera Utara,Humbang Hasundutan,2.33024,98.663552,22411
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
101,Lampung,Lampung Selatan,-5.51985,104.939981,35592
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
132,Aceh,Pidie,5.150908,95.980123,24111
28,Jambi,Merangin,-2.34895,102.126105,37311
253,Sumatera Selatan,Ogan Komering Ulu,-4.002411,103.873268,32156
287,Sumatera Utara,Simalungun,2.971524,99.000226,21161
20,Gorontalo,Gorontalo,0.550606,123.056555,96211
19,Gorontalo,Bone Bolango,0.686869,123.028466,96582
277,Sumatera Utara,Nias Selatan,0.760118,97.702262,22874
225,Sumatera Barat,Agam,-0.254882,100.233707,26164
146,Riau,Rokan Hilir,1.950618,100.825648,28911
36,Kalimantan Barat,Kapuas Hulu,0.918956,112.926506,78716
78,Kalimantan Timur,Berau,2.652081,117.442193,77311
249,Sumatera Selatan,Musi Banyuasin,-2.689627,104.380374,30711
287,Sumatera Utara,Simalungun,2.971524,99.000226,21161
260,Sumatera Selatan,Musi Rawas Utara,-2.372244,103.030468,31654
246,Sumatera Selatan,Lahat,-3.798075,103.516954,31411
98,Kepulauan Riau,Tanjung Pinang,0.903739,104.520442,29111
252,Sumatera Selatan,Ogan Komering Ilir,-3.446607,104.488097,30655
110,Lampung,Tanggamus,-5.351673,104.751878,35611
190,Sulawesi Tengah,Toli-Toli,0.888926,120.764719,94516
274,Sumatera Utara,Medan,3.595196,98.672222,20111
162,Sulawesi Selatan,Jeneponto,-5.582748,119.641924,92311
202,Sulawesi Tenggara,Konawe Utara,-3.493091,122.805502,93571
110,Lampung,Tanggamus,-5.351673,104.751878,35611
240,Sumatera Barat,Solok,-0.792548,100.652947,27383
243,Sumatera Barat,Tanah Datar,-0.453214,100.531948,27211
109,Lampung,Pringsewu,-5.364748,104.972015,35376
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
114,Aceh,Aceh Barat,4.393488,96.728292,23681
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
158,Sulawesi Selatan,Bone,-4.826803,120.052518,92711
183,Sulawesi Tengah,Donggala,-0.423099,119.841901,94356
29,Jambi,Muaro Jambi,-1.602238,103.610513,36364
226,Sumatera Barat,Bukittinggi,-0.303001,100.369957,26115
271,Sumatera Utara,Labuhan Batu Utara,2.358065,100.354073,21455
116,Aceh,Aceh Besar,5.506105,95.36854,24382
166,Sulawesi Selatan,Makassar,-5.147665,119.432731,90111
110,Lampung,Tanggamus,-5.351673,104.751878,35611
247,Sumatera Selatan,Lubuk Linggau,-3.284603,102.855535,31611
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
179,Sulawesi Selatan,Wajo,-3.783826,120.104919,90911
243,Sumatera Barat,Tanah Datar,-0.453214,100.531948,27211
130,Aceh,Lhokseumawe,5.186948,97.133471,24352
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
104,Lampung,Lampung Utara,-4.975167,105.25509,34511
137,Riau,Bengkalis,1.488894,102.264307,28711
218,Sulawesi Utara,Kotamobagu,0.736161,124.3212,95711
85,Kalimantan Timur,Samarinda,-0.502106,117.153709,75111
38,Kalimantan Barat,Ketapang,-1.88691,109.967179,78873
110,Lampung,Tanggamus,-5.351673,104.751878,35611
255,Sumatera Selatan,Ogan Komering Ulu Timur,-3.60614,103.975773,32184
45,Kalimantan Barat,Sanggau,0.13477,110.592349,78557
155,Sulawesi Barat,Pasangkayu,-1.502777,119.655733,91361
125,Aceh,Banda Aceh,5.54829,95.323755,23242
188,Sulawesi Tengah,Sigi,0.325773,119.645813,94362
168,Sulawesi Selatan,Palopo,-2.978439,120.091282,91911
60,Kalimantan Selatan,Tanah Bumbu,-3.448552,115.61463,72211
249,Sumatera Selatan,Musi Banyuasin,-2.689627,104.380374,30711
161,Sulawesi Selatan,Gowa,-5.370028,119.689257,92111
45,Kalimantan Barat,Sanggau,0.13477,110.592349,78557
16,Bengkulu,Rejang Lebong,-3.385216,102.759482,39115
53,Kalimantan Selatan,Banjarmasin,-3.320299,114.591866,70117
237,Sumatera Barat,Pesisir Selatan,-1.301821,100.211183,25673
146,Riau,Rokan Hilir,1.950618,100.825648,28911
280,Sumatera Utara,Padang Lawas Utara,1.6203,99.492513,22756
172,Sulawesi Selatan,Selayar (Kepulauan Selayar),-6.004651,120.58712,92812
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
185,Sulawesi Tengah,Palu,-0.883391,119.481491,94111
203,Sulawesi Tenggara,Muna,-4.897745,122.600079,93611
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
73,Kalimantan Tengah,Palangka Raya,-2.204763,113.924411,73112
274,Sumatera Utara,Medan,3.595196,98.672222,20111
77,Kalimantan Timur,Balikpapan,-1.267638,116.827905,76111
268,Sumatera Utara,Karo,3.028802,98.277303,22111
148,Riau,Siak,0.759398,101.923919,28763
110,Lampung,Tanggamus,-5.351673,104.751878,35611
240,Sumatera Barat,Solok,-0.792548,100.652947,27383
202,Sulawesi Tenggara,Konawe Utara,-3.493091,122.805502,93571
127,Aceh,Bireuen,5.16914,96.789803,24261
190,Sulawesi Tengah,Toli-Toli,0.888926,120.764719,94516
28,Jambi,Merangin,-2.34895,102.126105,37311
281,Sumatera Utara,Padang Sidempuan,1.369063,99.273018,22727
208,Sulawesi Tenggara,Buton Selatan,-5.137606,122.956079,93753
163,Sulawesi Selatan,Luwu,-2.811711,120.124027,91992
152,Sulawesi Barat,Mamuju Utara,-1.498526,119.239087,91561
141,Riau,Kampar,0.291466,101.143107,28411
33,Jambi,Tanjung Jabung Timur,-1.292884,103.879452,36514
81,Kalimantan Timur,Kutai Kartanegara,-0.214494,116.959885,75511
81,Kalimantan Timur,Kutai Kartanegara,-0.214494,116.959885,75511
287,Sumatera Utara,Simalungun,2.971524,99.000226,21161
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
42,Kalimantan Barat,Pontianak,-0.099983,109.330533,78243
107,Lampung,Pesawaran,-5.487725,105.119718,35367
53,Kalimantan Selatan,Banjarmasin,-3.320299,114.591866,70117
249,Sumatera Selatan,Musi Banyuasin,-2.689627,104.380374,30711
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
148,Riau,Siak,0.759398,101.923919,28763
18,Gorontalo,Boalemo,0.648322,122.494283,96362
26,Jambi,Jambi,-1.610122,103.613122,36128
161,Sulawesi Selatan,Gowa,-5.370028,119.689257,92111
207,Sulawesi Tenggara,Muna Barat,-4.997515,122.60566,93671
105,Lampung,Mesuji,-4.003371,105.39169,34684
39,Kalimantan Barat,Kubu Raya,0.122803,109.609764,78384
158,Sulawesi Selatan,Bone,-4.826803,120.052518,92711
146,Riau,Rokan Hilir,1.950618,100.825648,28911
63,Kalimantan Tengah,Barito Selatan,-2.981434,114.570154,73761
273,Sumatera Utara,Mandailing Natal,0.847732,99.250065,22911
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
31,Jambi,Sungaipenuh,-2.062179,101.387452,37111
52,Kalimantan Selatan,Banjarbaru,-3.438548,114.744257,70714
70,Kalimantan Tengah,Kotawaringin Timur,-2.04596,112.297125,74361
253,Sumatera Selatan,Ogan Komering Ulu,-4.002411,103.873268,32156
132,Aceh,Pidie,5.150908,95.980123,24111
56,Kalimantan Selatan,Hulu Sungai Tengah,-2.455097,115.224386,71315
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
144,Riau,Pekanbaru,0.534482,101.447679,28111
26,Jambi,Jambi,-1.610122,103.613122,36128
193,Sulawesi Tenggara,Bau-Bau,-5.469289,122.604655,93711
239,Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),-0.679012,101.253522,27511
38,Kalimantan Barat,Ketapang,-1.88691,109.967179,78873
137,Riau,Bengkalis,1.488894,102.264307,28711
229,Sumatera Barat,Lima Puluh Koto/Kota,-0.059909,100.634706,26257
197,Sulawesi Tenggara,Kendari,-3.995386,122.515081,93111
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
37,Kalimantan Barat,Kayong Utara,-1.350377,110.436354,78852
274,Sumatera Utara,Medan,3.595196,98.672222,20111
146,Riau,Rokan Hilir,1.950618,100.825648,28911
287,Sumatera Utara,Simalungun,2.971524,99.000226,21161
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
35,Kalimantan Barat,Bengkayang,1.013747,109.618018,79211
3,Bangka Belitung,Bangka Selatan,-3.084776,106.109833,33783
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
145,Riau,Pelalawan,0.160037,102.258579,28383
85,Kalimantan Timur,Samarinda,-0.502106,117.153709,75111
218,Sulawesi Utara,Kotamobagu,0.736161,124.3212,95711
110,Lampung,Tanggamus,-5.351673,104.751878,35611
141,Riau,Kampar,0.291466,101.143107,28411
262,Sumatera Utara,Batu Bara,3.287994,99.507255,21255
85,Kalimantan Timur,Samarinda,-0.502106,117.153709,75111
28,Jambi,Merangin,-2.34895,102.126105,37311
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
160,Sulawesi Selatan,Enrekang,-3.573256,119.752596,91711
250,Sumatera Selatan,Musi Rawas,-2.77162,103.008349,31661
287,Sumatera Utara,Simalungun,2.971524,99.000226,21161
47,Kalimantan Barat,Singkawang,0.90931,108.984931,79111
16,Bengkulu,Rejang Lebong,-3.385216,102.759482,39115
229,Sumatera Barat,Lima Puluh Koto/Kota,-0.059909,100.634706,26257
246,Sumatera Selatan,Lahat,-3.798075,103.516954,31411
51,Kalimantan Selatan,Banjar,-3.47219,114.8638,70611
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
48,Kalimantan Barat,Sintang,0.06395,111.492913,78611
278,Sumatera Utara,Nias Utara,1.1157,97.597712,22861
158,Sulawesi Selatan,Bone,-4.826803,120.052518,92711
21,Gorontalo,Gorontalo,0.54854,123.070209,96112
60,Kalimantan Selatan,Tanah Bumbu,-3.448552,115.61463,72211
140,Riau,Indragiri Hulu,0.862682,102.731788,29319
262,Sumatera Utara,Batu Bara,3.287994,99.507255,21255
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
35,Kalimantan Barat,Bengkayang,1.013747,109.618018,79211
225,Sumatera Barat,Agam,-0.254882,100.233707,26164
21,Gorontalo,Gorontalo,0.54854,123.070209,96112
77,Kalimantan Timur,Balikpapan,-1.267638,116.827905,76111
25,Jambi,Bungo,-1.346301,101.842768,37211
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
33,Jambi,Tanjung Jabung Timur,-1.292884,103.879452,36514
81,Kalimantan Timur,Kutai Kartanegara,-0.214494,116.959885,75511
78,Kalimantan Timur,Berau,2.652081,117.442193,77311
270,Sumatera Utara,Labuhan Batu Selatan,1.978433,100.095751,21464
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
229,Sumatera Barat,Lima Puluh Koto/Kota,-0.059909,100.634706,26257
53,Kalimantan Selatan,Banjarmasin,-3.320299,114.591866,70117
285,Sumatera Utara,Serdang Bedagai,3.432974,99.112736,20995
67,Kalimantan Tengah,Kapuas,-3.196033,114.390253,73513
274,Sumatera Utara,Medan,3.595196,98.672222,20111
257,Sumatera Selatan,Palembang,-2.987319,104.736009,30111
7,Bangka Belitung,Pangkal Pinang,-2.129178,106.109733,33123
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
274,Sumatera Utara,Medan,3.595196,98.672222,20111
287,Sumatera Utara,Simalungun,2.971524,99.000226,21161
201,Sulawesi Tenggara,Konawe Selatan,-4.155098,122.583667,93811
52,Kalimantan Selatan,Banjarbaru,-3.438548,114.744257,70714
237,Sumatera Barat,Pesisir Selatan,-1.301821,100.211183,25673
253,Sumatera Selatan,Ogan Komering Ulu,-4.002411,103.873268,32156
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
115,Aceh,Aceh Barat Daya,3.779372,97.609232,23764
230,Sumatera Barat,Padang,-0.939989,100.35412,25111
38,Kalimantan Barat,Ketapang,-1.88691,109.967179,78873
3,Bangka Belitung,Bangka Selatan,-3.084776,106.109833,33783
141,Riau,Kampar,0.291466,101.143107,28411
144,Riau,Pekanbaru,0.534482,101.447679,28111
8,Bengkulu,Bengkulu,-3.800649,102.256173,38118
144,Riau,Pekanbaru,0.534482,101.447679,28111
58,Kalimantan Selatan,Kotabaru,-3.267211,116.225153,72163
109,Lampung,Pringsewu,-5.364748,104.972015,35376
150,Sulawesi Barat,Mamasa,-2.989799,119.345682,91371
83,Kalimantan Timur,Paser,-1.701166,116.322919,76271
30,Jambi,Sarolangun,-2.329868,102.485574,37481
265,Sumatera Utara,Deli Serdang,3.480805,98.664792,20511
110,Lampung,Tanggamus,-5.351673,104.751878,35611
281,Sumatera Utara,Padang Sidempuan,1.369063,99.273018,22727
1,Bangka Belitung,Bangka,-2.741174,106.440587,33214
248,Sumatera Selatan,Muara Enim,-3.549068,103.85882,31311
274,Sumatera Utara,Medan,3.595196,98.672222,20111
123,Aceh,Aceh Timur,4.676605,97.90675,24413
210,Sulawesi Utara,Bitung,1.452365,125.184611,95511
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
193,Sulawesi Tenggara,Bau-Bau,-5.469289,122.604655,93711
102,Lampung,Lampung Tengah,-4.884785,105.198391,34157
23,Gorontalo,Pohuwato,0.739309,121.991675,96266
51,Kalimantan Selatan,Banjar,-3.47219,114.8638,70611
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
253,Sumatera Selatan,Ogan Komering Ulu,-4.002411,103.873268,32156
247,Sumatera Selatan,Lubuk Linggau,-3.284603,102.855535,31611
147,Riau,Rokan Hulu,0.881609,100.655658,28557
245,Sumatera Selatan,Empat Lawang,-3.730898,102.78492,31511
237,Sumatera Barat,Pesisir Selatan,-1.301821,100.211183,25673
249,Sumatera Selatan,Musi Banyuasin,-2.689627,104.380374,30711
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
261,Sumatera Utara,Asahan,2.766106,99.047137,21211
179,Sulawesi Selatan,Wajo,-3.783826,120.104919,90911
158,Sulawesi Selatan,Bone,-4.826803,120.052518,92711
206,Sulawesi Tenggara,Kolaka Timur,-4.068587,121.826181,93572
99,Lampung,Bandar Lampung,-5.427139,105.257972,35111
111,Lampung,Tulang Bawang,-4.522042,105.205173,34611
73,Kalimantan Tengah,Palangka Raya,-2.204763,113.924411,73112
137,Riau,Bengkalis,1.488894,102.264307,28711
167,Sulawesi Selatan,Maros,-5.055282,119.630989,90511
221,Sulawesi Utara,Minahasa Selatan,1.070894,124.813615,95953
137,Riau,Bengkalis,1.488894,102.264307,28711
78,Kalimantan Timur,Berau,2.652081,117.442193,77311
211,Sulawesi Utara,Bolaang Mongondow (Bolmong),0.73363,124.710273,95711
64,Kalimantan Tengah,Barito Timur,-1.888314,115.025442,73671
280,Sumatera Utara,Padang Lawas Utara,1.6203,99.492513,22756
92,Kepulauan Riau,Batam,1.045626,104.030454,29427
60,Kalimantan Selatan,Tanah Bumbu,-3.448552,115.61463,72211
187,Sulawesi Tengah,Poso,-1.39572,120.756019,94611
