No.,Nama Logistic,Kode Pos Asal,Nama Provinsi Tujuan,Nama Kota Tujuan,Nama Kecamatan Tujuan,Nama Kelurahan Tujuan,Kode Pos Tujuan,Ongkir Normal,Rate Code,Rate Type
1,ID Express,40135,Banten,Cilegon,Cilegon,Bendungan,42417,35000,iDtruck,cargo
2,ID Express,40135,Banten,Cilegon,Citangkil,Samangraya,42443,35000,iDtruck,cargo
3,ID Express,40135,Banten,Cilegon,Ciwandan,Kubangsari,42445,35000,iDtruck,cargo
4,ID Express,40135,Banten,Cilegon,Gerogol,Rawa Arum,42436,35000,iDtruck,cargo
5,ID Express,40135,Banten,Cilegon,Pulomerak,Suralaya,42439,35000,iDtruck,cargo
6,ID Express,40135,Banten,Cilegon,Purwakarta,Ramanuju,42431,35000,iDtruck,cargo
7,ID Express,40135,Banten,Cilegon,Jombang,Gedong Dalem,42413,35000,iDtruck,cargo
8,ID Express,40135,Banten,Cilegon,Cibeber,Cikerai,42427,35000,iDtruck,cargo
9,,40135,Banten,Lebak,Bayah,Bayah Barat,42393,,,cargo
10,,40135,Banten,Lebak,Bojongmanik,Bojongmanik,42363,,,cargo
11,ID Express,40135,Banten,Lebak,Cigemblong,Cikadongdong,42395,35000,iDtruck,cargo
12,ID Express,40135,Banten,Lebak,Cihara,Barunai,42392,35000,iDtruck,cargo
13,ID Express,40135,Banten,Lebak,Cijaku,Ciapus,42395,35000,iDtruck,cargo
14,ID Express,40135,Banten,Lebak,Cikulur,Anggalan,42356,35000,iDtruck,cargo
15,,40135,Banten,Lebak,Cileles,Banjarsari,42353,,,cargo
16,,40135,Banten,Lebak,Cilograng,Cibareno,42393,,,cargo
17,ID Express,40135,Banten,Lebak,Cimarga,Cimarga,42361,35000,iDtruck,cargo
18,,40135,Banten,Lebak,Cirinten,Badur,42363,,,cargo
19,ID Express,40135,Banten,Lebak,Curugbitung,Cilayang,42381,35000,iDtruck,cargo
20,ID Express,40135,Banten,Lebak,Gunung Kencana,Tanjungsari Indah,42354,35000,iDtruck,cargo
21,ID Express,40135,Banten,Lebak,Kalanganyar,Aweh,42312,35000,iDtruck,cargo
22,ID Express,40135,Banten,Lebak,Lebakgedong,Banjarsari,42355,35000,iDtruck,cargo
23,ID Express,40135,Banten,Lebak,Leuwidamar,Cibungur,42362,35000,iDtruck,cargo
24,ID Express,40135,Banten,Lebak,Malingping,Bolang,42391,35000,iDtruck,cargo
25,,40135,Banten,Lebak,Muncang,Cikarang,42364,,,cargo
26,ID Express,40135,Banten,Lebak,Panggarangan,Cibarengkok,42392,35000,iDtruck,cargo
27,ID Express,40135,Banten,Lebak,Rangkasbitung,Cijoro Lebak,42317,35000,iDtruck,cargo
28,ID Express,40135,Banten,Lebak,Sajira,Calungbungur,42371,35000,iDtruck,cargo
29,ID Express,40135,Banten,Lebak,Wanasalam,Bejod,42396,35000,iDtruck,cargo
30,ID Express,40135,Banten,Lebak,Warunggunung,Banjarsari,42352,35000,iDtruck,cargo
31,,40135,Banten,Lebak,Cibeber,Cibeber,42394,,,cargo
32,,40135,Banten,Lebak,Cipanas,Bintangresmi,42372,,,cargo
33,ID Express,40135,Banten,Lebak,Maja,Binong,42381,35000,iDtruck,cargo
34,ID Express,40135,Banten,Lebak,Cibadak,Asem,42357,35000,iDtruck,cargo
35,ID Express,40135,Banten,Lebak,Banjarsari,Bendungan,42355,35000,iDtruck,cargo
36,ID Express,40135,Banten,Lebak,Sobang,Ciparasi,42318,35000,iDtruck,cargo
37,ID Express,40135,Banten,Pandeglang,Sobang,Bojen,42281,35000,iDtruck,cargo
38,ID Express,40135,Banten,Pandeglang,Cadasari,Cadasari,42251,35000,iDtruck,cargo
39,,40135,Banten,Pandeglang,Carita,Banjarmasin,42264,,,cargo
40,,40135,Banten,Pandeglang,Cibaliung,Cibaliung,42285,,,cargo
41,ID Express,40135,Banten,Pandeglang,Cigeulis,Banyuasih,42282,35000,iDtruck,cargo
42,ID Express,40135,Banten,Pandeglang,Cikeudal (Cikedal),Tegal,42271,35000,iDtruck,cargo
43,,40135,Banten,Pandeglang,Cikeusik,Cikadongdong,42286,,,cargo
44,ID Express,40135,Banten,Pandeglang,Cimanuk,Batubantar,42271,35000,iDtruck,cargo
45,ID Express,40135,Banten,Pandeglang,Cipeucang,Baturanjang,42272,35000,iDtruck,cargo
46,ID Express,40135,Banten,Pandeglang,Cisata,Cisereh,42273,35000,iDtruck,cargo
47,ID Express,40135,Banten,Pandeglang,Jiput,Babadsari,42263,35000,iDtruck,cargo
48,ID Express,40135,Banten,Pandeglang,Kaduhejo,Banjarsari,42253,35000,iDtruck,cargo
49,ID Express,40135,Banten,Pandeglang,Karang Tanjung,Cigadung,42251,35000,iDtruck,cargo
50,ID Express,40135,Banten,Pandeglang,Koroncong,Awilega,42251,35000,iDtruck,cargo
51,ID Express,40135,Banten,Pandeglang,Majasari,Cilaja,42214,35000,iDtruck,cargo
52,ID Express,40135,Banten,Pandeglang,Mandalawangi,Cikoneng,42261,35000,iDtruck,cargo
53,ID Express,40135,Banten,Pandeglang,Mekarjaya,Kadubelang,42271,35000,iDtruck,cargo
54,ID Express,40135,Banten,Pandeglang,Menes,Alaswangi,42262,35000,iDtruck,cargo
55,ID Express,40135,Banten,Pandeglang,Munjul,Cibitung,42276,35000,iDtruck,cargo
56,ID Express,40135,Banten,Pandeglang,Pandeglang,Babakan Kalanganyar,42219,35000,iDtruck,cargo
57,ID Express,40135,Banten,Pandeglang,Panimbang,Mekarsari,42281,35000,iDtruck,cargo
58,ID Express,40135,Banten,Pandeglang,Patia,Babakankeusik,42265,35000,iDtruck,cargo
59,,40135,Banten,Pandeglang,Picung,Bungurcopong,42275,,,cargo
60,ID Express,40135,Banten,Pandeglang,Saketi,Ciandur,42273,35000,iDtruck,cargo
61,ID Express,40135,Banten,Pandeglang,Sindangresmi,Bojongmanik,42276,35000,iDtruck,cargo
62,,40135,Banten,Pandeglang,Sumur,Cigorondong,42283,,,cargo
63,ID Express,40135,Banten,Pandeglang,Sukaresmi,Cibungur,42265,35000,iDtruck,cargo
64,,40135,Banten,Pandeglang,Cimanggu,Batuhideung,42284,,,cargo
65,ID Express,40135,Banten,Pandeglang,Pagelaran,Bama,42265,35000,iDtruck,cargo
66,,40135,Banten,Pandeglang,Labuan,Banyubiru,42264,,,cargo
67,ID Express,40135,Banten,Pandeglang,Angsana,Angsana,42277,35000,iDtruck,cargo
68,ID Express,40135,Banten,Pandeglang,Banjar,Bandung,42252,35000,iDtruck,cargo
69,ID Express,40135,Banten,Pandeglang,Bojong,Banyumas,42274,35000,iDtruck,cargo
70,,40135,Banten,Pandeglang,Cibitung,Cikadu,42285,,,cargo
71,ID Express,40135,Banten,Pandeglang,Pulosari,Banjarnegara,42273,35000,iDtruck,cargo
72,ID Express,40135,Banten,Serang,Cipocok Jaya,Banjarsari,42123,35000,iDtruck,cargo
73,ID Express,40135,Banten,Serang,Curug,Curugmanis,42171,35000,iDtruck,cargo
74,ID Express,40135,Banten,Serang,Kasemen,Kasunyatan,42191,35000,iDtruck,cargo
75,ID Express,40135,Banten,Serang,Serang,Lontarbaru,42115,35000,iDtruck,cargo
76,ID Express,40135,Banten,Serang,Taktakan,Taktakan,42162,35000,iDtruck,cargo
77,ID Express,40135,Banten,Serang,Walantaka,Pageragung,42183,35000,iDtruck,cargo
78,ID Express,40135,Banten,Tangerang,Batuceper,Poris Gaga,15122,30000,iDtruck,cargo
79,ID Express,40135,Banten,Tangerang,Benda,Benda,15125,30000,iDtruck,cargo
80,ID Express,40135,Banten,Tangerang,Cibodas,Cibodas Baru,15138,30000,iDtruck,cargo
81,ID Express,40135,Banten,Tangerang,Cipondoh,Petir,15147,30000,iDtruck,cargo
82,ID Express,40135,Banten,Tangerang,Jatiuwung,Alam Jaya,15133,30000,iDtruck,cargo
83,ID Express,40135,Banten,Tangerang,Karawaci,Bugel,15113,30000,iDtruck,cargo
84,ID Express,40135,Banten,Tangerang,Neglasari,Selapajang Jaya,15127,30000,iDtruck,cargo
85,ID Express,40135,Banten,Tangerang,Periuk,Periuk Jaya,15131,30000,iDtruck,cargo
86,ID Express,40135,Banten,Tangerang,Tangerang,Kelapa Indah,15117,30000,iDtruck,cargo
87,ID Express,40135,Banten,Tangerang,Ciledug,Tajur,15152,30000,iDtruck,cargo
88,ID Express,40135,Banten,Tangerang,Karang Tengah,Parung Jaya,15159,30000,iDtruck,cargo
89,ID Express,40135,Banten,Tangerang,Larangan,Larangan Selatan,15154,30000,iDtruck,cargo
90,ID Express,40135,Banten,Tangerang,Pinang,Pinang,15145,30000,iDtruck,cargo
91,ID Express,40135,Banten,Tangerang Selatan,Ciputat,Cipayung,15411,30000,iDtruck,cargo
92,ID Express,40135,Banten,Tangerang Selatan,Ciputat Timur,Cempaka Putih,15412,30000,iDtruck,cargo
93,ID Express,40135,Banten,Tangerang Selatan,Pamulang,Benda Baru,15418,30000,iDtruck,cargo
94,ID Express,40135,Banten,Tangerang Selatan,Pondok Aren,Pondok Jaya,15220,30000,iDtruck,cargo
95,ID Express,40135,Banten,Tangerang Selatan,Serpong,Ciater,15310,30000,iDtruck,cargo
96,ID Express,40135,Banten,Tangerang Selatan,Serpong Utara,Pondok Jagung,15326,30000,iDtruck,cargo
97,ID Express,40135,Banten,Tangerang Selatan,Setu,Kranggan,15312,30000,iDtruck,cargo
98,ID Express,40135,Banten,Serang Kabupaten,Anyar,Bandulu,42166,35000,iDtruck,cargo
99,ID Express,40135,Banten,Serang Kabupaten,Bojonegara,Lambangsari,42454,35000,iDtruck,cargo
100,ID Express,40135,Banten,Serang Kabupaten,Carenang (Cerenang),Teras,42195,35000,iDtruck,cargo
101,ID Express,40135,Banten,Serang Kabupaten,Cikande,Nambo Udik,42186,35000,iDtruck,cargo
102,ID Express,40135,Banten,Serang Kabupaten,Cikeusal,Bantar Panjang,42175,35000,iDtruck,cargo
103,,40135,Banten,Serang Kabupaten,Cinangka,Rancasanggal,42167,,,cargo
104,ID Express,40135,Banten,Serang Kabupaten,Ciruas,Ciruas,42182,35000,iDtruck,cargo
105,ID Express,40135,Banten,Serang Kabupaten,Jawilan,Parakan,42177,35000,iDtruck,cargo
106,ID Express,40135,Banten,Serang Kabupaten,Kibin,Sukamaju,42185,35000,iDtruck,cargo
107,ID Express,40135,Banten,Serang Kabupaten,Kopo,Nanggung,42178,35000,iDtruck,cargo
108,ID Express,40135,Banten,Serang Kabupaten,Kragilan,Cisait,42184,35000,iDtruck,cargo
109,ID Express,40135,Banten,Serang Kabupaten,Kramatwatu,Pejaten,42161,35000,iDtruck,cargo
110,ID Express,40135,Banten,Serang Kabupaten,Lebak Wangi,Pegandikan (Pegantikan),42183,35000,iDtruck,cargo
111,ID Express,40135,Banten,Serang Kabupaten,Mancak,Waringin,42165,35000,iDtruck,cargo
112,ID Express,40135,Banten,Serang Kabupaten,Padarincang,Padarincang,42168,35000,iDtruck,cargo
113,ID Express,40135,Banten,Serang Kabupaten,Pamarayan,Kebon Cau,42176,35000,iDtruck,cargo
114,ID Express,40135,Banten,Serang Kabupaten,Petir,Sanding,42172,35000,iDtruck,cargo
115,ID Express,40135,Banten,Serang Kabupaten,Pontang,Kalapian,42192,35000,iDtruck,cargo
116,ID Express,40135,Banten,Serang Kabupaten,Pulo Ampel,Margasari,42455,35000,iDtruck,cargo
117,,40135,Banten,Serang Kabupaten,Tanara,Sukamanah,42194,,,cargo
118,ID Express,40135,Banten,Serang Kabupaten,Tirtayasa,Wargasara,42193,35000,iDtruck,cargo
119,ID Express,40135,Banten,Serang Kabupaten,Tunjung Teja,Panunggulan,42174,35000,iDtruck,cargo
120,ID Express,40135,Banten,Serang Kabupaten,WARINGINKURUNG,Sukabares,42453,35000,iDtruck,cargo
121,ID Express,40135,Banten,Serang Kabupaten,Bandung,Panamping,42176,35000,iDtruck,cargo
122,ID Express,40135,Banten,Serang Kabupaten,Baros,Cisalam,42173,35000,iDtruck,cargo
123,ID Express,40135,Banten,Serang Kabupaten,Binuang,Sukamampir,42196,35000,iDtruck,cargo
124,ID Express,40135,Banten,Serang Kabupaten,GUNUNG SARI,Ciherang,42163,35000,iDtruck,cargo
125,ID Express,40135,Banten,Serang Kabupaten,Pabuaran,Kadubeureum,42163,35000,iDtruck,cargo
126,ID Express,40135,Banten,Serang Kabupaten,Ciomas,Pondok Kahuru,42164,35000,iDtruck,cargo
127,ID Express,40135,Banten,Tangerang Kabupaten,Balaraja,Gembong,15610,30000,iDtruck,cargo
128,ID Express,40135,Banten,Tangerang Kabupaten,Cikupa,Bojong,15710,30000,iDtruck,cargo
129,ID Express,40135,Banten,Tangerang Kabupaten,Cisauk,Sampora,15345,30000,iDtruck,cargo
130,ID Express,40135,Banten,Tangerang Kabupaten,Cisoka,Sukatani,15730,30000,iDtruck,cargo
131,ID Express,40135,Banten,Tangerang Kabupaten,Gunung Kaler,Onyam,15620,30000,iDtruck,cargo
132,ID Express,40135,Banten,Tangerang Kabupaten,Jambe,Taban,15720,30000,iDtruck,cargo
133,ID Express,40135,Banten,Tangerang Kabupaten,Jayanti,Cikande,15610,30000,iDtruck,cargo
134,ID Express,40135,Banten,Tangerang Kabupaten,Kelapa Dua,Curug Sangerang (Curug Sangereng),15811,30000,iDtruck,cargo
135,ID Express,40135,Banten,Tangerang Kabupaten,Kosambi,Cengklong,15212,30000,iDtruck,cargo
136,ID Express,40135,Banten,Tangerang Kabupaten,Kresek,Talok,15620,30000,iDtruck,cargo
137,ID Express,40135,Banten,Tangerang Kabupaten,Kronjo,Pasir,15550,30000,iDtruck,cargo
