No.,Nama Logistic,Kode Pos Asal,Nama Provinsi Tujuan,Nama Kota Tujuan,Nama Kecamatan Tujuan,Nama Kelurahan Tujuan,Kode Pos Tujuan,Ongkir Normal,Rate Code,Rate Type
1,Ninja Xpress,40135,Banten,Cilegon,Cilegon,Bendungan,42417,12000,STD,reguler
2,Ninja Xpress,40135,Banten,Cilegon,Citangkil,Samangraya,42443,12000,STD,reguler
3,Ninja Xpress,40135,Banten,Cilegon,Ciwandan,Kubangsari,42445,12000,STD,reguler
4,Ninja Xpress,40135,Banten,Cilegon,Gerogol,Rawa Arum,42436,12000,STD,reguler
5,Ninja Xpress,40135,Banten,Cilegon,Pulomerak,Suralaya,42439,12000,STD,reguler
6,Ninja Xpress,40135,Banten,Cilegon,Purwakarta,Ramanuju,42431,12000,STD,reguler
7,Ninja Xpress,40135,Banten,Cilegon,Jombang,Gedong Dalem,42413,12000,STD,reguler
8,Ninja Xpress,40135,Banten,Cilegon,Cibeber,Cikerai,42427,12000,STD,reguler
9,Ninja Xpress,40135,Banten,Lebak,Bayah,Bayah Barat,42393,18000,STD,reguler
10,Ninja Xpress,40135,Banten,Lebak,Bojongmanik,Bojongmanik,42363,18000,STD,reguler
11,Ninja Xpress,40135,Banten,Lebak,Cigemblong,Cikadongdong,42395,18000,STD,reguler
12,Ninja Xpress,40135,Banten,Lebak,Cihara,Barunai,42392,18000,STD,reguler
13,Ninja Xpress,40135,Banten,Lebak,Cijaku,Ciapus,42395,18000,STD,reguler
14,Ninja Xpress,40135,Banten,Lebak,Cikulur,Anggalan,42356,18000,STD,reguler
15,Ninja Xpress,40135,Banten,Lebak,Cileles,Banjarsari,42353,18000,STD,reguler
16,Ninja Xpress,40135,Banten,Lebak,Cilograng,Cibareno,42393,18000,STD,reguler
17,Ninja Xpress,40135,Banten,Lebak,Cimarga,Cimarga,42361,18000,STD,reguler
18,Ninja Xpress,40135,Banten,Lebak,Cirinten,Badur,42363,18000,STD,reguler
19,Ninja Xpress,40135,Banten,Lebak,Curugbitung,Cilayang,42381,18000,STD,reguler
20,Ninja Xpress,40135,Banten,Lebak,Gunung Kencana,Tanjungsari Indah,42354,18000,STD,reguler
21,Ninja Xpress,40135,Banten,Lebak,Kalanganyar,Aweh,42312,18000,STD,reguler
22,Ninja Xpress,40135,Banten,Lebak,Lebakgedong,Banjarsari,42355,18000,STD,reguler
23,Ninja Xpress,40135,Banten,Lebak,Leuwidamar,Cibungur,42362,18000,STD,reguler
24,Ninja Xpress,40135,Banten,Lebak,Malingping,Bolang,42391,18000,STD,reguler
25,Ninja Xpress,40135,Banten,Lebak,Muncang,Cikarang,42364,18000,STD,reguler
26,Ninja Xpress,40135,Banten,Lebak,Panggarangan,Cibarengkok,42392,18000,STD,reguler
27,Ninja Xpress,40135,Banten,Lebak,Rangkasbitung,Cijoro Lebak,42317,18000,STD,reguler
28,Ninja Xpress,40135,Banten,Lebak,Sajira,Calungbungur,42371,18000,STD,reguler
29,Ninja Xpress,40135,Banten,Lebak,Wanasalam,Bejod,42396,18000,STD,reguler
30,Ninja Xpress,40135,Banten,Lebak,Warunggunung,Banjarsari,42352,18000,STD,reguler
