No.,Nama Logistic,Order Receipt Code,Kode Pos Asal,Kode Pos Tujuan,Ongkir Normal,Rate Code,Rate Type,Is Flat Rate
1,JNE,1078-1719685958,40552,40914,5000,REG23,reguler,
2,JNE,1343-1719754354,11460,17530,9000,REG23,reguler,
3,JNE,1780-1719753033,15820,40267,9000,REG23,reguler,
4,JNE,1790-1719759738,12620,16425,9000,REG23,reguler,
5,JNE,1934-1719752019,11460,17330,9000,REG23,reguler,
6,JNE,2164-1719615537,16610,15710,9000,REG23,reguler,
7,JNE,2465-1719739555,11460,40375,9000,REG23,reguler,
8,JNE,2477-1719733582,11460,16515,9000,REG23,reguler,
9,JNE,2498-1719765785,11460,15730,9000,REG23,reguler,
10,JNE,2692-1719759528,12620,17133,9000,REG23,reguler,
11,JNE,3065-1719643782,15820,16969,9000,REG23,reguler,
12,JNE,3137-1719752769,51127,90552,79000,REG23,reguler,
13,JNE,3144-1719729880,51127,90552,79000,REG23,reguler,
14,JNE,3245-1719576858,16610,12510,9000,REG23,reguler,
15,JNE,3317-1719673543,11460,17121,9000,REG23,reguler,
16,JNE,3346-1719707902,40123,80362,26000,REG23,reguler,
17,JNE,3535-1719721905,68415,68121,5000,REG23,reguler,
18,JNE,3575-1719637526,13910,40292,9000,REG23,reguler,
19,JNE,3842-1719751247,15415,16962,9000,REG23,reguler,
20,JNE,4154-1719746324,15151,17610,9000,REG23,reguler,
21,JNE,4291-1719730066,16350,11630,9000,REG23,reguler,
22,JNE,4404-1719506137,68415,60263,9000,REG23,reguler,
23,JNE,4499-1719736716,13950,15820,9000,REG23,reguler,
24,JNE,4522-1719796807,46417,30151,26000,REG23,reguler,
25,JNE,4696-1719714681,11460,17630,9000,REG23,reguler,
26,JNE,5080-1719646242,11830,40552,9000,REG23,reguler,
27,JNE,5084-1719719999,10640,16157,9000,REG23,reguler,
28,JNE,5206-1719798752,46417,74353,77000,REG23,reguler,
29,JNE,5320-1719726484,15415,16432,9000,REG23,reguler,
30,JNE,5757-1719712915,40377,40267,5000,REG23,reguler,
31,JNE,5862-1719757990,11460,17142,9000,REG23,reguler,
32,JNE,5899-1719712794,46417,31668,38000,REG23,reguler,
33,JNE,5984-1719635911,14340,40124,9000,REG23,reguler,
34,JNE,6104-1719752356,15820,40621,9000,REG23,reguler,
35,JNE,6133-1719725624,11730,15810,9000,REG23,reguler,
36,JNE,6180-1719654532,15820,16154,9000,REG23,reguler,
37,JNE,6396-1719728371,15415,40614,9000,REG23,reguler,
38,JNE,6408-1719732068,11460,40552,9000,REG23,reguler,
39,JNE,6591-1719584625,16418,16962,9000,REG23,reguler,
40,JNE,6602-1719505196,68415,60192,9000,REG23,reguler,
41,JNE,6607-1719569001,16610,40111,9000,REG23,reguler,
42,JNE,6614-1719752504,40552,40195,5000,REG23,reguler,
43,JNE,6743-1719732318,68415,20216,69000,REG23,reguler,
44,JNE,7102-1719636305,13910,40534,9000,REG23,reguler,
45,JNE,7158-1719701730,15820,16912,9000,REG23,reguler,
46,JNE,7179-1719557662,68415,30128,60000,REG23,reguler,
47,JNE,7239-1719763223,13950,40381,9000,REG23,reguler,
48,JNE,7246-1719726484,11730,16432,9000,REG23,reguler,
49,JNE,7312-1719723530,11460,17134,9000,REG23,reguler,
50,JNE,7602-1719650240,15820,17530,9000,REG23,reguler,
51,JNE,7652-1719755834,15141,41314,9000,REG23,reguler,
52,JNE,7682-1719671636,11460,40195,9000,REG23,reguler,
53,JNE,7698-1719746460,10250,15720,9000,REG23,reguler,
54,JNE,7741-1719710201,11460,15414,9000,REG23,reguler,
55,JNE,7816-1719750829,12310,17610,9000,REG23,reguler,
56,JNE,7835-1719705533,15820,40227,9000,REG23,reguler,
57,JNE,7976-1719759132,11830,16620,9000,REG23,reguler,
58,JNE,7993-1719651627,40552,40191,5000,REG23,reguler,
59,JNE,8115-1719740897,51127,56412,9000,REG23,reguler,
60,JNE,8142-1719723530,11460,16432,9000,REG23,reguler,
61,JNE,8183-1719751201,12620,16425,9000,REG23,reguler,
62,JNE,8268-1719651249,17433,13460,9000,REG23,reguler,
63,JNE,8309-1719665688,40123,80362,26000,REG23,reguler,
64,JNE,8415-1719635970,13910,40534,9000,REG23,reguler,
65,JNE,8516-1719756272,11460,16512,9000,REG23,reguler,
66,JNE,8645-1719665212,15820,45151,9000,REG23,reguler,
67,JNE,8666-1719644496,40552,40125,5000,REG23,reguler,
68,JNE,8675-1719707688,15820,13930,9000,REG23,reguler,
69,JNE,9019-1719757408,12310,40151,9000,REG23,reguler,
70,JNE,9067-1719806943,51127,35132,36000,REG23,reguler,
71,JNE,9378-1719665791,11460,40123,9000,REG23,reguler,
72,JNE,9504-1719646066,11460,40624,9000,REG23,reguler,
73,JNE,9593-1719747176,40552,40184,5000,REG23,reguler,
74,JNE,9666-1719664847,15820,40511,9000,REG23,reguler,
75,JNE,9728-1719765057,68415,68121,5000,REG23,reguler,
76,JNE,9841-1719727576,10640,17510,9000,REG23,reguler,
77,JNE,9847-1719658614,11830,16920,9000,REG23,reguler,
78,JNE,9901-1719751738,12620,16962,9000,REG23,reguler,
79,JNE,9907-1719666474,16670,17412,9000,REG23,reguler,
