No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
0,,60191,76143,,,cargo
1,,20111,24651,,,cargo
2,,30111,79365,,,cargo
3,,14440,34511,,,cargo
4,,20111,20711,,,cargo
5,,14440,35592,,,cargo
6,SiCepat,20111,28811,25000,SIUNT,cargo
7,,30111,31214,,,cargo
8,SiCepat,20111,28811,25000,SIUNT,cargo
9,,20111,20511,,,cargo
10,,20111,20511,,,cargo
11,,60191,93811,,,cargo
12,,30111,32274,,,cargo
13,,60191,91371,,,cargo
14,,30111,34157,,,cargo
15,,60191,92711,,,cargo
16,,60191,76271,,,cargo
17,,20111,28557,,,cargo
18,,60191,91711,,,cargo
19,,30111,30111,,,cargo
20,,14440,35367,,,cargo
21,,60191,92711,,,cargo
22,,60191,76111,,,cargo
23,,30111,29319,,,cargo
24,JNE,30111,36128,25000,REG19,cargo
25,,60191,93711,,,cargo
26,,30111,29511,,,cargo
27,,20111,28111,,,cargo
28,,30111,78113,,,cargo
29,,20111,24413,,,cargo
30,,20111,28911,,,cargo
31,,30111,37481,,,cargo
32,,60191,73881,,,cargo
33,,30111,36514,,,cargo
34,,20111,24382,,,cargo
35,,20111,21161,,,cargo
36,,60191,93411,,,cargo
37,,30111,30111,,,cargo
38,,20111,22727,,,cargo
39,SiCepat,20111,28411,25000,SIUNT,cargo
40,,30111,25111,,,cargo
41,,30111,33684,,,cargo
42,SiCepat,20111,28811,25000,SIUNT,cargo
43,,60191,93762,,,cargo
44,,60191,75511,,,cargo
45,,14440,35367,,,cargo
46,,30111,31511,,,cargo
47,,60191,74161,,,cargo
48,,60191,70117,,,cargo
49,,20111,22611,,,cargo
50,JNE,30111,38118,25000,OKE19,cargo
51,,20111,20511,,,cargo
52,,60191,91512,,,cargo
53,,30111,29427,,,cargo
54,,30111,30911,,,cargo
55,,30111,78384,,,cargo
56,,60191,96211,,,cargo
57,,20111,28111,,,cargo
58,,30111,31661,,,cargo
59,,20111,28111,,,cargo
60,,60191,95781,,,cargo
61,,14440,34194,,,cargo
62,,20111,24413,,,cargo
63,,60191,91311,,,cargo
64,,60191,93111,,,cargo
65,,60191,70611,,,cargo
66,,20111,24511,,,cargo
67,,60191,71513,,,cargo
68,,14440,78873,,,cargo
69,,60191,77111,,,cargo
70,,30111,29427,,,cargo
71,,60191,74361,,,cargo
72,,20111,28111,,,cargo
73,,60191,94881,,,cargo
74,,30111,32184,,,cargo
75,,60191,93511,,,cargo
76,,60191,91853,,,cargo
77,,30111,31511,,,cargo
78,,30111,29662,,,cargo
79,,30111,78611,,,cargo
80,,60191,76111,,,cargo
81,,30111,79465,,,cargo
82,,30111,36611,,,cargo
83,,30111,78391,,,cargo
84,,60191,75111,,,cargo
85,,30111,79465,,,cargo
86,,20111,21161,,,cargo
87,,20111,28557,,,cargo
88,,60191,93611,,,cargo
89,,30111,78384,,,cargo
90,,30111,30611,,,cargo
91,,30111,29211,,,cargo
92,,60191,90111,,,cargo
93,,30111,34388,,,cargo
94,,30111,38956,,,cargo
95,,60191,90111,,,cargo
