No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
0,JNE,29211,31311,41000,OKE19,reguler
1,J&T Express,29211,34194,49000,EZ,reguler
2,JNE,21411,20511,15000,REG19,reguler
3,J&T Express,21411,22861,23000,EZ,reguler
4,J&T Express,75111,70714,24000,EZ,reguler
5,JNE,21411,20811,15000,REG19,reguler
6,J&T Express,29211,33123,41000,EZ,reguler
7,JNE,91511,96211,53000,OKE19,reguler
8,JNE,91511,90711,20000,OKE19,reguler
9,JNE,91511,90711,20000,OKE19,reguler
10,JNE,75111,74413,44000,OKE19,reguler
11,J&T Express,75111,72211,29000,EZ,reguler
12,JNE,29211,36611,35000,OKE19,reguler
13,JNE,21411,21464,10000,REG19,reguler
14,JNE,21411,20511,15000,REG19,reguler
15,JNE,21411,24111,33000,OKE19,reguler
