No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,30111,32184,13000,EZ,reguler
2,JNE,14440,35376,28000,OKE19,reguler
3,JNE,20111,28411,23000,OKE19,reguler
4,ID Express,20111,20111,6500,iDSTD,reguler
5,J&T Express,60191,94971,69000,EZ,reguler
6,ID Express,20111,20111,6500,iDSTD,reguler
7,JNE,20111,23764,23000,OKE19,reguler
8,JNE,30111,34764,30000,OKE19,reguler
9,ID Express,60191,90111,39000,iDSTD,reguler
10,JNE,20111,23891,39000,REG19,reguler
11,SiCepat,14440,35592,22000,SIUNT,reguler
12,,20111,20511,,,reguler
13,J&T Express,60191,91311,47000,EZ,reguler
14,J&T Express,60191,75511,51000,EZ,reguler
15,,20111,24352,,,reguler
16,J&T Express,60191,91992,52000,EZ,reguler
17,ID Express,20111,22392,18000,iDSTD,reguler
18,J&T Express,20111,23681,27000,EZ,reguler
19,JNE,20111,20811,10000,REG19,reguler
20,JNE,20111,24111,23000,OKE19,reguler
21,J&T Express,30111,31311,13000,EZ,reguler
22,ID Express,60191,76111,39000,iDSTD,reguler
23,JNE,30111,33214,29000,OKE19,reguler
24,SiCepat,30111,34157,28000,SIUNT,reguler
25,J&T Express,30111,31661,16000,EZ,reguler
26,SiCepat,60191,92711,51500,SIUNT,reguler
27,SiCepat,60191,90911,52500,SIUNT,reguler
28,ID Express,30111,30111,8500,iDSTD,reguler
29,ID Express,20111,20111,6500,iDSTD,reguler
30,J&T Express,20111,25511,23000,EZ,reguler
31,ID Express,20111,26311,25000,iDSTD,reguler
32,JNE,60191,92111,45000,OKE19,reguler
33,ID Express,60191,94356,65000,iDSTD,reguler
34,ID Express,20111,26164,25000,iDSTD,reguler
35,J&T Express,30111,30911,13000,EZ,reguler
36,J&T Express,60191,91361,55000,EZ,reguler
37,J&T Express,30111,32184,13000,EZ,reguler
38,JNE,30111,36514,32000,OKE19,reguler
39,ID Express,60191,73112,33000,iDSTD,reguler
40,ID Express,60191,91853,52500,iDSTD,reguler
41,ID Express,30111,30655,15000,iDSTD,reguler
42,J&T Express,30111,79465,49000,EZ,reguler
43,J&T Express,30111,78113,31000,EZ,reguler
44,SiCepat,30111,38571,34500,SIUNT,reguler
45,JNE,30111,36514,32000,OKE19,reguler
46,J&T Express,30111,79111,38000,EZ,reguler
47,JNE,30111,29211,32000,OKE19,reguler
48,JNE,20111,28557,23000,OKE19,reguler
49,J&T Express,20111,24261,27000,EZ,reguler
50,JNE,20111,24382,23000,OKE19,reguler
51,J&T Express,30111,31511,13000,EZ,reguler
52,ID Express,60191,77211,65000,iDSTD,reguler
53,JNE,30111,36514,32000,OKE19,reguler
54,,60191,91911,,,reguler
55,J&T Express,30111,79465,49000,EZ,reguler
56,J&T Express,60191,91992,52000,EZ,reguler
57,,60191,91211,,,reguler
58,J&T Express,30111,33511,39000,EZ,reguler
59,JNE,30111,37311,27000,OKE19,reguler
60,ID Express,20111,20111,6500,iDSTD,reguler
61,SiCepat,60191,73712,38000,SIUNT,reguler
62,JNE,14440,34111,23000,OKE19,reguler
63,SiCepat,60191,92711,51500,SIUNT,reguler
64,JNE,20111,21464,10000,REG19,reguler
65,ID Express,60191,74363,41000,iDSTD,reguler
66,SiCepat,30111,34157,28000,SIUNT,reguler
67,ID Express,20111,26311,25000,iDSTD,reguler
68,J&T Express,20111,21455,18000,EZ,reguler
70,J&T Express,20111,25392,28000,EZ,reguler
71,J&T Express,60191,95881,87000,EZ,reguler
72,SiCepat,60191,73712,38000,SIUNT,reguler
73,JNE,20111,21111,10000,REG19,reguler
74,J&T Express,60191,93811,71000,EZ,reguler
75,JNE,14440,35111,17000,OKE19,reguler
76,SiCepat,20111,22742,11500,SIUNT,reguler
77,J&T Express,30111,78852,48000,EZ,reguler
78,SiCepat,60191,95411,80000,SIUNT,reguler
79,JNE,20111,21311,10000,REG19,reguler
80,JNE,30111,28755,37000,OKE19,reguler
81,J&T Express,30111,79111,38000,EZ,reguler
82,SiCepat,20111,24511,25000,SIUNT,reguler
83,J&T Express,60191,74261,49000,EZ,reguler
84,J&T Express,60191,94974,69000,EZ,reguler
85,J&T Express,20111,22611,18000,EZ,reguler
86,JNE,20111,22411,10000,REG19,reguler
87,SiCepat,60191,92917,53000,SIUNT,reguler
88,SiCepat,30111,33123,23000,SIUNT,reguler
89,J&T Express,60191,93791,71000,EZ,reguler
90,SiCepat,30111,33123,23000,SIUNT,reguler
91,J&T Express,30111,31311,13000,EZ,reguler
92,SiCepat,14440,35592,22000,SIUNT,reguler
93,ID Express,30111,78384,35000,iDSTD,reguler
94,SiCepat,60191,92711,51500,SIUNT,reguler
95,JNE,20111,20711,10000,REG19,reguler
96,SiCepat,30111,34157,28000,SIUNT,reguler
97,JNE,14440,35111,17000,OKE19,reguler
98,J&T Express,60191,71419,38000,EZ,reguler
99,JNE,30111,38375,35000,OKE19,reguler
100,JNE,30111,37211,32000,OKE19,reguler
101,JNE,30111,38612,30000,OKE19,reguler
102,J&T Express,20111,21455,18000,EZ,reguler
103,SiCepat,30111,27511,36000,SIUNT,reguler
104,J&T Express,60191,91811,47000,EZ,reguler
105,ID Express,20111,26164,25000,iDSTD,reguler
106,JNE,20111,20711,10000,REG19,reguler
107,SiCepat,60191,91211,52500,SIUNT,reguler
108,J&T Express,30111,31111,13000,EZ,reguler
109,JNE,20111,24111,23000,OKE19,reguler
110,JNE,20111,24786,23000,OKE19,reguler
111,ID Express,60191,90111,39000,iDSTD,reguler
112,JNE,30111,28755,37000,OKE19,reguler
113,ID Express,60191,94111,53000,iDSTD,reguler
114,J&T Express,60191,93411,71000,EZ,reguler
115,JNE,60191,71215,43000,OKE19,reguler
116,J&T Express,60191,72163,46000,EZ,reguler
117,J&T Express,30111,78611,48000,EZ,reguler
118,J&T Express,60191,91361,55000,EZ,reguler
119,ID Express,60191,96362,84500,iDSTD,reguler
120,J&T Express,60191,71315,38000,EZ,reguler
121,ID Express,60191,90111,39000,iDSTD,reguler
122,ID Express,30111,29427,28000,iDSTD,reguler
123,ID Express,30111,29427,28000,iDSTD,reguler
124,ID Express,30111,32274,15000,iDSTD,reguler
125,JNE,20111,20511,10000,REG19,reguler
126,ID Express,30111,32156,15000,iDSTD,reguler
127,JNE,30111,34388,30000,OKE19,reguler
128,ID Express,30111,30111,8500,iDSTD,reguler
129,JNE,30111,36514,32000,OKE19,reguler
130,J&T Express,30111,79465,49000,EZ,reguler
131,J&T Express,60191,94511,69000,EZ,reguler
132,SiCepat,20111,20995,11500,SIUNT,reguler
133,J&T Express,60191,75765,50000,EZ,reguler
134,JNE,30111,33214,29000,OKE19,reguler
135,JNE,20111,20511,10000,REG19,reguler
136,JNE,20111,22311,10000,REG19,reguler
137,ID Express,60191,95231,71000,iDSTD,reguler
138,J&T Express,60191,91371,55000,EZ,reguler
139,ID Express,20111,20111,6500,iDSTD,reguler
140,ID Express,60191,70117,29000,iDSTD,reguler
141,J&T Express,60191,91911,47000,EZ,reguler
142,SiCepat,20111,21411,11500,SIUNT,reguler
143,SiCepat,20111,22271,10500,SIUNT,reguler
144,ID Express,60191,94356,65000,iDSTD,reguler
145,SiCepat,60191,96266,52500,SIUNT,reguler
146,ID Express,30111,25111,28000,iDSTD,reguler
147,ID Express,30111,78557,45500,iDSTD,reguler
148,JNE,20111,21255,10000,REG19,reguler
149,JNE,20111,20711,10000,REG19,reguler
150,SiCepat,20111,24651,25000,SIUNT,reguler
151,J&T Express,60191,71419,38000,EZ,reguler
152,JNE,20111,28557,23000,OKE19,reguler
153,,20111,20111,,,reguler
154,J&T Express,30111,27511,36000,EZ,reguler
155,SiCepat,60191,92917,53000,SIUNT,reguler
156,,30111,29427,,,reguler
157,JNE,20111,20511,10000,REG19,reguler
158,J&T Express,60191,71315,38000,EZ,reguler
159,,30111,29427,,,reguler
160,ID Express,60191,75683,56000,iDSTD,reguler
161,JNE,20111,20511,10000,REG19,reguler
162,,60191,95761,,,reguler
163,ID Express,60191,74361,41000,iDSTD,reguler
164,J&T Express,30111,27678,31000,EZ,reguler
165,,20111,21161,,,reguler
166,JNE,30111,29319,32000,OKE19,reguler
167,JNE,20111,20611,10000,REG19,reguler
168,,60191,92111,,,reguler
