No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
0,JNE,20111,22876,25000,REG19,reguler
1,J&T Express,30111,30711,13000,EZ,reguler
2,J&T Express,60191,70611,38000,EZ,reguler
3,SiCepat,60191,90711,51500,SIUNT,reguler
4,JNE,20111,20511,10000,REG19,reguler
5,ID Express,60191,90111,39000,iDSTD,reguler
6,JNE,14440,78873,47000,OKE19,reguler
7,JNE,30111,29319,32000,OKE19,reguler
8,SiCepat,20111,22911,11500,SIUNT,reguler
9,JNE,20111,28411,23000,OKE19,reguler
10,JNE,20111,22727,10000,REG19,reguler
11,J&T Express,20111,28111,17000,EZ,reguler
12,ID Express,60191,75111,42000,iDSTD,reguler
13,SiCepat,20111,22742,11500,SIUNT,reguler
14,JNE,30111,29211,32000,OKE19,reguler
15,ID Express,60191,74361,41000,iDSTD,reguler
16,SiCepat,60191,92711,51500,SIUNT,reguler
17,SiCepat,60191,73761,38000,SIUNT,reguler
18,J&T Express,60191,70815,45000,EZ,reguler
19,J&T Express,60191,94971,69000,EZ,reguler
20,ID Express,60191,93111,63000,iDSTD,reguler
21,JNE,20111,21111,10000,REG19,reguler
22,JNE,14440,34194,28000,OKE19,reguler
23,JNE,20111,22311,10000,REG19,reguler
24,J&T Express,20111,24184,27000,EZ,reguler
25,J&T Express,60191,94971,69000,EZ,reguler
26,ID Express,60191,94356,65000,iDSTD,reguler
27,SiCepat,20111,27211,26000,SIUNT,reguler
28,SiCepat,14440,35592,22000,SIUNT,reguler
29,JNE,20111,23764,23000,OKE19,reguler
30,J&T Express,30111,79465,49000,EZ,reguler
31,ID Express,30111,30111,8500,iDSTD,reguler
32,J&T Express,30111,79513,48000,EZ,reguler
33,J&T Express,20111,22611,18000,EZ,reguler
34,JNE,20111,24413,23000,OKE19,reguler
35,ID Express,30111,78557,45500,iDSTD,reguler
36,J&T Express,30111,31311,13000,EZ,reguler
37,J&T Express,30111,30911,13000,EZ,reguler
38,SiCepat,60191,90911,52500,SIUNT,reguler
39,JNE,60191,92111,45000,OKE19,reguler
40,ID Express,20111,20111,6500,iDSTD,reguler
41,J&T Express,30111,78113,31000,EZ,reguler
42,J&T Express,60191,96211,77000,EZ,reguler
43,JNE,20111,22727,10000,REG19,reguler
44,J&T Express,60191,71419,38000,EZ,reguler
45,SiCepat,20111,27211,26000,SIUNT,reguler
46,JNE,20111,21464,10000,REG19,reguler
47,JNE,20111,28557,23000,OKE19,reguler
48,J&T Express,60191,93511,71000,EZ,reguler
49,SiCepat,20111,24511,25000,SIUNT,reguler
50,SiCepat,60191,72211,38000,SIUNT,reguler
51,JNE,30111,36364,32000,OKE19,reguler
52,SiCepat,30111,29662,35000,SIUNT,reguler
53,ID Express,60191,90111,39000,iDSTD,reguler
54,J&T Express,60191,70815,45000,EZ,reguler
55,JNE,30111,29319,32000,OKE19,reguler
56,JNE,14440,35367,28000,OKE19,reguler
57,SiCepat,20111,24653,25000,SIUNT,reguler
58,J&T Express,20111,28763,28000,EZ,reguler
59,JNE,20111,20511,10000,REG19,reguler
60,J&T Express,30111,31411,13000,EZ,reguler
