No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,JNE,14440,32184,30000,OKE19,reguler
2,J&T Express,14440,29111,41000,EZ,reguler
3,ID Express,60191,94111,53000,iDSTD,reguler
4,JNE,14440,31654,30000,OKE19,reguler
5,JNE,14440,24111,54000,OKE19,reguler
6,SiCepat,14440,24511,56000,SIUNT,reguler
7,J&T Express,14440,28411,42000,EZ,reguler
8,J&T Express,14440,28411,42000,EZ,reguler
9,JNE,14440,24413,54000,OKE19,reguler
10,J&T Express,14440,28411,42000,EZ,reguler
11,J&T Express,14440,28711,42000,EZ,reguler
12,J&T Express,60191,71419,38000,EZ,reguler
13,JNE,14440,31214,30000,OKE19,reguler
14,JNE,14440,24416,54000,OKE19,reguler
15,ID Express,14440,28111,34000,iDSTD,reguler
16,J&T Express,60191,94971,69000,EZ,reguler
17,J&T Express,60191,93881,79000,EZ,reguler
18,JNE,14440,24413,54000,OKE19,reguler
19,ID Express,60191,90111,39000,iDSTD,reguler
20,ID Express,60191,95953,84500,iDSTD,reguler
21,JNE,60191,73513,47000,OKE19,reguler
22,SiCepat,14440,27411,40000,SIUNT,reguler
23,J&T Express,14440,29111,41000,EZ,reguler
24,ID Express,14440,22392,45000,iDSTD,reguler
25,J&T Express,14440,29427,32000,EZ,reguler
26,J&T Express,14440,27511,42000,EZ,reguler
27,JNE,14440,79513,47000,OKE19,reguler
28,J&T Express,14440,29511,41000,EZ,reguler
29,J&T Express,14440,79465,48000,EZ,reguler
30,JNE,14440,30655,30000,OKE19,reguler
31,JNE,14440,37111,35000,OKE19,reguler
32,SiCepat,60191,92917,53000,SIUNT,reguler
33,JNE,14440,34684,28000,OKE19,reguler
34,J&T Express,60191,93753,79000,EZ,reguler
35,J&T Express,14440,79465,48000,EZ,reguler
36,J&T Express,60191,76143,47000,EZ,reguler
37,ID Express,14440,21211,45000,iDSTD,reguler
38,J&T Express,14440,38956,41000,EZ,reguler
39,J&T Express,14440,78852,48000,EZ,reguler
40,J&T Express,14440,20811,44000,EZ,reguler
41,J&T Express,14440,79465,48000,EZ,reguler
42,SiCepat,14440,21411,45000,SIUNT,reguler
43,SiCepat,60191,92711,51500,SIUNT,reguler
44,ID Express,60191,76111,39000,iDSTD,reguler
45,J&T Express,14440,28711,42000,EZ,reguler
46,JNE,14440,24261,59000,OKE19,reguler
47,ID Express,14440,20111,36000,iDSTD,reguler
48,ID Express,60191,96362,84500,iDSTD,reguler
49,J&T Express,60191,95511,79000,EZ,reguler
50,J&T Express,14440,28911,42000,EZ,reguler
51,ID Express,14440,25111,34000,iDSTD,reguler
52,JNE,14440,23671,59000,OKE19,reguler
53,JNE,14440,35111,17000,OKE19,reguler
54,JNE,14440,35367,28000,OKE19,reguler
55,J&T Express,14440,29511,41000,EZ,reguler
56,JNE,60191,71513,43000,OKE19,reguler
57,J&T Express,14440,28411,42000,EZ,reguler
58,J&T Express,14440,22711,42000,EZ,reguler
59,J&T Express,60191,74261,49000,EZ,reguler
60,JNE,60191,74413,47000,OKE19,reguler
61,J&T Express,60191,91361,55000,EZ,reguler
62,J&T Express,14440,27383,42000,EZ,reguler
63,ID Express,14440,20511,36000,iDSTD,reguler
64,JNE,14440,31411,30000,OKE19,reguler
65,J&T Express,60191,94561,69000,EZ,reguler
66,SiCepat,60191,91211,52500,SIUNT,reguler
67,ID Express,14440,20511,36000,iDSTD,reguler
68,JNE,14440,34611,28000,OKE19,reguler
69,JNE,14440,38118,34000,OKE19,reguler
70,SiCepat,14440,26566,42000,SIUNT,reguler
71,ID Express,60191,75683,56000,iDSTD,reguler
72,JNE,14440,34157,28000,OKE19,reguler
73,J&T Express,14440,23242,42000,EZ,reguler
74,JNE,14440,78873,47000,OKE19,reguler
75,JNE,14440,35367,28000,OKE19,reguler
76,SiCepat,14440,35592,22000,SIUNT,reguler
77,SiCepat,60191,91561,50500,SIUNT,reguler
78,JNE,14440,33312,30000,OKE19,reguler
79,SiCepat,60191,92711,51500,SIUNT,reguler
80,J&T Express,60191,93572,79000,EZ,reguler
81,JNE,14440,78557,47000,OKE19,reguler
82,JNE,14440,30111,20000,OKE19,reguler
83,ID Express,14440,25111,34000,iDSTD,reguler
84,J&T Express,14440,28383,42000,EZ,reguler
85,JNE,60191,71215,43000,OKE19,reguler
86,J&T Express,14440,20995,43000,EZ,reguler
87,JNE,14440,24651,59000,OKE19,reguler
88,J&T Express,14440,20995,43000,EZ,reguler
89,J&T Express,60191,71419,38000,EZ,reguler
90,ID Express,60191,93111,63000,iDSTD,reguler
91,ID Express,14440,20511,36000,iDSTD,reguler
92,J&T Express,14440,29319,41000,EZ,reguler
93,JNE,14440,31511,25000,OKE19,reguler
94,J&T Express,14440,29511,41000,EZ,reguler
95,J&T Express,14440,22711,42000,EZ,reguler
96,ID Express,14440,22411,45000,iDSTD,reguler
97,J&T Express,14440,24352,53000,EZ,reguler
98,J&T Express,14440,20811,44000,EZ,reguler
99,ID Express,14440,20511,36000,iDSTD,reguler
100,J&T Express,60191,93711,79000,EZ,reguler
