No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,60191,74161,49000,EZ,reguler
2,SiCepat,14440,25673,42000,SIUNT,reguler
3,J&T Express,60191,93411,71000,EZ,reguler
4,J&T Express,14440,28763,41000,EZ,reguler
5,JNE,14440,31311,25000,OKE19,reguler
6,J&T Express,14440,29111,41000,EZ,reguler
7,SiCepat,60191,92711,51500,SIUNT,reguler
8,JNE,14440,34157,28000,OKE19,reguler
9,ID Express,14440,20511,36000,iDSTD,reguler
10,J&T Express,14440,20995,43000,EZ,reguler
11,JNE,14440,34194,28000,OKE19,reguler
12,JNE,14440,34157,28000,OKE19,reguler
13,JNE,14440,31661,30000,OKE19,reguler
14,JNE,14440,30611,25000,OKE19,reguler
15,JNE,14440,31411,30000,OKE19,reguler
16,JNE,14440,30111,20000,OKE19,reguler
17,JNE,14440,35611,28000,OKE19,reguler
18,ID Express,60191,95231,71000,iDSTD,reguler
19,J&T Express,60191,75511,51000,EZ,reguler
20,JNE,14440,24184,59000,OKE19,reguler
21,ID Express,60191,94356,65000,iDSTD,reguler
22,J&T Express,14440,20811,44000,EZ,reguler
23,J&T Express,14440,28811,42000,EZ,reguler
24,J&T Express,60191,94711,61000,EZ,reguler
25,JNE,14440,24261,59000,OKE19,reguler
26,JNE,14440,30655,30000,OKE19,reguler
27,SiCepat,14440,21455,45000,SIUNT,reguler
28,J&T Express,14440,28557,42000,EZ,reguler
29,ID Express,14440,20111,36000,iDSTD,reguler
30,SiCepat,60191,90711,51500,SIUNT,reguler
31,JNE,60191,92111,45000,OKE19,reguler
32,JNE,14440,34611,28000,OKE19,reguler
33,JNE,14440,33214,30000,OKE19,reguler
34,JNE,14440,79513,47000,OKE19,reguler
35,J&T Express,60191,90611,47000,EZ,reguler
36,ID Express,14440,20511,36000,iDSTD,reguler
37,JNE,14440,34877,28000,OKE19,reguler
38,JNE,14440,35111,17000,OKE19,reguler
39,J&T Express,14440,23242,42000,EZ,reguler
40,ID Express,60191,96112,69000,iDSTD,reguler
41,J&T Express,60191,91121,47000,EZ,reguler
42,JNE,14440,36611,30000,OKE19,reguler
43,JNE,14440,34194,28000,OKE19,reguler
44,ID Express,14440,20511,36000,iDSTD,reguler
45,J&T Express,60191,93771,71000,EZ,reguler
46,JNE,14440,37311,30000,OKE19,reguler
47,J&T Express,14440,28411,42000,EZ,reguler
48,ID Express,14440,78243,36000,iDSTD,reguler
49,SiCepat,14440,21464,45000,SIUNT,reguler
50,JNE,14440,31411,30000,OKE19,reguler
51,J&T Express,14440,29111,41000,EZ,reguler
52,JNE,14440,30655,30000,OKE19,reguler
53,ID Express,14440,20511,36000,iDSTD,reguler
54,SiCepat,14440,21255,45000,SIUNT,reguler
55,J&T Express,60191,93571,79000,EZ,reguler
56,SiCepat,14440,27411,40000,SIUNT,reguler
57,JNE,14440,36364,35000,OKE19,reguler
58,ID Express,14440,33411,32000,iDSTD,reguler
59,J&T Express,60191,94561,69000,EZ,reguler
60,JNE,14440,24416,54000,OKE19,reguler
61,ID Express,14440,20111,36000,iDSTD,reguler
62,JNE,14440,37162,35000,OKE19,reguler
63,JNE,14440,36128,25000,OKE19,reguler
64,J&T Express,14440,21161,44000,EZ,reguler
65,ID Express,14440,20511,36000,iDSTD,reguler
66,ID Express,60191,70117,29000,iDSTD,reguler
67,ID Express,60191,77211,65000,iDSTD,reguler
68,ID Express,14440,78391,36000,iDSTD,reguler
69,JNE,14440,31654,30000,OKE19,reguler
70,J&T Express,14440,29427,32000,EZ,reguler
71,ID Express,60191,94111,53000,iDSTD,reguler
72,JNE,14440,33783,30000,OKE19,reguler
73,J&T Express,14440,38375,41000,EZ,reguler
74,JNE,14440,31654,30000,OKE19,reguler
75,J&T Express,14440,28811,42000,EZ,reguler
76,ID Express,60191,75311,49000,iDSTD,reguler
77,ID Express,60191,96362,84500,iDSTD,reguler
78,J&T Express,14440,28711,42000,EZ,reguler
79,J&T Express,60191,75511,51000,EZ,reguler
80,JNE,14440,32156,30000,OKE19,reguler
81,JNE,14440,33312,30000,OKE19,reguler
82,J&T Express,14440,21161,44000,EZ,reguler
83,J&T Express,60191,73881,45000,EZ,reguler
84,J&T Express,60191,95811,79000,EZ,reguler
85,J&T Express,60191,95611,87000,EZ,reguler
