No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,JNE,78243,32184,56000,OKE19,reguler
2,J&T Express,78243,35376,38000,EZ,reguler
3,SiCepat,78243,28411,56000,SIUNT,reguler
4,ID Express,78243,20111,45000,iDSTD,reguler
5,J&T Express,78243,94971,50000,EZ,reguler
6,ID Express,78243,20111,45000,iDSTD,reguler
7,J&T Express,78243,23764,63000,EZ,reguler
8,ID Express,78243,34764,53500,iDSTD,reguler
9,ID Express,78243,90111,50000,iDSTD,reguler
10,J&T Express,78243,23891,77000,EZ,reguler
11,ID Express,78243,35592,46000,iDSTD,reguler
12,ID Express,78243,20511,53000,iDSTD,reguler
13,J&T Express,78243,91311,64000,EZ,reguler
14,J&T Express,78243,75511,65000,EZ,reguler
15,J&T Express,78243,24352,65000,EZ,reguler
16,J&T Express,78243,91992,69000,EZ,reguler
17,ID Express,78243,22392,59000,iDSTD,reguler
18,JNE,78243,23681,74000,OKE19,reguler
19,J&T Express,78243,20811,43000,EZ,reguler
20,JNE,78243,24111,69000,OKE19,reguler
21,JNE,78243,31311,51000,OKE19,reguler
22,ID Express,78243,76111,46000,iDSTD,reguler
23,J&T Express,78243,33214,57000,EZ,reguler
24,SiCepat,78243,34157,47000,SIUNT,reguler
25,J&T Express,78243,31661,53000,EZ,reguler
26,J&T Express,78243,92711,64000,EZ,reguler
27,J&T Express,78243,90911,64000,EZ,reguler
28,ID Express,78243,30111,34000,iDSTD,reguler
29,ID Express,78243,20111,45000,iDSTD,reguler
30,J&T Express,78243,25511,40000,EZ,reguler
31,ID Express,78243,26311,62500,iDSTD,reguler
32,JNE,78243,92111,62000,OKE19,reguler
33,J&T Express,78243,94356,91000,EZ,reguler
34,SiCepat,78243,26164,57000,SIUNT,reguler
35,J&T Express,78243,30911,48000,EZ,reguler
36,J&T Express,78243,91361,69000,EZ,reguler
37,JNE,78243,32184,56000,OKE19,reguler
38,SiCepat,78243,36514,52500,SIUNT,reguler
39,ID Express,78243,73112,45000,iDSTD,reguler
40,J&T Express,78243,91853,69000,EZ,reguler
41,JNE,78243,30655,56000,OKE19,reguler
42,ID Express,78243,79465,12000,iDSTD,reguler
43,ID Express,78243,78113,5500,iDSTD,reguler
44,SiCepat,78243,38571,56500,SIUNT,reguler
45,SiCepat,78243,36514,52500,SIUNT,reguler
46,JNE,78243,79111,11000,OKE19,reguler
47,JNE,78243,29211,58000,OKE19,reguler
48,SiCepat,78243,28557,56500,SIUNT,reguler
49,JNE,78243,24261,74000,OKE19,reguler
50,J&T Express,78243,24382,65000,EZ,reguler
51,J&T Express,78243,31511,39000,EZ,reguler
52,J&T Express,78243,77211,54000,EZ,reguler
53,SiCepat,78243,36514,52500,SIUNT,reguler
54,J&T Express,78243,91911,52000,EZ,reguler
55,ID Express,78243,79465,12000,iDSTD,reguler
56,J&T Express,78243,91992,69000,EZ,reguler
57,J&T Express,78243,91211,64000,EZ,reguler
58,J&T Express,78243,33511,58000,EZ,reguler
59,JNE,78243,37311,51000,OKE19,reguler
60,ID Express,78243,20111,45000,iDSTD,reguler
61,J&T Express,78243,73712,57000,EZ,reguler
62,SiCepat,78243,34111,47000,SIUNT,reguler
63,J&T Express,78243,92711,64000,EZ,reguler
64,JNE,78243,21464,64000,OKE19,reguler
65,ID Express,78243,74363,62000,iDSTD,reguler
66,SiCepat,78243,34157,47000,SIUNT,reguler
67,ID Express,78243,26311,62500,iDSTD,reguler
68,J&T Express,78243,21455,64000,EZ,reguler
70,J&T Express,78243,25392,58000,EZ,reguler
71,J&T Express,78243,95881,98000,EZ,reguler
72,J&T Express,78243,73712,57000,EZ,reguler
73,J&T Express,78243,21111,55000,EZ,reguler
74,J&T Express,78243,93811,57000,EZ,reguler
75,ID Express,78243,35111,33000,iDSTD,reguler
76,SiCepat,78243,22742,63000,SIUNT,reguler
77,JNE,78243,78852,14000,OKE19,reguler
78,SiCepat,78243,95411,89000,SIUNT,reguler
79,J&T Express,78243,21311,61000,EZ,reguler
80,JNE,78243,28755,63000,OKE19,reguler
81,,78243,79111,,,reguler
82,J&T Express,78243,24511,59000,EZ,reguler
83,J&T Express,78243,74261,68000,EZ,reguler
84,,78243,94974,,,reguler
85,ID Express,78243,22611,74000,iDSTD,reguler
86,J&T Express,78243,22411,43000,EZ,reguler
87,ID Express,78243,92917,67500,iDSTD,reguler
88,J&T Express,78243,33123,44000,EZ,reguler
89,J&T Express,78243,93791,63000,EZ,reguler
90,J&T Express,78243,33123,44000,EZ,reguler
91,JNE,78243,31311,51000,OKE19,reguler
92,ID Express,78243,35592,46000,iDSTD,reguler
93,ID Express,78243,78384,8000,iDSTD,reguler
94,J&T Express,78243,92711,64000,EZ,reguler
95,J&T Express,78243,20711,55000,EZ,reguler
96,SiCepat,78243,34157,47000,SIUNT,reguler
97,ID Express,78243,35111,33000,iDSTD,reguler
98,J&T Express,78243,71419,51000,EZ,reguler
99,JNE,78243,38375,64000,OKE19,reguler
100,J&T Express,78243,37211,53000,EZ,reguler
101,J&T Express,78243,38612,54000,EZ,reguler
102,J&T Express,78243,21455,64000,EZ,reguler
103,J&T Express,78243,27511,52000,EZ,reguler
104,J&T Express,78243,91811,64000,EZ,reguler
105,SiCepat,78243,26164,57000,SIUNT,reguler
106,J&T Express,78243,20711,55000,EZ,reguler
107,J&T Express,78243,91211,64000,EZ,reguler
108,SiCepat,78243,31111,48500,SIUNT,reguler
109,JNE,78243,24111,69000,OKE19,reguler
110,J&T Express,78243,24786,65000,EZ,reguler
111,ID Express,78243,90111,50000,iDSTD,reguler
112,JNE,78243,28755,63000,OKE19,reguler
113,ID Express,78243,94111,60000,iDSTD,reguler
114,J&T Express,78243,93411,76000,EZ,reguler
115,J&T Express,78243,71215,54000,EZ,reguler
116,SiCepat,78243,72163,66000,SIUNT,reguler
117,JNE,78243,78611,11000,OKE19,reguler
118,J&T Express,78243,91361,69000,EZ,reguler
119,J&T Express,78243,96362,92000,EZ,reguler
120,J&T Express,78243,71315,54000,EZ,reguler
121,ID Express,78243,90111,50000,iDSTD,reguler
122,ID Express,78243,29427,41000,iDSTD,reguler
123,,78243,29427,,,reguler
124,J&T Express,78243,32274,53000,EZ,reguler
125,ID Express,78243,20511,53000,iDSTD,reguler
126,,78243,32156,,,reguler
127,J&T Express,78243,34388,45000,EZ,reguler
128,ID Express,78243,30111,34000,iDSTD,reguler
129,,78243,36514,,,reguler
130,ID Express,78243,79465,12000,iDSTD,reguler
