No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,78243,22911,54000,EZ,reguler
2,SiCepat,78243,96266,62500,SIUNT,reguler
3,J&T Express,78243,90511,64000,EZ,reguler
4,SiCepat,78243,36514,52500,SIUNT,reguler
5,J&T Express,78243,91911,52000,EZ,reguler
6,ID Express,78243,20511,53000,iDSTD,reguler
7,J&T Express,78243,96112,64000,EZ,reguler
8,JNE,78243,28911,63000,OKE19,reguler
9,J&T Express,78243,74172,57000,EZ,reguler
10,SiCepat,78243,34111,47000,SIUNT,reguler
11,J&T Express,78243,24311,64000,EZ,reguler
12,ID Express,78243,22611,74000,iDSTD,reguler
13,ID Express,78243,35111,33000,iDSTD,reguler
14,ID Express,78243,79465,12000,iDSTD,reguler
15,J&T Express,78243,92412,52000,EZ,reguler
16,ID Express,78243,20111,45000,iDSTD,reguler
17,J&T Express,78243,96112,64000,EZ,reguler
18,J&T Express,78243,39112,43000,EZ,reguler
19,JNE,78243,28755,63000,OKE19,reguler
20,J&T Express,78243,24352,65000,EZ,reguler
21,J&T Express,78243,28811,53000,EZ,reguler
22,J&T Express,78243,21211,54000,EZ,reguler
23,JNE,78243,30611,51000,OKE19,reguler
24,ID Express,78243,20511,53000,iDSTD,reguler
25,ID Express,78243,76111,46000,iDSTD,reguler
26,J&T Express,78243,94561,57000,EZ,reguler
27,JNE,78243,78557,11000,OKE19,reguler
28,JNE,78243,30655,56000,OKE19,reguler
29,ID Express,78243,90111,50000,iDSTD,reguler
30,J&T Express,78243,91512,52000,EZ,reguler
31,JNE,78243,78611,11000,OKE19,reguler
32,ID Express,78243,20111,45000,iDSTD,reguler
33,ID Express,78243,36128,34000,iDSTD,reguler
34,ID Express,78243,22611,74000,iDSTD,reguler
35,J&T Express,78243,74261,68000,EZ,reguler
36,J&T Express,78243,93711,89000,EZ,reguler
37,J&T Express,78243,91371,69000,EZ,reguler
38,ID Express,78243,28111,40000,iDSTD,reguler
39,ID Express,78243,75111,55000,iDSTD,reguler
40,SiCepat,78243,28411,56000,SIUNT,reguler
41,J&T Express,78243,37571,52000,EZ,reguler
42,JNE,78243,37311,51000,OKE19,reguler
43,J&T Express,78243,22111,54000,EZ,reguler
44,JNE,78243,24476,74000,OKE19,reguler
45,ID Express,78243,25111,40000,iDSTD,reguler
46,J&T Express,78243,75511,65000,EZ,reguler
47,ID Express,78243,90111,50000,iDSTD,reguler
48,JNE,78243,32184,56000,OKE19,reguler
49,J&T Express,78243,37211,53000,EZ,reguler
50,ID Express,78243,22711,59000,iDSTD,reguler
51,SiCepat,78243,26566,57000,SIUNT,reguler
52,J&T Express,78243,34684,45000,EZ,reguler
53,J&T Express,78243,31511,39000,EZ,reguler
54,J&T Express,78243,35376,38000,EZ,reguler
55,ID Express,78243,29427,41000,iDSTD,reguler
56,J&T Express,78243,22211,54000,EZ,reguler
57,J&T Express,78243,96112,64000,EZ,reguler
58,ID Express,78243,78243,5500,iDSTD,reguler
59,ID Express,78243,20111,45000,iDSTD,reguler
60,ID Express,78243,79465,12000,iDSTD,reguler
61,J&T Express,78243,90511,64000,EZ,reguler
62,J&T Express,78243,92511,64000,EZ,reguler
63,SiCepat,78243,21255,62500,SIUNT,reguler
64,SiCepat,78243,26566,57000,SIUNT,reguler
65,J&T Express,78243,24382,65000,EZ,reguler
66,J&T Express,78243,27211,52000,EZ,reguler
67,ID Express,78243,34877,51000,iDSTD,reguler
68,ID Express,78243,35111,33000,iDSTD,reguler
69,J&T Express,78243,38878,46000,EZ,reguler
70,J&T Express,78243,39265,37000,EZ,reguler
71,J&T Express,78243,20811,43000,EZ,reguler
72,ID Express,78243,30111,34000,iDSTD,reguler
73,JNE,78243,32184,56000,OKE19,reguler
74,ID Express,78243,20995,59000,iDSTD,reguler
75,SiCepat,78243,93671,90000,SIUNT,reguler
76,J&T Express,78243,73881,64000,EZ,reguler
77,SiCepat,78243,72163,66000,SIUNT,reguler
78,J&T Express,78243,35376,38000,EZ,reguler
79,ID Express,78243,28111,40000,iDSTD,reguler
80,SiCepat,78243,34157,47000,SIUNT,reguler
81,J&T Express,78243,94971,50000,EZ,reguler
82,J&T Express,78243,24382,65000,EZ,reguler
83,J&T Express,78243,39115,43000,EZ,reguler
84,J&T Express,78243,91711,64000,EZ,reguler
85,ID Express,78243,92917,67500,iDSTD,reguler
86,J&T Express,78243,91561,52000,EZ,reguler
87,J&T Express,78243,22111,54000,EZ,reguler
88,ID Express,78243,90111,50000,iDSTD,reguler
89,J&T Express,78243,22111,54000,EZ,reguler
90,JNE,78243,31311,51000,OKE19,reguler
91,ID Express,78243,29427,41000,iDSTD,reguler
92,J&T Express,78243,94892,90000,EZ,reguler
93,ID Express,78243,79465,12000,iDSTD,reguler
94,J&T Express,78243,34684,45000,EZ,reguler
95,J&T Express,78243,74511,65000,EZ,reguler
96,SiCepat,78243,24653,66500,SIUNT,reguler
97,SiCepat,78243,22742,63000,SIUNT,reguler
98,J&T Express,78243,27511,52000,EZ,reguler
99,J&T Express,78243,91811,64000,EZ,reguler
100,ID Express,78243,22811,59000,iDSTD,reguler
101,JNE,78243,28711,58000,OKE19,reguler
102,J&T Express,78243,95953,95000,EZ,reguler
103,J&T Express,78243,22411,43000,EZ,reguler
104,SiCepat,78243,34194,47000,SIUNT,reguler
105,J&T Express,78243,93572,72000,EZ,reguler
106,JNE,78243,31311,51000,OKE19,reguler
107,J&T Express,78243,33511,58000,EZ,reguler
108,JNE,78243,78557,11000,OKE19,reguler
109,J&T Express,78243,20811,43000,EZ,reguler
110,J&T Express,78243,92511,64000,EZ,reguler
