No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,30911,32184,19000,EZ,reguler
2,JNE,30911,35376,40000,OKE19,reguler
3,SiCepat,22611,28411,25000,SIUNT,reguler
4,SiCepat,22611,20111,8500,SIUNT,reguler
5,JNE,94892,94971,30000,OKE19,reguler
6,SiCepat,22611,20111,8500,SIUNT,reguler
7,SiCepat,22611,23764,31000,SIUNT,reguler
8,JNE,30911,34764,40000,OKE19,reguler
9,J&T Express,75683,90111,47000,EZ,reguler
10,SiCepat,22611,23891,52500,SIUNT,reguler
11,JNE,30911,35592,40000,OKE19,reguler
12,SiCepat,22611,20511,11500,SIUNT,reguler
13,J&T Express,75683,91311,56000,EZ,reguler
14,J&T Express,75683,75511,28000,EZ,reguler
15,SiCepat,22611,24352,25000,SIUNT,reguler
16,J&T Express,75683,91992,55000,EZ,reguler
17,SiCepat,22611,22392,29500,SIUNT,reguler
18,JNE,22611,23681,42000,OKE19,reguler
19,SiCepat,22611,20811,11500,SIUNT,reguler
20,SiCepat,22611,24111,31000,SIUNT,reguler
21,JNE,30911,31311,19000,OKE19,reguler
22,ID Express,75683,76111,24000,iDSTD,reguler
23,JNE,30911,33214,39000,OKE19,reguler
24,JNE,30911,34157,40000,OKE19,reguler
25,JNE,30911,31661,24000,OKE19,reguler
26,J&T Express,75683,92711,48000,EZ,reguler
27,ID Express,75683,90911,58000,iDSTD,reguler
28,J&T Express,30911,30111,12000,EZ,reguler
29,SiCepat,22611,20111,8500,SIUNT,reguler
30,SiCepat,22611,25511,26000,SIUNT,reguler
31,J&T Express,22611,26311,40000,EZ,reguler
32,JNE,75683,92111,49000,OKE19,reguler
33,J&T Express,75683,94356,48000,EZ,reguler
34,SiCepat,22611,26164,40000,SIUNT,reguler
35,J&T Express,30911,30911,7000,EZ,reguler
36,J&T Express,75683,91361,50000,EZ,reguler
37,J&T Express,30911,32184,19000,EZ,reguler
38,JNE,30911,36514,42000,OKE19,reguler
39,JNE,75683,73112,44000,OKE19,reguler
40,J&T Express,75683,91853,50000,EZ,reguler
41,JNE,30911,30655,19000,OKE19,reguler
42,J&T Express,30911,79465,59000,EZ,reguler
43,J&T Express,30911,78113,44000,EZ,reguler
44,JNE,30911,38571,45000,OKE19,reguler
45,JNE,30911,36514,42000,OKE19,reguler
46,J&T Express,30911,79111,53000,EZ,reguler
47,JNE,30911,29211,42000,OKE19,reguler
48,SiCepat,22611,28557,25000,SIUNT,reguler
49,SiCepat,22611,24261,31000,SIUNT,reguler
50,SiCepat,22611,24382,31000,SIUNT,reguler
51,J&T Express,30911,31511,19000,EZ,reguler
52,ID Express,75683,77211,48000,iDSTD,reguler
53,JNE,30911,36514,42000,OKE19,reguler
54,J&T Express,75683,91911,50000,EZ,reguler
55,J&T Express,30911,79465,59000,EZ,reguler
56,J&T Express,75683,91992,55000,EZ,reguler
57,J&T Express,75683,91211,56000,EZ,reguler
58,J&T Express,30911,33511,53000,EZ,reguler
59,JNE,30911,37311,37000,OKE19,reguler
60,SiCepat,22611,20111,8500,SIUNT,reguler
61,J&T Express,75683,73712,42000,EZ,reguler
62,JNE,30911,34111,35000,OKE19,reguler
63,J&T Express,75683,92711,48000,EZ,reguler
64,SiCepat,22611,21464,25000,SIUNT,reguler
65,J&T Express,75683,74363,50000,EZ,reguler
66,JNE,30911,34157,40000,OKE19,reguler
67,J&T Express,22611,26311,40000,EZ,reguler
68,SiCepat,22611,21455,25000,SIUNT,reguler
69,JNE,75683,76143,39000,OKE19,reguler
70,SiCepat,22611,25392,40000,SIUNT,reguler
71,J&T Express,94892,95881,82000,EZ,reguler
72,J&T Express,75683,73712,42000,EZ,reguler
73,SiCepat,22611,21111,11500,SIUNT,reguler
74,J&T Express,94892,93811,46000,EZ,reguler
75,JNE,30911,35111,30000,OKE19,reguler
76,SiCepat,22611,22742,11500,SIUNT,reguler
77,J&T Express,30911,78852,53000,EZ,reguler
78,J&T Express,94892,95411,74000,EZ,reguler
79,SiCepat,22611,21311,11500,SIUNT,reguler
80,JNE,30911,28755,47000,OKE19,reguler
81,J&T Express,30911,79111,53000,EZ,reguler
82,SiCepat,22611,24511,25000,SIUNT,reguler
83,J&T Express,75683,74261,54000,EZ,reguler
84,JNE,94892,94974,30000,OKE19,reguler
85,J&T Express,22611,22611,25000,EZ,reguler
86,SiCepat,22611,22411,11500,SIUNT,reguler
87,J&T Express,75683,92917,55000,EZ,reguler
88,JNE,30911,33123,34000,OKE19,reguler
89,J&T Express,94892,93791,46000,EZ,reguler
90,JNE,30911,33123,34000,OKE19,reguler
91,JNE,30911,31311,19000,OKE19,reguler
92,JNE,30911,35592,40000,OKE19,reguler
