No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,73911,74161,45000,EZ,reguler
2,JNE,31654,25673,51000,OKE19,reguler
3,ID Express,94974,93411,59000,iDSTD,reguler
4,JNE,31654,28763,45000,OKE19,reguler
5,JNE,31654,31311,15000,OKE19,reguler
6,J&T Express,31654,29111,43000,EZ,reguler
7,ID Express,94974,92711,32000,iDSTD,reguler
8,JNE,31654,34157,36000,OKE19,reguler
9,JNE,22111,20511,15000,REG19,reguler
10,J&T Express,22111,20995,15000,EZ,reguler
11,JNE,31654,34194,36000,OKE19,reguler
12,JNE,31654,34157,36000,OKE19,reguler
13,JNE,31654,31661,15000,CTC19,reguler
14,JNE,31654,30611,15000,OKE19,reguler
15,JNE,31654,31411,20000,OKE19,reguler
16,JNE,31654,30111,15000,OKE19,reguler
17,JNE,31654,35611,36000,OKE19,reguler
18,ID Express,94974,95231,45000,iDSTD,reguler
19,J&T Express,73911,75511,58000,EZ,reguler
20,J&T Express,22111,24184,31000,EZ,reguler
21,J&T Express,94974,94356,32000,EZ,reguler
22,JNE,22111,20811,15000,REG19,reguler
23,J&T Express,22111,28811,41000,EZ,reguler
24,JNE,94974,94711,22000,REG19,reguler
25,J&T Express,22111,24261,31000,EZ,reguler
26,JNE,31654,30655,15000,OKE19,reguler
27,J&T Express,22111,21455,18000,EZ,reguler
28,JNE,22111,28557,38000,OKE19,reguler
29,JNE,22111,20111,10000,REG19,reguler
30,ID Express,94974,90711,33000,iDSTD,reguler
31,ID Express,94974,92111,27000,iDSTD,reguler
32,JNE,31654,34611,36000,OKE19,reguler
33,JNE,31654,33214,35000,OKE19,reguler
34,J&T Express,73911,79513,96000,EZ,reguler
35,ID Express,94974,90611,32000,iDSTD,reguler
36,JNE,22111,20511,15000,REG19,reguler
37,JNE,31654,34877,36000,OKE19,reguler
38,JNE,31654,35111,24000,OKE19,reguler
39,J&T Express,22111,23242,22000,EZ,reguler
40,ID Express,94974,96112,50000,iDSTD,reguler
41,ID Express,94974,91121,32000,iDSTD,reguler
42,JNE,31654,36611,33000,OKE19,reguler
43,JNE,31654,34194,36000,OKE19,reguler
44,JNE,22111,20511,15000,REG19,reguler
45,ID Express,94974,93771,58000,iDSTD,reguler
46,JNE,31654,37311,33000,OKE19,reguler
47,JNE,31654,28411,39000,OKE19,reguler
48,J&T Express,73911,78243,60000,EZ,reguler
49,JNE,22111,21464,15000,REG19,reguler
50,JNE,31654,31411,20000,OKE19,reguler
51,J&T Express,31654,29111,43000,EZ,reguler
52,JNE,31654,30655,15000,OKE19,reguler
53,JNE,22111,20511,15000,REG19,reguler
54,JNE,22111,21255,15000,REG19,reguler
55,ID Express,94974,93571,58000,iDSTD,reguler
56,J&T Express,31654,27411,41000,EZ,reguler
57,JNE,31654,36364,39000,OKE19,reguler
58,J&T Express,31654,33411,40000,EZ,reguler
59,JNE,94974,94561,35000,REG19,reguler
60,J&T Express,22111,24416,27000,EZ,reguler
61,JNE,22111,20111,10000,REG19,reguler
62,JNE,31654,37162,39000,OKE19,reguler
63,JNE,31654,36128,27000,OKE19,reguler
64,J&T Express,22111,21161,17000,EZ,reguler
65,JNE,22111,20511,15000,REG19,reguler
66,J&T Express,73911,70117,12000,EZ,reguler
67,J&T Express,73911,77211,64000,EZ,reguler
68,J&T Express,73911,78391,43000,EZ,reguler
69,JNE,31654,31654,15000,CTC19,reguler
70,J&T Express,31654,29427,34000,EZ,reguler
71,JNE,94974,94111,28000,REG19,reguler
72,JNE,31654,33783,35000,OKE19,reguler
73,JNE,31654,38375,42000,OKE19,reguler
74,JNE,31654,31654,15000,CTC19,reguler
75,J&T Express,22111,28811,41000,EZ,reguler
76,J&T Express,73911,75311,38000,EZ,reguler
77,ID Express,94974,96362,57000,iDSTD,reguler
78,JNE,31654,28711,39000,OKE19,reguler
79,J&T Express,73911,75511,58000,EZ,reguler
80,JNE,31654,32156,20000,OKE19,reguler
81,JNE,31654,33312,35000,OKE19,reguler
82,J&T Express,22111,21161,17000,EZ,reguler
83,J&T Express,73911,73881,26000,EZ,reguler
84,ID Express,94974,95811,64000,iDSTD,reguler
85,ID Express,94974,95611,53000,iDSTD,reguler
86,J&T Express,73911,78611,99000,EZ,reguler
87,J&T Express,94974,94356,32000,EZ,reguler
88,J&T Express,73911,72211,20000,EZ,reguler
89,J&T Express,73911,74511,36000,EZ,reguler
90,JNE,22111,22874,25000,REG19,reguler
91,ID Express,94974,95611,53000,iDSTD,reguler
92,J&T Express,73911,70611,20000,EZ,reguler
93,JNE,22111,20111,10000,REG19,reguler
94,JNE,22111,20811,15000,REG19,reguler
