No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,22111,22911,18000,EZ,reguler
2,ID Express,94974,96266,57000,iDSTD,reguler
3,ID Express,94974,90511,27000,iDSTD,reguler
4,JNE,31654,36514,39000,OKE19,reguler
5,ID Express,94974,91911,32000,iDSTD,reguler
6,JNE,22111,20511,15000,REG19,reguler
7,ID Express,94974,96112,50000,iDSTD,reguler
8,J&T Express,22111,28911,41000,EZ,reguler
9,J&T Express,73911,74172,63000,EZ,reguler
10,JNE,31654,34111,30000,OKE19,reguler
11,J&T Express,22111,24311,27000,EZ,reguler
12,J&T Express,22111,22611,18000,EZ,reguler
13,JNE,31654,35111,24000,OKE19,reguler
14,J&T Express,73911,79465,99000,EZ,reguler
15,ID Express,94974,92412,32000,iDSTD,reguler
16,JNE,22111,20111,10000,REG19,reguler
17,ID Express,94974,96112,50000,iDSTD,reguler
18,JNE,31654,39112,36000,OKE19,reguler
19,JNE,31654,28755,45000,OKE19,reguler
20,J&T Express,22111,24352,27000,EZ,reguler
21,J&T Express,22111,28811,41000,EZ,reguler
22,JNE,22111,21211,15000,REG19,reguler
23,JNE,31654,30611,15000,OKE19,reguler
24,JNE,22111,20511,15000,REG19,reguler
25,J&T Express,73911,76111,33000,EZ,reguler
26,JNE,94974,94561,35000,REG19,reguler
27,J&T Express,73911,78557,102000,EZ,reguler
28,JNE,31654,30655,15000,OKE19,reguler
29,ID Express,94974,90111,27000,iDSTD,reguler
30,ID Express,94974,91512,32000,iDSTD,reguler
31,J&T Express,73911,78611,99000,EZ,reguler
32,JNE,22111,20111,10000,REG19,reguler
33,JNE,31654,36128,27000,OKE19,reguler
34,J&T Express,22111,22611,18000,EZ,reguler
35,J&T Express,73911,74261,53000,EZ,reguler
36,ID Express,94974,93711,45000,iDSTD,reguler
37,ID Express,94974,91371,33000,iDSTD,reguler
38,JNE,31654,28111,33000,OKE19,reguler
39,J&T Express,73911,75111,32000,EZ,reguler
40,JNE,31654,28411,39000,OKE19,reguler
41,JNE,31654,37571,39000,OKE19,reguler
42,JNE,31654,37311,33000,OKE19,reguler
43,ID Express,22111,22111,7000,iDSTD,reguler
44,J&T Express,22111,24476,31000,EZ,reguler
45,J&T Express,31654,25111,34000,EZ,reguler
46,J&T Express,73911,75511,58000,EZ,reguler
47,ID Express,94974,90111,27000,iDSTD,reguler
48,JNE,31654,32184,20000,OKE19,reguler
49,JNE,31654,37211,39000,OKE19,reguler
50,JNE,22111,22711,15000,REG19,reguler
51,J&T Express,22111,26566,42000,EZ,reguler
52,JNE,31654,34684,36000,OKE19,reguler
53,JNE,31654,31511,20000,OKE19,reguler
54,JNE,31654,35376,36000,OKE19,reguler
55,J&T Express,31654,29427,34000,EZ,reguler
56,JNE,22111,22211,10000,REG19,reguler
57,ID Express,94974,96112,50000,iDSTD,reguler
58,J&T Express,73911,78243,60000,EZ,reguler
59,JNE,22111,20111,10000,REG19,reguler
60,J&T Express,73911,79465,99000,EZ,reguler
61,ID Express,94974,90511,27000,iDSTD,reguler
62,ID Express,94974,92511,32000,iDSTD,reguler
63,JNE,22111,21255,15000,REG19,reguler
64,J&T Express,22111,26566,42000,EZ,reguler
65,J&T Express,22111,24382,31000,EZ,reguler
66,J&T Express,31654,27211,50000,EZ,reguler
67,JNE,31654,34877,36000,OKE19,reguler
68,JNE,31654,35111,24000,OKE19,reguler
69,JNE,31654,38878,42000,OKE19,reguler
70,JNE,31654,39265,42000,OKE19,reguler
71,JNE,22111,20811,15000,REG19,reguler
72,JNE,31654,30111,15000,OKE19,reguler
73,JNE,31654,32184,20000,OKE19,reguler
74,J&T Express,22111,20995,15000,EZ,reguler
75,ID Express,94974,93671,59000,iDSTD,reguler
76,J&T Express,73911,73881,26000,EZ,reguler
77,J&T Express,73911,72163,22000,EZ,reguler
78,JNE,31654,35376,36000,OKE19,reguler
79,JNE,31654,28111,33000,OKE19,reguler
80,JNE,31654,34157,36000,OKE19,reguler
81,JNE,94974,94971,35000,CTC19,reguler
82,J&T Express,22111,24382,31000,EZ,reguler
83,JNE,31654,39115,36000,OKE19,reguler
84,ID Express,94974,91711,32000,iDSTD,reguler
85,ID Express,94974,92917,33000,iDSTD,reguler
86,ID Express,94974,91561,32000,iDSTD,reguler
87,JNE,22111,22111,7000,CTC19,reguler
88,ID Express,94974,90111,27000,iDSTD,reguler
89,JNE,22111,22111,7000,CTC19,reguler
90,JNE,31654,31311,15000,OKE19,reguler
91,J&T Express,31654,29427,34000,EZ,reguler
92,JNE,94974,94892,28000,REG19,reguler
93,J&T Express,73911,79465,99000,EZ,reguler
94,JNE,31654,34684,36000,OKE19,reguler
95,J&T Express,73911,74511,36000,EZ,reguler
96,J&T Express,22111,24653,31000,EZ,reguler
97,J&T Express,31654,22742,61000,EZ,reguler
98,JNE,31654,27511,51000,OKE19,reguler
99,ID Express,94974,91811,33000,iDSTD,reguler
100,JNE,22111,22811,25000,REG19,reguler
101,JNE,31654,28711,39000,OKE19,reguler
102,ID Express,94974,95953,67000,iDSTD,reguler
103,JNE,22111,22411,15000,REG19,reguler
104,JNE,31654,34194,36000,OKE19,reguler
105,J&T Express,94974,93572,59000,EZ,reguler
106,JNE,31654,31311,15000,OKE19,reguler
107,JNE,31654,33511,58000,OKE19,reguler
108,J&T Express,73911,78557,102000,EZ,reguler
109,JNE,22111,20811,15000,REG19,reguler
110,ID Express,94974,92511,32000,iDSTD,reguler
111,JNE,22111,20111,10000,REG19,reguler
112,ID Express,94974,90111,27000,iDSTD,reguler
113,JNE,22111,20511,15000,REG19,reguler
114,J&T Express,73911,74361,42000,EZ,reguler
115,JNE,31654,30111,15000,OKE19,reguler
116,J&T Express,73911,72211,20000,EZ,reguler
117,J&T Express,22111,24261,31000,EZ,reguler
118,J&T Express,73911,70611,20000,EZ,reguler
119,ID Express,94974,91311,32000,iDSTD,reguler
120,JNE,31654,30111,15000,OKE19,reguler
121,J&T Express,31654,27381,50000,EZ,reguler
122,JNE,31654,31661,15000,CTC19,reguler
123,JNE,94974,94111,28000,REG19,reguler
124,J&T Express,22111,23764,27000,EZ,reguler
125,J&T Express,73911,70117,12000,EZ,reguler
126,JNE,31654,30711,15000,OKE19,reguler
127,J&T Express,73911,77211,64000,EZ,reguler
128,J&T Express,73911,75683,55000,EZ,reguler
129,ID Express,94974,91511,32000,iDSTD,reguler
130,J&T Express,22111,20995,15000,EZ,reguler
131,ID Express,94974,90111,27000,iDSTD,reguler
132,JNE,22111,20811,15000,REG19,reguler
133,JNE,31654,35611,36000,OKE19,reguler
134,JNE,31654,37571,39000,OKE19,reguler
135,JNE,22111,22727,15000,REG19,reguler
136,JNE,31654,35611,36000,OKE19,reguler
137,J&T Express,73911,71513,20000,EZ,reguler
138,JNE,31654,36364,39000,OKE19,reguler
139,ID Express,94974,90111,27000,iDSTD,reguler
140,JNE,31654,30111,15000,OKE19,reguler
141,ID Express,94974,91992,32000,iDSTD,reguler
142,JNE,31654,29319,39000,OKE19,reguler
143,J&T Express,31654,26164,50000,EZ,reguler
144,JNE,31654,30111,15000,OKE19,reguler
145,ID Express,94974,90111,27000,iDSTD,reguler
146,J&T Express,22111,24261,31000,EZ,reguler
147,JNE,22111,20111,10000,REG19,reguler
148,J&T Express,22111,28911,41000,EZ,reguler
149,ID Express,94974,90511,27000,iDSTD,reguler
150,J&T Express,73911,71665,23000,EZ,reguler
151,JNE,31654,35592,36000,OKE19,reguler
152,JNE,31654,32274,20000,OKE19,reguler
153,JNE,22111,22411,15000,REG19,reguler
154,J&T Express,31654,25111,34000,EZ,reguler
155,JNE,31654,34684,36000,OKE19,reguler
156,JNE,31654,34157,36000,OKE19,reguler
157,JNE,31654,34111,30000,OKE19,reguler
158,JNE,94974,94971,35000,CTC19,reguler
159,JNE,31654,35611,36000,OKE19,reguler
160,J&T Express,73911,70611,20000,EZ,reguler
161,JNE,31654,39115,36000,OKE19,reguler
162,JNE,22111,20511,15000,REG19,reguler
163,J&T Express,22111,23711,31000,EZ,reguler
164,JNE,31654,29511,45000,OKE19,reguler
165,J&T Express,73911,78716,96000,EZ,reguler
166,J&T Express,73911,77152,77000,EZ,reguler
167,J&T Express,31654,22742,61000,EZ,reguler
168,JNE,94974,94881,28000,REG19,reguler
169,JNE,31654,36128,27000,OKE19,reguler
170,JNE,22111,20111,10000,REG19,reguler
171,J&T Express,22111,21411,18000,EZ,reguler
172,JNE,31654,28411,39000,OKE19,reguler
173,J&T Express,73911,79211,85000,EZ,reguler
174,JNE,31654,32184,20000,OKE19,reguler
175,ID Express,94974,91911,32000,iDSTD,reguler
176,JNE,22111,20111,10000,REG19,reguler
177,ID Express,94974,95751,67000,iDSTD,reguler
178,J&T Express,73911,75111,32000,EZ,reguler
179,JNE,22111,20111,10000,REG19,reguler
180,JNE,94974,94111,28000,REG19,reguler
181,JNE,94974,94111,28000,REG19,reguler
182,J&T Express,73911,78873,96000,EZ,reguler
183,JNE,22111,20811,15000,REG19,reguler
184,JNE,31654,35592,36000,OKE19,reguler
185,JNE,94974,94561,35000,REG19,reguler
186,J&T Express,31654,30911,16000,EZ,reguler
187,JNE,31654,28383,39000,OKE19,reguler
188,ID Express,94974,95511,53000,iDSTD,reguler
189,J&T Express,22111,26566,42000,EZ,reguler
190,ID Express,94974,91211,32000,iDSTD,reguler
191,J&T Express,31654,30911,16000,EZ,reguler
192,J&T Express,31654,29427,34000,EZ,reguler
193,JNE,31654,37162,39000,OKE19,reguler
