No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,nameKelurahan,namaKecamatan,namaKota,provinceName
200,Kota Bandung,40135,-6.1341,106.8325,40182,Ciroyom,Andir,Bandung Kota,Jawa Barat
201,Kota Bandung,40135,-6.1341,106.8325,40293,Cisaranten Endah,Arcamanik,Bandung Kota,Jawa Barat
202,Kota Bandung,40135,-6.1341,106.8325,40241,Cibadak,Astana Anyar,Bandung Kota,Jawa Barat
203,Kota Bandung,40135,-6.1341,106.8325,40224,Margahayu Utara,Babakan Ciparay,Bandung Kota,Jawa Barat
204,Kota Bandung,40135,-6.1341,106.8325,40256,Wates,Bandung Kidul,Bandung Kota,Jawa Barat
205,Kota Bandung,40135,-6.1341,106.8325,40211,Warung Muncang,Bandung Kulon,Bandung Kota,Jawa Barat
206,Kota Bandung,40135,-6.1341,106.8325,40116,Tamansari,Bandung Wetan,Bandung Kota,Jawa Barat
207,Kota Bandung,40135,-6.1341,106.8325,40272,Kebonwaru,Batununggal,Bandung Kota,Jawa Barat
208,Kota Bandung,40135,-6.1341,106.8325,40231,Suka Asih,Bojongloa Kaler,Bandung Kota,Jawa Barat
209,Kota Bandung,40135,-6.1341,106.8325,40236,Cibaduyut,Bojongloa Kidul,Bandung Kota,Jawa Barat
210,Kota Bandung,40135,-6.1341,106.8325,40286,Sekejati,Buahbatu (Margacinta),Bandung Kota,Jawa Barat
211,Kota Bandung,40135,-6.1341,106.8325,40124,Neglasari,Cibeunying Kaler,Bandung Kota,Jawa Barat
212,Kota Bandung,40135,-6.1341,106.8325,40121,Sukamaju,Cibeunying Kidul,Bandung Kota,Jawa Barat
213,Kota Bandung,40135,-6.1341,106.8325,40615,Palasari,Cibiru,Bandung Kota,Jawa Barat
214,Kota Bandung,40135,-6.1341,106.8325,40173,Pajajaran,Cicendo,Bandung Kota,Jawa Barat
215,Kota Bandung,40135,-6.1341,106.8325,40294,Cisaranten Wetan,Cinambo,Bandung Kota,Jawa Barat
216,Kota Bandung,40135,-6.1341,106.8325,40134,Sekeloa,Coblong,Bandung Kota,Jawa Barat
217,Kota Bandung,40135,-6.1341,106.8325,40294,Cimenerang (Cimincrang),Gedebage,Bandung Kota,Jawa Barat
218,Kota Bandung,40135,-6.1341,106.8325,40284,Kebon Kangkung,Kiaracondong,Bandung Kota,Jawa Barat
219,Kota Bandung,40135,-6.1341,106.8325,40195,Jatihandap,Mandalajati,Bandung Kota,Jawa Barat
220,Kota Bandung,40135,-6.1341,106.8325,40614,Cipadung Wetan,Panyileukan,Bandung Kota,Jawa Barat
221,Kota Bandung,40135,-6.1341,106.8325,40292,Mekar Mulya (Mekarjaya),Rancasari,Bandung Kota,Jawa Barat
222,Kota Bandung,40135,-6.1341,106.8325,40254,Pasirluyu,Regol,Bandung Kota,Jawa Barat
223,Kota Bandung,40135,-6.1341,106.8325,40164,Sukawarna,Sukajadi,Bandung Kota,Jawa Barat
224,Kota Bandung,40135,-6.1341,106.8325,40113,Merdeka,Sumur Bandung,Bandung Kota,Jawa Barat
225,Kota Bandung,40135,-6.1341,106.8325,40616,Pasirjati,Ujung Berung,Bandung Kota,Jawa Barat
226,Kota Bandung,40135,-6.1341,106.8325,40142,Ciumbuleuit,Cidadap,Bandung Kota,Jawa Barat
227,Kota Bandung,40135,-6.1341,106.8325,40151,Sarijadi,Sukasari,Bandung Kota,Jawa Barat
228,Kota Bandung,40135,-6.1341,106.8325,40291,Antapani Kulon,Antapani,Bandung Kota,Jawa Barat
