No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,nameKelurahan,namaKecamatan,namaKota,provinceName
1,Kota Bandung,40135,-6.1341,106.8325,42417,Bendungan,Cilegon,Cilegon,Banten
2,Kota Bandung,40135,-6.1341,106.8325,42443,Samangraya,Citangkil,Cilegon,Banten
3,Kota Bandung,40135,-6.1341,106.8325,42445,Kubangsari,Ciwandan,Cilegon,Banten
4,Kota Bandung,40135,-6.1341,106.8325,42436,Rawa Arum,Gerogol,Cilegon,Banten
5,Kota Bandung,40135,-6.1341,106.8325,42439,Suralaya,Pulomerak,Cilegon,Banten
6,Kota Bandung,40135,-6.1341,106.8325,42431,Ramanuju,Purwakarta,Cilegon,Banten
7,Kota Bandung,40135,-6.1341,106.8325,42413,Gedong Dalem,Jombang,Cilegon,Banten
8,Kota Bandung,40135,-6.1341,106.8325,42427,Cikerai,Cibeber,Cilegon,Banten
9,Kota Bandung,40135,-6.1341,106.8325,42393,Bayah Barat,Bayah,Lebak,Banten
10,Kota Bandung,40135,-6.1341,106.8325,42363,Bojongmanik,Bojongmanik,Lebak,Banten
11,Kota Bandung,40135,-6.1341,106.8325,42395,Cikadongdong,Cigemblong,Lebak,Banten
12,Kota Bandung,40135,-6.1341,106.8325,42392,Barunai,Cihara,Lebak,Banten
13,Kota Bandung,40135,-6.1341,106.8325,42395,Ciapus,Cijaku,Lebak,Banten
14,Kota Bandung,40135,-6.1341,106.8325,42356,Anggalan,Cikulur,Lebak,Banten
15,Kota Bandung,40135,-6.1341,106.8325,42353,Banjarsari,Cileles,Lebak,Banten
16,Kota Bandung,40135,-6.1341,106.8325,42393,Cibareno,Cilograng,Lebak,Banten
17,Kota Bandung,40135,-6.1341,106.8325,42361,Cimarga,Cimarga,Lebak,Banten
18,Kota Bandung,40135,-6.1341,106.8325,42363,Badur,Cirinten,Lebak,Banten
19,Kota Bandung,40135,-6.1341,106.8325,42381,Cilayang,Curugbitung,Lebak,Banten
20,Kota Bandung,40135,-6.1341,106.8325,42354,Tanjungsari Indah,Gunung Kencana,Lebak,Banten
21,Kota Bandung,40135,-6.1341,106.8325,42312,Aweh,Kalanganyar,Lebak,Banten
22,Kota Bandung,40135,-6.1341,106.8325,42355,Banjarsari,Lebakgedong,Lebak,Banten
23,Kota Bandung,40135,-6.1341,106.8325,42362,Cibungur,Leuwidamar,Lebak,Banten
24,Kota Bandung,40135,-6.1341,106.8325,42391,Bolang,Malingping,Lebak,Banten
25,Kota Bandung,40135,-6.1341,106.8325,42364,Cikarang,Muncang,Lebak,Banten
26,Kota Bandung,40135,-6.1341,106.8325,42392,Cibarengkok,Panggarangan,Lebak,Banten
27,Kota Bandung,40135,-6.1341,106.8325,42317,Cijoro Lebak,Rangkasbitung,Lebak,Banten
28,Kota Bandung,40135,-6.1341,106.8325,42371,Calungbungur,Sajira,Lebak,Banten
29,Kota Bandung,40135,-6.1341,106.8325,42396,Bejod,Wanasalam,Lebak,Banten
30,Kota Bandung,40135,-6.1341,106.8325,42352,Banjarsari,Warunggunung,Lebak,Banten
31,Kota Bandung,40135,-6.1341,106.8325,42394,Cibeber,Cibeber,Lebak,Banten
32,Kota Bandung,40135,-6.1341,106.8325,42372,Bintangresmi,Cipanas,Lebak,Banten
33,Kota Bandung,40135,-6.1341,106.8325,42381,Binong,Maja,Lebak,Banten
34,Kota Bandung,40135,-6.1341,106.8325,42357,Asem,Cibadak,Lebak,Banten
35,Kota Bandung,40135,-6.1341,106.8325,42355,Bendungan,Banjarsari,Lebak,Banten
36,Kota Bandung,40135,-6.1341,106.8325,42318,Ciparasi,Sobang,Lebak,Banten
37,Kota Bandung,40135,-6.1341,106.8325,42281,Bojen,Sobang,Pandeglang,Banten
38,Kota Bandung,40135,-6.1341,106.8325,42251,Cadasari,Cadasari,Pandeglang,Banten
39,Kota Bandung,40135,-6.1341,106.8325,42264,Banjarmasin,Carita,Pandeglang,Banten
40,Kota Bandung,40135,-6.1341,106.8325,42285,Cibaliung,Cibaliung,Pandeglang,Banten
41,Kota Bandung,40135,-6.1341,106.8325,42282,Banyuasih,Cigeulis,Pandeglang,Banten
42,Kota Bandung,40135,-6.1341,106.8325,42271,Tegal,Cikeudal (Cikedal),Pandeglang,Banten
43,Kota Bandung,40135,-6.1341,106.8325,42286,Cikadongdong,Cikeusik,Pandeglang,Banten
44,Kota Bandung,40135,-6.1341,106.8325,42271,Batubantar,Cimanuk,Pandeglang,Banten
45,Kota Bandung,40135,-6.1341,106.8325,42272,Baturanjang,Cipeucang,Pandeglang,Banten
46,Kota Bandung,40135,-6.1341,106.8325,42273,Cisereh,Cisata,Pandeglang,Banten
47,Kota Bandung,40135,-6.1341,106.8325,42263,Babadsari,Jiput,Pandeglang,Banten
48,Kota Bandung,40135,-6.1341,106.8325,42253,Banjarsari,Kaduhejo,Pandeglang,Banten
49,Kota Bandung,40135,-6.1341,106.8325,42251,Cigadung,Karang Tanjung,Pandeglang,Banten
50,Kota Bandung,40135,-6.1341,106.8325,42251,Awilega,Koroncong,Pandeglang,Banten
51,Kota Bandung,40135,-6.1341,106.8325,42214,Cilaja,Majasari,Pandeglang,Banten
52,Kota Bandung,40135,-6.1341,106.8325,42261,Cikoneng,Mandalawangi,Pandeglang,Banten
53,Kota Bandung,40135,-6.1341,106.8325,42271,Kadubelang,Mekarjaya,Pandeglang,Banten
54,Kota Bandung,40135,-6.1341,106.8325,42262,Alaswangi,Menes,Pandeglang,Banten
55,Kota Bandung,40135,-6.1341,106.8325,42276,Cibitung,Munjul,Pandeglang,Banten
56,Kota Bandung,40135,-6.1341,106.8325,42219,Babakan Kalanganyar,Pandeglang,Pandeglang,Banten
57,Kota Bandung,40135,-6.1341,106.8325,42281,Mekarsari,Panimbang,Pandeglang,Banten
58,Kota Bandung,40135,-6.1341,106.8325,42265,Babakankeusik,Patia,Pandeglang,Banten
59,Kota Bandung,40135,-6.1341,106.8325,42275,Bungurcopong,Picung,Pandeglang,Banten
60,Kota Bandung,40135,-6.1341,106.8325,42273,Ciandur,Saketi,Pandeglang,Banten
61,Kota Bandung,40135,-6.1341,106.8325,42276,Bojongmanik,Sindangresmi,Pandeglang,Banten
62,Kota Bandung,40135,-6.1341,106.8325,42283,Cigorondong,Sumur,Pandeglang,Banten
63,Kota Bandung,40135,-6.1341,106.8325,42265,Cibungur,Sukaresmi,Pandeglang,Banten
64,Kota Bandung,40135,-6.1341,106.8325,42284,Batuhideung,Cimanggu,Pandeglang,Banten
65,Kota Bandung,40135,-6.1341,106.8325,42265,Bama,Pagelaran,Pandeglang,Banten
66,Kota Bandung,40135,-6.1341,106.8325,42264,Banyubiru,Labuan,Pandeglang,Banten
67,Kota Bandung,40135,-6.1341,106.8325,42277,Angsana,Angsana,Pandeglang,Banten
68,Kota Bandung,40135,-6.1341,106.8325,42252,Bandung,Banjar,Pandeglang,Banten
69,Kota Bandung,40135,-6.1341,106.8325,42274,Banyumas,Bojong,Pandeglang,Banten
70,Kota Bandung,40135,-6.1341,106.8325,42285,Cikadu,Cibitung,Pandeglang,Banten
71,Kota Bandung,40135,-6.1341,106.8325,42273,Banjarnegara,Pulosari,Pandeglang,Banten
72,Kota Bandung,40135,-6.1341,106.8325,42123,Banjarsari,Cipocok Jaya,Serang,Banten
73,Kota Bandung,40135,-6.1341,106.8325,42171,Curugmanis,Curug,Serang,Banten
74,Kota Bandung,40135,-6.1341,106.8325,42191,Kasunyatan,Kasemen,Serang,Banten
75,Kota Bandung,40135,-6.1341,106.8325,42115,Lontarbaru,Serang,Serang,Banten
76,Kota Bandung,40135,-6.1341,106.8325,42162,Taktakan,Taktakan,Serang,Banten
77,Kota Bandung,40135,-6.1341,106.8325,42183,Pageragung,Walantaka,Serang,Banten
78,Kota Bandung,40135,-6.1341,106.8325,15122,Poris Gaga,Batuceper,Tangerang,Banten
79,Kota Bandung,40135,-6.1341,106.8325,15125,Benda,Benda,Tangerang,Banten
80,Kota Bandung,40135,-6.1341,106.8325,15138,Cibodas Baru,Cibodas,Tangerang,Banten
81,Kota Bandung,40135,-6.1341,106.8325,15147,Petir,Cipondoh,Tangerang,Banten
