No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,namaKota,provinceName
1,Tangerang,15415,-6.1341,106.8325,33214,Kabupaten Bangka,Bangka Belitung
2,Tangerang,15415,-6.1341,106.8325,33312,Kabupaten Bangka Barat,Bangka Belitung
3,Tangerang,15415,-6.1341,106.8325,33783,Kabupaten Bangka Selatan,Bangka Belitung
4,Tangerang,15415,-6.1341,106.8325,33684,Kabupaten Bangka Tengah,Bangka Belitung
5,Tangerang,15415,-6.1341,106.8325,33411,Kabupaten Belitung,Bangka Belitung
6,Tangerang,15415,-6.1341,106.8325,33511,Kabupaten Belitung Timur,Bangka Belitung
7,Tangerang,15415,-6.1341,106.8325,33123,Kota Pangkal Pinang,Bangka Belitung
8,Tangerang,15415,-6.1341,106.8325,38118,Kota Bengkulu,Bengkulu
9,Tangerang,15415,-6.1341,106.8325,38571,Kabupaten Bengkulu Selatan,Bengkulu
10,Tangerang,15415,-6.1341,106.8325,38375,Kabupaten Bengkulu Tengah,Bengkulu
11,Tangerang,15415,-6.1341,106.8325,38612,Kabupaten Bengkulu Utara,Bengkulu
12,Tangerang,15415,-6.1341,106.8325,38956,Kabupaten Kaur,Bengkulu
13,Tangerang,15415,-6.1341,106.8325,39112,Kabupaten Kepahiang,Bengkulu
14,Tangerang,15415,-6.1341,106.8325,39265,Kabupaten Lebong,Bengkulu
15,Tangerang,15415,-6.1341,106.8325,38711,Kabupaten Muko Muko,Bengkulu
16,Tangerang,15415,-6.1341,106.8325,39115,Kabupaten Rejang Lebong,Bengkulu
17,Tangerang,15415,-6.1341,106.8325,38878,Kabupaten Seluma,Bengkulu
18,Tangerang,15415,-6.1341,106.8325,36611,Kabupaten Batang Hari,Jambi
19,Tangerang,15415,-6.1341,106.8325,37211,Kabupaten Bungo,Jambi
20,Tangerang,15415,-6.1341,106.8325,36128,Kota Jambi,Jambi
21,Tangerang,15415,-6.1341,106.8325,37162,Kabupaten Kerinci,Jambi
22,Tangerang,15415,-6.1341,106.8325,37311,Kabupaten Merangin,Jambi
23,Tangerang,15415,-6.1341,106.8325,36364,Kabupaten Muaro Jambi,Jambi
24,Tangerang,15415,-6.1341,106.8325,37481,Kabupaten Sarolangun,Jambi
25,Tangerang,15415,-6.1341,106.8325,37111,Kota Sungaipenuh,Jambi
26,Tangerang,15415,-6.1341,106.8325,36514,Kabupaten Tanjung Jabung Barat,Jambi
27,Tangerang,15415,-6.1341,106.8325,36514,Kabupaten Tanjung Jabung Timur,Jambi
28,Tangerang,15415,-6.1341,106.8325,37571,Kabupaten Tebo,Jambi
29,Tangerang,15415,-6.1341,106.8325,29427,Kota Batam,Kepulauan Riau
30,Tangerang,15415,-6.1341,106.8325,29111,Kabupaten Bintan,Kepulauan Riau
31,Tangerang,15415,-6.1341,106.8325,29662,Kabupaten Karimun,Kepulauan Riau
32,Tangerang,15415,-6.1341,106.8325,29792,Kabupaten Kepulauan Anambas,Kepulauan Riau
33,Tangerang,15415,-6.1341,106.8325,29875,Kabupaten Lingga,Kepulauan Riau
34,Tangerang,15415,-6.1341,106.8325,29783,Kabupaten Natuna,Kepulauan Riau
35,Tangerang,15415,-6.1341,106.8325,29111,Kota Tanjung Pinang,Kepulauan Riau
36,Tangerang,15415,-6.1341,106.8325,35111,Kota Bandar Lampung,Lampung
37,Tangerang,15415,-6.1341,106.8325,34811,Kabupaten Lampung Barat,Lampung
38,Tangerang,15415,-6.1341,106.8325,35592,Kabupaten Lampung Selatan,Lampung
