No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Palembang,30111,-2.987319,104.736009,32184,-3.60614,103.975773
2,Palembang,30111,-2.987319,104.736009,29111,0.903739,104.520442
3,Surabaya,60191,-7.2575,112.7521,94111,-0.883391,119.481491
4,Palembang,30111,-2.987319,104.736009,31654,-2.372244,103.030468
5,Medan,20111,3.595196,98.672222,24111,5.150908,95.980123
6,Medan,20111,3.595196,98.672222,24511,4.634051,96.916392
7,Medan,20111,3.595196,98.672222,28411,0.291466,101.143107
8,Medan,20111,3.595196,98.672222,28411,0.291466,101.143107
9,Medan,20111,3.595196,98.672222,24413,4.676605,97.90675
10,Medan,20111,3.595196,98.672222,28411,0.291466,101.143107
11,Medan,20111,3.595196,98.672222,28711,1.488894,102.264307
12,Surabaya,60191,-7.2575,112.7521,71419,-2.286212,115.213917
13,Palembang,30111,-2.987319,104.736009,31214,-4.031489,103.097979
14,Medan,20111,3.595196,98.672222,24416,4.487456,97.960922
15,Medan,20111,3.595196,98.672222,28111,0.534482,101.447679
16,Surabaya,60191,-7.2575,112.7521,94971,0.900303,121.677543
17,Surabaya,60191,-7.2575,112.7521,93881,-5.507226,122.786954
18,Medan,20111,3.595196,98.672222,24413,4.676605,97.90675
19,Surabaya,60191,-7.2575,112.7521,90111,-5.147665,119.432731
20,Surabaya,60191,-7.2575,112.7521,95953,1.070894,124.813615
21,Surabaya,60191,-7.2575,112.7521,73513,-3.196033,114.390253
22,Palembang,30111,-2.987319,104.736009,27411,-0.687642,100.783294
23,Palembang,30111,-2.987319,104.736009,29111,0.903739,104.520442
24,Medan,20111,3.595196,98.672222,22392,2.584514,98.863784
25,Palembang,30111,-2.987319,104.736009,29427,1.045626,104.030454
26,Palembang,30111,-2.987319,104.736009,27511,-0.679012,101.253522
27,Palembang,30111,-2.987319,104.736009,79513,0.004029,110.939268
28,Palembang,30111,-2.987319,104.736009,29511,-0.45251,101.45289
29,Palembang,30111,-2.987319,104.736009,79465,1.403274,109.325107
30,Palembang,30111,-2.987319,104.736009,30655,-3.446607,104.488097
31,Palembang,30111,-2.987319,104.736009,37111,-2.062179,101.387452
32,Surabaya,60191,-7.2575,112.7521,92917,-2.382177,119.944564
33,Palembang,30111,-2.987319,104.736009,34684,-4.003371,105.39169
34,Surabaya,60191,-7.2575,112.7521,93753,-5.137606,122.956079
35,Palembang,30111,-2.987319,104.736009,79465,1.403274,109.325107
36,Surabaya,60191,-7.2575,112.7521,76143,-1.180361,116.441559
37,Medan,20111,3.595196,98.672222,21211,2.766106,99.047137
38,Palembang,30111,-2.987319,104.736009,38956,-4.280434,103.446144
