No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Surabaya,60191,-7.2575,112.7521,74161,-2.271321,111.258358
2,Palembang,30111,-2.987319,104.736009,25673,-1.301821,100.211183
3,Surabaya,60191,-7.2575,112.7521,93411,-4.166719,122.2521
4,Medan,20111,3.595196,98.672222,28763,0.759398,101.923919
5,Palembang,30111,-2.987319,104.736009,31311,-3.549068,103.85882
6,Palembang,30111,-2.987319,104.736009,29111,0.903739,104.520442
7,Surabaya,60191,-7.2575,112.7521,92711,-4.826803,120.052518
8,Palembang,30111,-2.987319,104.736009,34157,-4.884785,105.198391
9,Medan,20111,3.595196,98.672222,20511,3.480805,98.664792
10,Medan,20111,3.595196,98.672222,20995,3.432974,99.112736
11,Jakarta Utara,14440,-6.1341,106.8325,34194,-5.118196,105.708374
12,Palembang,30111,-2.987319,104.736009,34157,-4.884785,105.198391
13,Palembang,30111,-2.987319,104.736009,31661,-2.77162,103.008349
14,Palembang,30111,-2.987319,104.736009,30611,-3.446469,104.618896
15,Palembang,30111,-2.987319,104.736009,31411,-3.798075,103.516954
16,Palembang,30111,-2.987319,104.736009,30111,-2.987319,104.736009
17,Jakarta Utara,14440,-6.1341,106.8325,35611,-5.351673,104.751878
18,Surabaya,60191,-7.2575,112.7521,95231,1.493416,124.841685
19,Surabaya,60191,-7.2575,112.7521,75511,-0.214494,116.959885
20,Medan,20111,3.595196,98.672222,24184,5.224226,96.156036
21,Surabaya,60191,-7.2575,112.7521,94356,-0.423099,119.841901
22,Medan,20111,3.595196,98.672222,20811,3.792181,98.385996
23,Medan,20111,3.595196,98.672222,28811,1.678102,101.449121
24,Surabaya,60191,-7.2575,112.7521,94711,-1.71458,123.250741
25,Medan,20111,3.595196,98.672222,24261,5.16914,96.789803
26,Palembang,30111,-2.987319,104.736009,30655,-3.446607,104.488097
27,Medan,20111,3.595196,98.672222,21455,2.358065,100.354073
28,Medan,20111,3.595196,98.672222,28557,0.881609,100.655658
29,Medan,20111,3.595196,98.672222,20111,3.595196,98.672222
30,Surabaya,60191,-7.2575,112.7521,90711,-4.231866,119.672071
31,Surabaya,60191,-7.2575,112.7521,92111,-5.370028,119.689257
32,Palembang,30111,-2.987319,104.736009,34611,-4.522042,105.205173
33,Palembang,30111,-2.987319,104.736009,33214,-2.741174,106.440587
34,Palembang,30111,-2.987319,104.736009,79513,0.004029,110.939268
35,Surabaya,60191,-7.2575,112.7521,90611,-4.836786,119.551274
36,Medan,20111,3.595196,98.672222,20511,3.480805,98.664792
37,Palembang,30111,-2.987319,104.736009,34877,-2.651421,101.132202
38,Jakarta Utara,14440,-6.1341,106.8325,35111,-5.427139,105.257972
39,Medan,20111,3.595196,98.672222,23242,5.54829,95.323755
40,Surabaya,60191,-7.2575,112.7521,96112,0.54854,123.070209
41,Surabaya,60191,-7.2575,112.7521,91121,-4.016054,119.620803
42,Palembang,30111,-2.987319,104.736009,36611,-1.338478,103.649899
43,Jakarta Utara,14440,-6.1341,106.8325,34194,-5.118196,105.708374
44,Medan,20111,3.595196,98.672222,20511,3.480805,98.664792
45,Surabaya,60191,-7.2575,112.7521,93771,-4.133168,122.518497
46,Palembang,30111,-2.987319,104.736009,37311,-2.34895,102.126105
47,Medan,20111,3.595196,98.672222,28411,0.291466,101.143107
48,Palembang,30111,-2.987319,104.736009,78243,-0.099983,109.330533
49,Medan,20111,3.595196,98.672222,21464,1.978433,100.095751
50,Palembang,30111,-2.987319,104.736009,31411,-3.798075,103.516954
51,Palembang,30111,-2.987319,104.736009,29111,1.138098,104.429359
52,Palembang,30111,-2.987319,104.736009,30655,-3.446607,104.488097
53,Medan,20111,3.595196,98.672222,20511,3.480805,98.664792
54,Medan,20111,3.595196,98.672222,21255,3.287994,99.507255
55,Surabaya,60191,-7.2575,112.7521,93571,-3.493091,122.805502
56,Palembang,30111,-2.987319,104.736009,27411,-0.687642,100.783294
57,Palembang,30111,-2.987319,104.736009,36364,-1.602238,103.610513
58,Palembang,30111,-2.987319,104.736009,33411,-2.741736,107.625053
59,Surabaya,60191,-7.2575,112.7521,94561,0.53997,119.710356
60,Medan,20111,3.595196,98.672222,24416,4.487456,97.960922
61,Medan,20111,3.595196,98.672222,20111,3.595196,98.672222
62,Palembang,30111,-2.987319,104.736009,37162,-2.04188,101.986481
63,Palembang,30111,-2.987319,104.736009,36128,-1.610122,103.613122
64,Medan,20111,3.595196,98.672222,21161,2.971524,99.000226
65,Medan,20111,3.595196,98.672222,20511,3.480805,98.664792
66,Surabaya,60191,-7.2575,112.7521,70117,-3.320299,114.591866
67,Surabaya,60191,-7.2575,112.7521,77211,2.890445,117.986957
68,Palembang,30111,-2.987319,104.736009,78391,0.906239,109.188004
69,Palembang,30111,-2.987319,104.736009,31654,-2.372244,103.030468
70,Palembang,30111,-2.987319,104.736009,29427,1.045626,104.030454
71,Surabaya,60191,-7.2575,112.7521,94111,-0.883391,119.481491
72,Palembang,30111,-2.987319,104.736009,33783,-3.084776,106.109833
73,Palembang,30111,-2.987319,104.736009,38375,-3.792366,102.277413
74,Palembang,30111,-2.987319,104.736009,31654,-2.372244,103.030468
75,Medan,20111,3.595196,98.672222,28811,1.678102,101.449121
76,Surabaya,60191,-7.2575,112.7521,75311,0.12296,117.471188
77,Surabaya,60191,-7.2575,112.7521,96362,0.648322,122.494283
78,Medan,20111,3.595196,98.672222,28711,1.488894,102.264307
79,Surabaya,60191,-7.2575,112.7521,75511,-0.214494,116.959885
80,Palembang,30111,-2.987319,104.736009,32156,-4.002411,103.873268
81,Palembang,30111,-2.987319,104.736009,33312,-1.997875,105.222326
82,Medan,20111,3.595196,98.672222,21161,2.971524,99.000226
83,Surabaya,60191,-7.2575,112.7521,73881,-0.889685,115.137965
84,Surabaya,60191,-7.2575,112.7521,95811,3.645085,125.615066
85,Surabaya,60191,-7.2575,112.7521,95611,1.195111,124.954394
86,Palembang,30111,-2.987319,104.736009,78611,0.06395,111.492913
87,Surabaya,60191,-7.2575,112.7521,94356,-0.423099,119.841901
88,Surabaya,60191,-7.2575,112.7521,72211,-3.448552,115.61463
89,Surabaya,60191,-7.2575,112.7521,74511,-2.464237,112.862867
90,Medan,20111,3.595196,98.672222,22874,0.760118,97.702262
91,Surabaya,60191,-7.2575,112.7521,95611,1.195111,124.954394
92,Surabaya,60191,-7.2575,112.7521,70611,-3.47219,114.8638
93,Medan,20111,3.595196,98.672222,20111,3.595196,98.672222
