No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Surabaya,60191,-7.2575,112.7521,74161,-2.271321,111.258358
2,Jakarta Utara,14440,-6.1341,106.8325,25673,-1.301821,100.211183
3,Surabaya,60191,-7.2575,112.7521,93411,-4.166719,122.2521
4,Jakarta Utara,14440,-6.1341,106.8325,28763,0.759398,101.923919
5,Jakarta Utara,14440,-6.1341,106.8325,31311,-3.549068,103.85882
6,Jakarta Utara,14440,-6.1341,106.8325,29111,0.903739,104.520442
7,Surabaya,60191,-7.2575,112.7521,92711,-4.826803,120.052518
8,Jakarta Utara,14440,-6.1341,106.8325,34157,-4.884785,105.198391
9,Jakarta Utara,14440,-6.1341,106.8325,20511,3.480805,98.664792
10,Jakarta Utara,14440,-6.1341,106.8325,20995,3.432974,99.112736
11,Jakarta Utara,14440,-6.1341,106.8325,34194,-5.118196,105.708374
12,Jakarta Utara,14440,-6.1341,106.8325,34157,-4.884785,105.198391
13,Jakarta Utara,14440,-6.1341,106.8325,31661,-2.77162,103.008349
14,Jakarta Utara,14440,-6.1341,106.8325,30611,-3.446469,104.618896
15,Jakarta Utara,14440,-6.1341,106.8325,31411,-3.798075,103.516954
16,Jakarta Utara,14440,-6.1341,106.8325,30111,-2.987319,104.736009
17,Jakarta Utara,14440,-6.1341,106.8325,35611,-5.351673,104.751878
18,Surabaya,60191,-7.2575,112.7521,95231,1.493416,124.841685
19,Surabaya,60191,-7.2575,112.7521,75511,-0.214494,116.959885
20,Jakarta Utara,14440,-6.1341,106.8325,24184,5.224226,96.156036
21,Surabaya,60191,-7.2575,112.7521,94356,-0.423099,119.841901
22,Jakarta Utara,14440,-6.1341,106.8325,20811,3.792181,98.385996
23,Jakarta Utara,14440,-6.1341,106.8325,28811,1.678102,101.449121
24,Surabaya,60191,-7.2575,112.7521,94711,-1.71458,123.250741
25,Jakarta Utara,14440,-6.1341,106.8325,24261,5.16914,96.789803
26,Jakarta Utara,14440,-6.1341,106.8325,30655,-3.446607,104.488097
27,Jakarta Utara,14440,-6.1341,106.8325,21455,2.358065,100.354073
28,Jakarta Utara,14440,-6.1341,106.8325,28557,0.881609,100.655658
29,Jakarta Utara,14440,-6.1341,106.8325,20111,3.595196,98.672222
30,Surabaya,60191,-7.2575,112.7521,90711,-4.231866,119.672071
31,Surabaya,60191,-7.2575,112.7521,92111,-5.370028,119.689257
32,Jakarta Utara,14440,-6.1341,106.8325,34611,-4.522042,105.205173
33,Jakarta Utara,14440,-6.1341,106.8325,33214,-2.741174,106.440587
34,Jakarta Utara,14440,-6.1341,106.8325,79513,0.004029,110.939268
