No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Jakarta Utara,14440,-6.1341,106.8325,22911,0.847732,99.250065
2,Surabaya,60191,-7.2575,112.7521,96266,0.739309,121.991675
3,Surabaya,60191,-7.2575,112.7521,90511,-5.055282,119.630989
4,Jakarta Utara,14440,-6.1341,106.8325,36514,-1.25072,103.38945
5,Surabaya,60191,-7.2575,112.7521,91911,-2.978439,120.091282
6,Jakarta Utara,14440,-6.1341,106.8325,20511,3.480805,98.664792
7,Surabaya,60191,-7.2575,112.7521,96112,0.54854,123.070209
8,Jakarta Utara,14440,-6.1341,106.8325,28911,1.950618,100.825648
9,Surabaya,60191,-7.2575,112.7521,74172,-2.600499,111.220706
10,Jakarta Utara,14440,-6.1341,106.8325,34111,-5.113594,105.305088
11,Jakarta Utara,14440,-6.1341,106.8325,24311,4.981445,97.438202
12,Jakarta Utara,14440,-6.1341,106.8325,22611,1.815388,98.883182
13,Jakarta Utara,14440,-6.1341,106.8325,35111,-5.427139,105.257972
14,Jakarta Utara,14440,-6.1341,106.8325,79465,1.403274,109.325107
15,Surabaya,60191,-7.2575,112.7521,92412,-5.516169,119.931403
16,Jakarta Utara,14440,-6.1341,106.8325,20111,3.595196,98.672222
17,Surabaya,60191,-7.2575,112.7521,96112,0.54854,123.070209
18,Jakarta Utara,14440,-6.1341,106.8325,39112,-3.662338,102.524653
19,Jakarta Utara,14440,-6.1341,106.8325,28755,0.936412,102.700215
20,Jakarta Utara,14440,-6.1341,106.8325,24352,5.186948,97.133471
21,Jakarta Utara,14440,-6.1341,106.8325,28811,1.678102,101.449121
22,Jakarta Utara,14440,-6.1341,106.8325,21211,2.766106,99.047137
23,Jakarta Utara,14440,-6.1341,106.8325,30611,-3.446469,104.618896
24,Jakarta Utara,14440,-6.1341,106.8325,20511,3.480805,98.664792
25,Surabaya,60191,-7.2575,112.7521,76111,-1.267638,116.827905
26,Surabaya,60191,-7.2575,112.7521,94561,0.53997,119.710356
27,Jakarta Utara,14440,-6.1341,106.8325,78557,0.13477,110.592349
28,Jakarta Utara,14440,-6.1341,106.8325,30655,-3.446607,104.488097
29,Surabaya,60191,-7.2575,112.7521,90111,-5.147665,119.432731
30,Surabaya,60191,-7.2575,112.7521,91512,-2.573133,119.363607
31,Surabaya,60191,-7.2575,112.7521,78611,0.06395,111.492913
32,Jakarta Utara,14440,-6.1341,106.8325,20111,3.595196,98.672222
33,Jakarta Utara,14440,-6.1341,106.8325,36128,-1.610122,103.613122
34,Jakarta Utara,14440,-6.1341,106.8325,22611,1.815388,98.883182
35,Surabaya,60191,-7.2575,112.7521,74261,-2.552164,112.581647
36,Surabaya,60191,-7.2575,112.7521,93711,-5.469289,122.604655
37,Surabaya,60191,-7.2575,112.7521,91371,-2.989799,119.345682
38,Jakarta Utara,14440,-6.1341,106.8325,28111,0.534482,101.447679
39,Surabaya,60191,-7.2575,112.7521,75111,-0.502106,117.153709
40,Jakarta Utara,14440,-6.1341,106.8325,28411,0.291466,101.143107
41,Jakarta Utara,14440,-6.1341,106.8325,37571,-1.578579,102.349139
42,Jakarta Utara,14440,-6.1341,106.8325,37311,-2.34895,102.126105
43,Jakarta Utara,14440,-6.1341,106.8325,22111,3.028802,98.277303
44,Jakarta Utara,14440,-6.1341,106.8325,24476,4.065084,97.967821
45,Jakarta Utara,14440,-6.1341,106.8325,25111,-0.939989,100.35412
46,Surabaya,60191,-7.2575,112.7521,75511,-0.214494,116.959885
47,Surabaya,60191,-7.2575,112.7521,90111,-5.147665,119.432731
48,Jakarta Utara,14440,-6.1341,106.8325,32184,-3.60614,103.975773
49,Jakarta Utara,14440,-6.1341,106.8325,37211,-1.346301,101.842768
50,Jakarta Utara,14440,-6.1341,106.8325,22711,1.454282,99.246087
51,Jakarta Utara,14440,-6.1341,106.8325,26566,-0.356482,99.872362
52,Jakarta Utara,14440,-6.1341,106.8325,34684,-4.003371,105.39169
53,Jakarta Utara,14440,-6.1341,106.8325,31511,-3.730898,102.78492
54,Jakarta Utara,14440,-6.1341,106.8325,35376,-5.364748,104.972015
55,Jakarta Utara,14440,-6.1341,106.8325,29427,1.045626,104.030454
56,Jakarta Utara,14440,-6.1341,106.8325,22211,2.932329,98.132973
57,Surabaya,60191,-7.2575,112.7521,96112,0.54854,123.070209
58,Jakarta Utara,14440,-6.1341,106.8325,78243,-0.099983,109.330533
59,Jakarta Utara,14440,-6.1341,106.8325,20111,3.595196,98.672222
60,Jakarta Utara,14440,-6.1341,106.8325,79465,1.403274,109.325107
61,Surabaya,60191,-7.2575,112.7521,90511,-5.055282,119.630989
62,Surabaya,60191,-7.2575,112.7521,92511,-5.425673,120.203804
63,Jakarta Utara,14440,-6.1341,106.8325,21255,3.287994,99.507255
64,Jakarta Utara,14440,-6.1341,106.8325,26566,-0.356482,99.872362
65,Jakarta Utara,14440,-6.1341,106.8325,24382,5.506105,95.36854
66,Jakarta Utara,14440,-6.1341,106.8325,27211,-0.453214,100.531948
67,Jakarta Utara,14440,-6.1341,106.8325,34877,-2.651421,101.132202
68,Jakarta Utara,14440,-6.1341,106.8325,35111,-5.427139,105.257972
69,Jakarta Utara,14440,-6.1341,106.8325,38878,-4.078363,103.738369
70,Jakarta Utara,14440,-6.1341,106.8325,39265,-3.053336,102.489627
71,Jakarta Utara,14440,-6.1341,106.8325,20811,3.792181,98.385996
