No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,32184,-3.60614,103.975773
2,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,35376,-5.364748,104.972015
3,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,28411,0.291466,101.143107
4,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,20111,3.595196,98.672222
5,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,94971,0.900303,121.677543
6,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,20111,3.595196,98.672222
7,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,23764,3.779372,97.609232
8,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,34764,-4.112872,104.488548
9,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,90111,-5.147665,119.432731
10,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,23891,2.602874,96.050869
11,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,35592,-5.51985,104.939981
12,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,20511,3.480805,98.664792
13,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91311,-3.281948,119.336006
14,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,75511,-0.214494,116.959885
15,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,24352,5.186948,97.133471
16,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91992,-2.811711,120.124027
17,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,22392,2.584514,98.863784
18,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,23681,4.393488,96.728292
19,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,20811,3.792181,98.385996
20,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,24111,5.150908,95.980123
21,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,31311,-3.549068,103.85882
22,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,76111,-1.267638,116.827905
23,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,33214,-2.741174,106.440587
24,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,34157,-4.884785,105.198391
25,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,31661,-2.77162,103.008349
26,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,92711,-4.826803,120.052518
27,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,90911,-3.783826,120.104919
28,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,30111,-2.987319,104.736009
29,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,20111,3.595196,98.672222
30,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,25511,-0.57461,100.148899
31,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,26311,0.148999,99.654716
32,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,92111,-5.370028,119.689257
33,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,94356,-0.423099,119.841901
34,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,26164,-0.254882,100.233707
35,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,30911,-2.434015,104.583599
36,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91361,-1.502777,119.655733
37,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,32184,-3.60614,103.975773
38,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,36514,-1.292884,103.879452
39,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,73112,-2.204763,113.924411
40,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91853,-2.958132,119.935797
41,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,30655,-3.446607,104.488097
42,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,79465,1.403274,109.325107
43,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,78113,-0.036714,109.338004
44,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,38571,-4.222318,103.012315
45,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,36514,-1.25072,103.38945
46,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,79111,0.90931,108.984931
47,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,29211,-0.170646,102.530555
48,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,28557,0.881609,100.655658
49,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,24261,5.16914,96.789803
50,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,24382,5.506105,95.36854
51,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,31511,-3.730898,102.78492
52,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,77211,2.890445,117.986957
53,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,36514,-1.25072,103.38945
54,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91911,-2.978439,120.091282
55,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,79465,1.403274,109.325107
56,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91992,-2.811711,120.124027
57,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,91211,-3.742875,119.520969
58,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,33511,-2.909958,108.160792
59,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,37311,-2.34895,102.126105
60,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,20111,3.595196,98.672222
61,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,73712,-1.967769,114.810215
62,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,34111,-5.113594,105.305088
63,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,92711,-4.826803,120.052518
64,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,21464,1.978433,100.095751
65,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,74363,-1.720654,111.361152
66,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,34157,-4.884785,105.198391
67,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,26311,0.148999,99.654716
68,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,21455,2.358065,100.354073
69,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,76143,-1.180361,116.441559
70,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,25392,-1.043182,99.31581
71,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,95881,4.109578,126.809313
72,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,73712,-1.967769,114.810215
73,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,21111,2.963409,99.060574
74,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,93811,-4.155098,122.583667
75,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,35111,-5.427139,105.257972
76,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,22742,-1.7854,99.100706
77,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,78852,-1.350377,110.436354
78,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,95411,1.327994,124.836267
79,Kabupaten Kuantan Singingi,78243,101.452890,109.330533,21311,2.961995,99.800549
