No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Bangka Barat,33312,-1.997875,105.222326,32184,-3.60614,103.975773
2,Bangka Barat,33312,-1.997875,105.222326,35376,-5.364748,104.972015
3,Tapanuli Tengah,22611,1.815388,98.883182,28411,0.291466,101.143107
4,Tapanuli Tengah,22611,1.815388,98.883182,20111,3.595196,98.672222
5,Pasangkayu,91361,-1.502777,119.655733,94971,0.900303,121.677543
6,Tapanuli Tengah,22611,1.815388,98.883182,20111,3.595196,98.672222
7,Tapanuli Tengah,22611,1.815388,98.883182,23764,3.779372,97.609232
8,Bangka Barat,33312,-1.997875,105.222326,34764,-4.112872,104.488548
9,Pasangkayu,91361,-1.502777,119.655733,90111,-5.147665,119.432731
10,Tapanuli Tengah,22611,1.815388,98.883182,23891,2.602874,96.050869
11,Bangka Barat,33312,-1.997875,105.222326,35592,-5.51985,104.939981
12,Tapanuli Tengah,22611,1.815388,98.883182,20511,3.480805,98.664792
13,Pasangkayu,91361,-1.502777,119.655733,91311,-3.281948,119.336006
14,Pasangkayu,91361,-1.502777,119.655733,75511,-0.214494,116.959885
15,Tapanuli Tengah,22611,1.815388,98.883182,24352,5.186948,97.133471
16,Pasangkayu,91361,-1.502777,119.655733,91992,-2.811711,120.124027
17,Tapanuli Tengah,22611,1.815388,98.883182,22392,2.584514,98.863784
18,Tapanuli Tengah,22611,1.815388,98.883182,23681,4.393488,96.728292
19,Tapanuli Tengah,22611,1.815388,98.883182,20811,3.792181,98.385996
20,Tapanuli Tengah,22611,1.815388,98.883182,24111,5.150908,95.980123
21,Bangka Barat,33312,-1.997875,105.222326,31311,-3.549068,103.85882
22,Pasangkayu,91361,-1.502777,119.655733,76111,-1.267638,116.827905
23,Bangka Barat,33312,-1.997875,105.222326,33214,-2.741174,106.440587
24,Bangka Barat,33312,-1.997875,105.222326,34157,-4.884785,105.198391
25,Bangka Barat,33312,-1.997875,105.222326,31661,-2.77162,103.008349
26,Pasangkayu,91361,-1.502777,119.655733,92711,-4.826803,120.052518
27,Pasangkayu,91361,-1.502777,119.655733,90911,-3.783826,120.104919
28,Bangka Barat,33312,-1.997875,105.222326,30111,-2.987319,104.736009
29,Tapanuli Tengah,22611,1.815388,98.883182,20111,3.595196,98.672222
30,Tapanuli Tengah,22611,1.815388,98.883182,25511,-0.57461,100.148899
31,Tapanuli Tengah,22611,1.815388,98.883182,26311,0.148999,99.654716
32,Pasangkayu,91361,-1.502777,119.655733,92111,-5.370028,119.689257
33,Pasangkayu,91361,-1.502777,119.655733,94356,-0.423099,119.841901
34,Tapanuli Tengah,22611,1.815388,98.883182,26164,-0.254882,100.233707
35,Bangka Barat,33312,-1.997875,105.222326,30911,-2.434015,104.583599
36,Pasangkayu,91361,-1.502777,119.655733,91361,-1.502777,119.655733
37,Bangka Barat,33312,-1.997875,105.222326,32184,-3.60614,103.975773
38,Bangka Barat,33312,-1.997875,105.222326,36514,-1.292884,103.879452
39,Pasangkayu,91361,-1.502777,119.655733,73112,-2.204763,113.924411
40,Pasangkayu,91361,-1.502777,119.655733,91853,-2.958132,119.935797
41,Bangka Barat,33312,-1.997875,105.222326,30655,-3.446607,104.488097
42,Bangka Barat,33312,-1.997875,105.222326,79465,1.403274,109.325107
43,Bangka Barat,33312,-1.997875,105.222326,78113,-0.036714,109.338004
44,Bangka Barat,33312,-1.997875,105.222326,38571,-4.222318,103.012315
45,Bangka Barat,33312,-1.997875,105.222326,36514,-1.25072,103.38945
46,Bangka Barat,33312,-1.997875,105.222326,79111,0.90931,108.984931
47,Bangka Barat,33312,-1.997875,105.222326,29211,-0.170646,102.530555
48,Tapanuli Tengah,22611,1.815388,98.883182,28557,0.881609,100.655658
49,Tapanuli Tengah,22611,1.815388,98.883182,24261,5.16914,96.789803
50,Tapanuli Tengah,22611,1.815388,98.883182,24382,5.506105,95.36854
51,Bangka Barat,33312,-1.997875,105.222326,31511,-3.730898,102.78492
52,Pasangkayu,91361,-1.502777,119.655733,77211,2.890445,117.986957
53,Bangka Barat,33312,-1.997875,105.222326,36514,-1.25072,103.38945
54,Pasangkayu,91361,-1.502777,119.655733,91911,-2.978439,120.091282
55,Bangka Barat,33312,-1.997875,105.222326,79465,1.403274,109.325107
56,Pasangkayu,91361,-1.502777,119.655733,91992,-2.811711,120.124027
57,Pasangkayu,91361,-1.502777,119.655733,91211,-3.742875,119.520969
58,Bangka Barat,33312,-1.997875,105.222326,33511,-2.909958,108.160792
59,Bangka Barat,33312,-1.997875,105.222326,37311,-2.34895,102.126105
60,Tapanuli Tengah,22611,1.815388,98.883182,20111,3.595196,98.672222
61,Pasangkayu,91361,-1.502777,119.655733,73712,-1.967769,114.810215
62,Bangka Barat,33312,-1.997875,105.222326,34111,-5.113594,105.305088
63,Pasangkayu,91361,-1.502777,119.655733,92711,-4.826803,120.052518
64,Tapanuli Tengah,22611,1.815388,98.883182,21464,1.978433,100.095751
65,Bangka Barat,33312,-1.997875,105.222326,74363,-1.720654,111.361152
66,Bangka Barat,33312,-1.997875,105.222326,34157,-4.884785,105.198391
67,Tapanuli Tengah,22611,1.815388,98.883182,26311,0.148999,99.654716
68,Tapanuli Tengah,22611,1.815388,98.883182,21455,2.358065,100.354073
69,Pasangkayu,91361,-1.502777,119.655733,76143,-1.180361,116.441559
70,Tapanuli Tengah,22611,1.815388,98.883182,25392,-1.043182,99.31581
71,Pasangkayu,91361,-1.502777,119.655733,95881,4.109578,126.809313
72,Pasangkayu,91361,-1.502777,119.655733,73712,-1.967769,114.810215
73,Tapanuli Tengah,22611,1.815388,98.883182,21111,2.963409,99.060574
74,Pasangkayu,91361,-1.502777,119.655733,93811,-4.155098,122.583667
75,Bangka Barat,33312,-1.997875,105.222326,35111,-5.427139,105.257972
76,Tapanuli Tengah,22611,1.815388,98.883182,22742,-1.7854,99.100706
77,Bangka Barat,33312,-1.997875,105.222326,78852,-1.350377,110.436354
78,Pasangkayu,91361,-1.502777,119.655733,95411,1.327994,124.836267
79,Tapanuli Tengah,22611,1.815388,98.883182,21311,2.961995,99.800549
80,Bangka Barat,33312,-1.997875,105.222326,28755,0.936412,102.700215
81,Bangka Barat,33312,-1.997875,105.222326,79111,0.90931,108.984931
82,Tapanuli Tengah,22611,1.815388,98.883182,24511,4.634051,96.916392
83,Pasangkayu,91361,-1.502777,119.655733,74261,-2.552164,112.581647
84,Pasangkayu,91361,-1.502777,119.655733,94974,-2.484031,121.911621
85,Tapanuli Tengah,22611,1.815388,98.883182,22611,1.815388,98.883182
86,Tapanuli Tengah,22611,1.815388,98.883182,22411,2.33024,98.663552
87,Pasangkayu,91361,-1.502777,119.655733,92917,-2.382177,119.944564
88,Bangka Barat,33312,-1.997875,105.222326,33123,-2.129178,106.109733
89,Pasangkayu,91361,-1.502777,119.655733,93791,-5.348188,123.605246
90,Bangka Barat,33312,-1.997875,105.222326,33123,-2.129178,106.109733
91,Bangka Barat,33312,-1.997875,105.222326,31311,-3.549068,103.85882
92,Bangka Barat,33312,-1.997875,105.222326,35592,-5.51985,104.939981
93,Bangka Barat,33312,-1.997875,105.222326,78384,0.122803,109.609764
94,Pasangkayu,91361,-1.502777,119.655733,92711,-4.826803,120.052518
95,Tapanuli Tengah,22611,1.815388,98.883182,20711,3.601034,98.485377
96,Bangka Barat,33312,-1.997875,105.222326,34157,-4.884785,105.198391
97,Bangka Barat,33312,-1.997875,105.222326,35111,-5.427139,105.257972
